Folks	folk	Folks
violent	violent	violent
and	and	and
merely	mere	merely
escorted	escort	escorted
the	the	the
two	two	two
guys	guy	guy
out	out	out
.	.	.

That	that	That
,	,	,
for	for	for
once	onc	once
,	,	,
was	was	wa
the	the	the
correct	correct	correct
way	way	way
to	to	to
do	do	do
things	thing	thing
.	.	.

Kudos	kudo	Kudos
to	to	to
that	that	that
man	man	man
.	.	.

It	it	It
s	s	s
possible	possibl	possible
that	that	that
the	the	the
guy	guy	guy
in	in	in
the	the	the
cowboy	cowboy	cowboy
hat	hat	hat
was	was	wa
,	,	,
in	in	in
fact	fact	fact
,	,	,
affiliated	affili	affiliated
in	in	in
some	some	some
way	way	way
to	to	to
the	the	the
event	event	event
,	,	,
but	but	but
we	we	we
re	re	re
not	not	not
sure	sure	sure
as	as	a
of	of	of
this	this	this
writing	write	writing
.	.	.

If	if	If
he	he	he
was	was	wa
,	,	,
he	he	he
certainly	certain	certainly
wasn	wasn	wasn
t	t	t
dressed	dress	dressed
for	for	for
it	it	it
.	.	.
Just	just	Just
to	to	to
show	show	show
the	the	the
ignorance	ignor	ignorance
of	of	of
Trump	trump	Trump
supporters	support	supporter
,	,	,
you	you	you
can	can	can
hear	hear	hear
a	a	a
guy	guy	guy
nearby	nearbi	nearby
say	say	say
that	that	that
the	the	the
protester	protest	protester
was	was	wa
the	the	the
violent	violent	violent
one	one	one
for	for	for
merely	mere	merely
flipping	flip	flipping
off	off	off
the	the	the
guys	guy	guy
hat	hat	hat
.	.	.

It	it	It
s	s	s
absurd	absurd	absurd
,	,	,
and	and	and
everyone	everyon	everyone
that	that	that
watches	watch	watch
the	the	the
video	video	video
will	will	will
know	know	know
better	better	better
.	.	.

Here	here	Here
s	s	s
what	what	what
he	he	he
had	had	had
to	to	to
say	say	say
,	,	,
in	in	in
full	full	full
Good	good	Good
job	job	job
,	,	,
buddy	buddi	buddy
.	.	.

You	you	You
f	f	f
cking	cking	cking
idiot	idiot	idiot
.	.	.

Get	get	Get
this	this	this
mother	mother	mother
f	f	f
ker	ker	ker
out	out	out
of	of	of
here	here	here
.	.	.

He	he	He
s	s	s
violent	violent	violent
.	.	.

He	he	He
must	must	must
not	not	not
have	have	have
been	been	been
paying	pay	paying
attention	attent	attention
until	until	until
the	the	the
very	veri	very
end	end	end
.	.	.

Somehow	somehow	Somehow
we	we	we
highly	high	highly
doubt	doubt	doubt
that	that	that
.	.	.

Trump	trump	Trump
s	s	s
supporters	support	supporter
aren	aren	aren
t	t	t
exactly	exact	exactly
the	the	the
sharpest	sharpest	sharpest
tools	tool	tool
in	in	in
the	the	the
shed	shed	shed
this	this	this
is	is	is
just	just	just
further	further	further
proof	proof	proof
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture

