So	so	So
Liberty	liberti	Liberty
and	and	and
Freedom	freedom	Freedom
Howard	howard	Howard
Books	book	Books
May	may	May
19	19	19
,	,	,
2015	2015	2015
.	.	.

He	he	He
hosts	host	host
Jay	jay	Jay
Sekulow	sekulow	Sekulow
Live	live	Live
a	a	a
daily	daili	daily
radio	radio	radio
show	show	show
which	which	which
is	is	is
broadcast	broadcast	broadcast
on	on	on
more	more	more
than	than	than
850	850	850
stations	station	station
nationwide	nationwid	nationwide
as	as	a
well	well	well
as	as	a
Sirius	sirius	Sirius
XM	xm	XM
satellite	satellit	satellite
radio	radio	radio
.	.	.

Follow	follow	Follow
him	him	him
on	on	on
Twitter	twitter	Twitter
@JaySekulow	@jaysekulow	@JaySekulow
.	.	.
Via	via	Via
FOX	fox	FOX
News	news	News

