Montel	montel	Montel
stop	stop	stop
Republicans	republican	Republicans
from	from	from
whining	whine	whining
anyway	anyway	anyway
.	.	.

Even	even	Even
though	though	though
the	the	the
released	releas	released
prisoners	prison	prisoner
weren	weren	weren
t	t	t
even	even	even
home	home	home
yet	yet	yet
,	,	,
GOP	gop	GOP
presidential	presidenti	presidential
wannabes	wannab	wannabe
cried	cri	cried
that	that	that
there	there	there
should	should	should
not	not	not
have	have	have
been	been	been
any	ani	any
swap	swap	swap
at	at	at
all	all	all
.	.	.

We	we	We
shouldn	shouldn	shouldn
t	t	t
have	have	have
to	to	to
swap	swap	swap
prisoners	prison	prisoner
,	,	,
Christie	christi	Christie
said	said	said
.	.	.

These	these	These
folks	folk	folk
were	were	were
taken	taken	taken
illegally	illeg	illegally
in	in	in
violation	violat	violation
of	of	of
international	intern	international
law	law	law
and	and	and
they	they	they
should	should	should
have	have	have
been	been	been
released	releas	released
without	without	without
condition	condit	condition
.	.	.

Rubio	rubio	Rubio
claimed	claim	claimed
that	that	that
the	the	the
swap	swap	swap
will	will	will
embolden	embolden	embolden
other	other	other
nations	nation	nation
to	to	to
take	take	take
Americans	american	Americans
prisoner	prison	prisoner
so	so	so
that	that	that
they	they	they
can	can	can
get	get	get
something	someth	something
in	in	in
return	return	return
.	.	.

Governments	govern	Governments
are	are	are
taking	take	taking
Americans	american	Americans
hostage	hostag	hostage
because	becaus	because
they	they	they
believe	believ	believe
they	they	they
can	can	can
gain	gain	gain
concessions	concess	concession
from	from	from
this	this	this
government	govern	government
under	under	under
Barack	barack	Barack
Obama	obama	Obama
,	,	,
Rubio	rubio	Rubio
said	said	said
.	.	.

It	it	It
s	s	s
an	an	an
incentive	incent	incentive
for	for	for
more	more	more
people	peopl	people
to	to	to
do	do	do
this	this	this
in	in	in
the	the	the
future	futur	future
.	.	.

Jeb	jeb	Jeb
Bush	bush	Bush
responded	respond	responded
by	by	by
saying	say	saying
he	he	he
would	would	would
have	have	have
threatened	threaten	threatened
Iran	iran	Iran
with	with	with
war	war	war
to	to	to
get	get	get
the	the	the
prisoners	prison	prisoner
freed	freed	freed
.	.	.

I	i	I
would	would	would
say	say	say
.	.	.

.	.	.

.	.	.

If	if	If
you	you	you
do	do	do
not	not	not
release	releas	release
them	them	them
,	,	,
that	that	that
there	there	there
s	s	s
going	go	going
to	to	to
be	be	be
military	militari	military
action	action	action
,	,	,
that	that	that
that	that	that
s	s	s
an	an	an
act	act	act
of	of	of
provocation	provoc	provocation
,	,	,
an	an	an
act	act	act
of	of	of
war	war	war
,	,	,
he	he	he
said	said	said
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
Republicans	republican	Republicans
would	would	would
have	have	have
left	left	left
these	these	these
Americans	american	Americans
in	in	in
jail	jail	jail
because	becaus	because
they	they	they
didn	didn	didn
t	t	t
get	get	get
their	their	their
way	way	way
or	or	or
they	they	they
would	would	would
have	have	have
declared	declar	declared
war	war	war
on	on	on
Iran	iran	Iran
and	and	and
sent	sent	sent
thousands	thousand	thousand
of	of	of
American	american	American
troops	troop	troop
to	to	to
their	their	their
deaths	death	death
over	over	over
the	the	the
imprisonment	imprison	imprisonment
of	of	of
four	four	four
people	peopl	people
.	.	.

That	that	That
doesn	doesn	doesn
t	t	t
sound	sound	sound
like	like	like
responsible	respons	responsible
foreign	foreign	foreign
policy	polici	policy
.	.	.

And	and	And
former	former	former
Marine	marin	Marine
and	and	and
talk	talk	talk
show	show	show
host	host	host
Montel	montel	Montel
Williams	william	Williams
feels	feel	feel
the	the	the
same	same	same
way	way	way
.	.	.
As	as	As
reports	report	report
trickled	trickl	trickled
in	in	in
that	that	that
the	the	the
four	four	four
Americans	american	Americans
were	were	were
being	be	being
released	releas	released
,	,	,
Williams	william	Williams
took	took	took
to	to	to
Twitter	twitter	Twitter
to	to	to
blast	blast	blast
Republicans	republican	Republicans
who	who	who
criticized	critic	criticized
the	the	the
prisoner	prison	prisoner
exchange	exchang	exchange
before	befor	before
it	it	it
had	had	had
been	been	been
completed	complet	completed
.	.	.
Beyond	beyond	Beyond
inappropriate	inappropri	inappropriate
for	for	for
Republican	republican	Republican
candidates	candid	candidate
to	to	to
criticize	critic	criticize
a	a	a
deal	deal	deal
to	to	to
release	releas	release
hostages	hostag	hostage
before	befor	before
they	they	they
are	are	are
home	home	home
.	.	.

Sit	sit	Sit
the	the	the
hell	hell	hell
down	down	down
and	and	and
shut	shut	shut
up	up	up
.	.	.

Montel	montel	Montel
Williams	william	Williams
@Montel_Williams	@montel_william	@Montel_Williams
January	januari	January
16	16	16
,	,	,
2016	2016	2016
Dear	dear	Dear
Americans	american	Americans
Just	just	Just
for	for	for
today	today	today
,	,	,
let	let	let
s	s	s
#StopWithTheStupid,	#stopwiththestupid,	#StopWithTheStupid,
just	just	just
absorb	absorb	absorb
that	that	that
something	someth	something
monumental	monument	monumental
has	has	ha
happened	happen	happened
.	.	.

Leave	leav	Leave
politics	polit	politics
till	till	till
Monday	monday	Monday
.	.	.

Montel	montel	Montel
Williams	william	Williams
@Montel_Williams	@montel_william	@Montel_Williams
January	januari	January
16	16	16
,	,	,
2016Only	2016on	2016Only
the	the	the
tea	tea	tea
party	parti	party
could	could	could
manage	manag	manage
to	to	to
criticize	critic	criticize
a	a	a
deal	deal	deal
to	to	to
bring	bring	bring
hostages	hostag	hostage
home	home	home
before	befor	before
said	said	said
hostages	hostag	hostage
left	left	left
where	where	where
they	they	they
were	were	were
being	be	being
held	held	held
.	.	.

#NotBright	#notbright	#NotBright
Montel	montel	Montel
Williams	william	Williams
@Montel_Williams	@montel_william	@Montel_Williams
January	januari	January
17	17	17
,	,	,
2016On	2016on	2016On
Saturday	saturday	Saturday
evening	even	evening
,	,	,
Williams	william	Williams
continued	continu	continued
ripping	rip	ripping
Republicans	republican	Republicans
a	a	a
new	new	new
one	one	one
on	on	on
Facebook	facebook	Facebook
.	.	.
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
It	it	It
s	s	s
beyond	beyond	beyond
irresponsible	irrespons	irresponsible
that	that	that
some	some	some
of	of	of
the	the	the
Republican	republican	Republican
candidates	candid	candidate
criticized	critic	criticized
the	the	the
swap	swap	swap
that	that	that
will	will	will
bring	bring	bring
our	our	our
hostages	hostag	hostage
home	home	home
Posted	post	Posted
by	by	by
Montel	montel	Montel
Williams	william	Williams
on	on	on
Saturday	saturday	Saturday
,	,	,
January	januari	January
16	16	16
,	,	,
2016Republicans	2016republican	2016Republicans
have	have	have
now	now	now
given	given	given
us	us	u
a	a	a
clear	clear	clear
demonstration	demonstr	demonstration
of	of	of
how	how	how
they	they	they
would	would	would
handle	handl	handle
international	intern	international
affairs	affair	affair
and	and	and
it	it	it
doesn	doesn	doesn
t	t	t
look	look	look
good	good	good
.	.	.

The	the	The
GOP	gop	GOP
would	would	would
risk	risk	risk
war	war	war
and	and	and
the	the	the
sullying	sulli	sullying
of	of	of
our	our	our
reputation	reput	reputation
around	around	around
the	the	the
world	world	world
in	in	in
a	a	a
desperate	desper	desperate
effort	effort	effort
to	to	to
not	not	not
look	look	look
weak	weak	weak
.	.	.

Since	sinc	Since
when	when	when
did	did	did
peace	peac	peace
and	and	and
diplomacy	diplomaci	diplomacy
come	come	come
to	to	to
equal	equal	equal
weakness	weak	weakness
?	?	?

Not	not	Not
only	onli	only
did	did	did
diplomacy	diplomaci	diplomacy
secure	secur	secure
a	a	a
nuclear	nuclear	nuclear
agreement	agreement	agreement
that	that	that
will	will	will
keep	keep	keep
the	the	the
world	world	world
from	from	from
being	be	being
set	set	set
ablaze	ablaz	ablaze
for	for	for
decades	decad	decade
to	to	to
come	come	come
,	,	,
it	it	it
helped	help	helped
four	four	four
Americans	american	Americans
gain	gain	gain
freedom	freedom	freedom
.	.	.

The	the	The
fact	fact	fact
that	that	that
President	presid	President
Obama	obama	Obama
was	was	wa
willing	will	willing
to	to	to
swap	swap	swap
prisoners	prison	prisoner
and	and	and
make	make	make
concessions	concess	concession
makes	make	make
him	him	him
a	a	a
strong	strong	strong
leader	leader	leader
,	,	,
not	not	not
a	a	a
weak	weak	weak
one	one	one
.	.	.

And	and	And
the	the	the
seven	seven	seven
Iranians	iranian	Iranians
released	releas	released
in	in	in
exchange	exchang	exchange
were	were	were
not	not	not
even	even	even
a	a	a
threat	threat	threat
to	to	to
us	us	u
.	.	.

They	they	They
simply	simpli	simply
violated	violat	violated
the	the	the
economic	econom	economic
sanctions	sanction	sanction
put	put	put
in	in	in
place	place	place
to	to	to
get	get	get
Iran	iran	Iran
to	to	to
the	the	the
bargaining	bargain	bargaining
table	tabl	table
.	.	.

They	they	They
weren	weren	weren
t	t	t
terrorists	terrorist	terrorist
.	.	.
The	the	The
bottom	bottom	bottom
line	line	line
is	is	is
that	that	that
President	presid	President
Obama	obama	Obama
achieved	achiev	achieved
success	success	success
on	on	on
both	both	both
initiatives	initi	initiative
without	without	without
having	have	having
to	to	to
fire	fire	fire
a	a	a
single	singl	single
shot	shot	shot
or	or	or
spill	spill	spill
one	one	one
drop	drop	drop
of	of	of
American	american	American
or	or	or
Iranian	iranian	Iranian
blood	blood	blood
.	.	.

That	that	That
is	is	is
true	true	true
strength	strength	strength
that	that	that
Republicans	republican	Republicans
will	will	will
never	never	never
have	have	have
.	.	.
Conservatives	conserv	Conservatives
can	can	can
either	either	either
wake	wake	wake
up	up	up
and	and	and
join	join	join
the	the	the
majority	major	majority
of	of	of
the	the	the
country	countri	country
and	and	and
celebrate	celebr	celebrate
return	return	return
of	of	of
our	our	our
hostages	hostag	hostage
or	or	or
be	be	be
relegated	releg	relegated
to	to	to
irrelevancy	irrelev	irrelevancy
.	.	.

Montel	montel	Montel
Williams	william	Williams
@Montel_Williams	@montel_william	@Montel_Williams
January	januari	January
17	17	17
,	,	,
2016Featured	2016featur	2016Featured
Image	imag	Image
Facebook	facebook	Facebook

