During	dure	During
.	.	.

As	as	As
Sanders	sander	Sanders
points	point	point
out	out	out
in	in	in
the	the	the
speech	speech	speech
Three	three	Three
major	major	major
profitable	profit	profitable
corporations	corpor	corporation
not	not	not
only	onli	only
pay	pay	pay
nothing	noth	nothing
in	in	in
federal	feder	federal
income	incom	income
taxes	tax	tax
,	,	,
they	they	they
actually	actual	actually
got	got	got
a	a	a
rebate	rebat	rebate
from	from	from
the	the	the
IRS	ir	IRS
.	.	.

Three	three	Three
major	major	major
corporations	corpor	corporation
made	made	made
over	over	over
100	100	100
billion	billion	billion
in	in	in
profit	profit	profit
,	,	,
paid	paid	paid
nothing	noth	nothing
in	in	in
taxes	tax	tax
,	,	,
and	and	and
in	in	in
fact	fact	fact
,	,	,
got	got	got
a	a	a
rebate	rebat	rebate
from	from	from
the	the	the
I	i	I
.	.	.
R	r	R
.	.	.
S	s	S
.	.	.
Right	right	Right
now	now	now
we	we	we
have	have	have
a	a	a
rigged	rig	rigged
economy	economi	economy
where	where	where
there	there	there
is	is	is
socialism	social	socialism
for	for	for
the	the	the
rich	rich	rich
,	,	,
and	and	and
unregulated	unregul	unregulated
capitalism	capit	capitalism
for	for	for
the	the	the
rest	rest	rest
.	.	.
Sanders	sander	Sanders
concludes	conclud	concludes
his	his	his
speech	speech	speech
,	,	,
saying	say	saying
that	that	that
closing	close	closing
these	these	these
loopholes	loophol	loophole
will	will	will
help	help	help
fund	fund	fund
one	one	one
of	of	of
his	his	his
most	most	most
inspiring	inspir	inspiring
programs	program	program
.	.	.

That	that	That
s	s	s
how	how	how
were	were	were
going	go	going
to	to	to
pay	pay	pay
to	to	to
rebuild	rebuild	rebuild
our	our	our
infrastructure	infrastructur	infrastructure
and	and	and
put	put	put
millions	million	million
of	of	of
people	peopl	people
back	back	back
to	to	to
work	work	work
.	.	.

You	you	You
can	can	can
watch	watch	watch
the	the	the
speech	speech	speech
below	below	below
.	.	.
Featured	featur	Featured
Image	imag	Image
Credit	credit	Credit
Screenshot	screenshot	Screenshot
via	via	via
YouTube	youtub	YouTube

