Chuck	chuck	Chuck
actors	actor	actor
like	like	like
Gary	gari	Gary
Senise	senis	Senise
and	and	and
Tom	tom	Tom
Selleck	selleck	Selleck
have	have	have
both	both	both
starred	star	starred
in	in	in
movies	movi	movie
and	and	and
great	great	great
television	televis	television
programs	program	program
.	.	.
Also	also	Also
,	,	,
since	sinc	since
when	when	when
is	is	is
free	free	free
speech	speech	speech
a	a	a
communist	communist	communist
thing	thing	thing
?	?	?
Woolery	wooleri	Woolery
then	then	then
attacked	attack	attacked
workers	worker	worker
who	who	who
make	make	make
minimum	minimum	minimum
wage	wage	wage
by	by	by
suggesting	suggest	suggesting
that	that	that
those	those	those
workers	worker	worker
don	don	don
t	t	t
work	work	work
hard	hard	hard
and	and	and
are	are	are
just	just	just
starting	start	starting
out	out	out
and	and	and
don	don	don
t	t	t
have	have	have
families	famili	family
to	to	to
support	support	support
.	.	.
Most	most	Most
people	peopl	people
don	don	don
t	t	t
realize	realiz	realize
that	that	that
it	it	it
s	s	s
not	not	not
a	a	a
good	good	good
thing	thing	thing
,	,	,
it	it	it
s	s	s
a	a	a
bad	bad	bad
thing	thing	thing
,	,	,
Woolery	wooleri	Woolery
claimed	claim	claimed
about	about	about
raising	rais	raising
the	the	the
minimum	minimum	minimum
wage	wage	wage
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
the	the	the
liberals	liber	liberal
job	job	job
to	to	to
take	take	take
the	the	the
simple	simpl	simple
and	and	and
make	make	make
it	it	it
as	as	a
complex	complex	complex
as	as	a
possible	possibl	possible
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
the	the	the
conservatives	conserv	conservative
job	job	job
and	and	and
we	we	we
don	don	don
t	t	t
do	do	do
a	a	a
very	veri	very
good	good	good
job	job	job
of	of	of
it	it	it
to	to	to
take	take	take
the	the	the
complex	complex	complex
and	and	and
make	make	make
it	it	it
as	as	a
simple	simpl	simple
as	as	a
possible	possibl	possible
.	.	.
The	the	The
things	thing	thing
that	that	that
sound	sound	sound
really	realli	really
good	good	good
this	this	this
knee	knee	knee
-jerk	-jerk	-jerk
reaction	reaction	reaction
to	to	to
15	15	15
bucks	buck	buck
an	an	an
hour	hour	hour
my	my	my
son	son	son
is	is	is
20	20	20
years	year	year
old	old	old
,	,	,
he	he	he
would	would	would
love	love	love
to	to	to
make	make	make
15	15	15
an	an	an
hour	hour	hour
.	.	.
You	you	You
ve	ve	ve
got	got	got
to	to	to
earn	earn	earn
your	your	your
way	way	way
in	in	in
this	this	this
world	world	world
,	,	,
and	and	and
if	if	if
it	it	it
costs	cost	cost
them	them	them
15	15	15
a	a	a
hour	hour	hour
and	and	and
you	you	you
re	re	re
a	a	a
small	small	small
business	busi	business
and	and	and
it	it	it
ruins	ruin	ruin
the	the	the
business	busi	business
,	,	,
what	what	what
good	good	good
does	doe	doe
it	it	it
do	do	do
?	?	?
he	he	he
continued	continu	continued
.	.	.
These	these	These
are	are	are
people	peopl	people
who	who	who
are	are	are
starting	start	starting
off	off	off
.	.	.
They	they	They
re	re	re
not	not	not
people	peopl	people
who	who	who
have	have	have
families	famili	family
by	by	by
and	and	and
large	larg	large
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
Again	again	Again
,	,	,
Woolery	wooleri	Woolery
doesn	doesn	doesn
t	t	t
know	know	know
what	what	what
the	the	the
hell	hell	hell
he	he	he
is	is	is
talking	talk	talking
about	about	about
.	.	.
Not	not	Not
only	onli	only
is	is	is
raising	rais	raising
the	the	the
minimum	minimum	minimum
wage	wage	wage
good	good	good
for	for	for
the	the	the
overall	overal	overall
economy	economi	economy
,	,	,
it	it	it
strengthens	strengthen	strengthens
businesses	busi	business
and	and	and
actually	actual	actually
does	doe	doe
help	help	help
the	the	the
families	famili	family
of	of	of
these	these	these
workers	worker	worker
.	.	.
According	accord	According
to	to	to
the	the	the
Center	center	Center
of	of	of
Economic	econom	Economic
and	and	and
Policy	polici	Policy
Research	research	Research
,	,	,
the	the	the
average	averag	average
age	age	age
of	of	of
a	a	a
minimum	minimum	minimum
wage	wage	wage
worker	worker	worker
is	is	is
35	35	35
-years-old	-years-old	-years-old
,	,	,
far	far	far
from	from	from
someone	someon	someone
who	who	who
is	is	is
just	just	just
starting	start	starting
off	off	off
.	.	.
Indeed	inde	Indeed
,	,	,
the	the	the
Department	depart	Department
of	of	of
Labor	labor	Labor
says	say	say
that	that	that
women	women	woman
would	would	would
especially	especi	especially
benefit	benefit	benefit
from	from	from
a	a	a
much	much	much
needed	need	needed
minimum	minimum	minimum
wage	wage	wage
hike	hike	hike
.	.	.
More	more	More
than	than	than
half	half	half
of	of	of
those	those	those
who	who	who
would	would	would
benefit	benefit	benefit
are	are	are
women	women	woman
about	about	about
a	a	a
third	third	third
of	of	of
them	them	them
have	have	have
children	children	child
.	.	.
In	in	In
fact	fact	fact
,	,	,
of	of	of
the	the	the
2	2	2
.	.	.
8	8	8
million	million	million
working	work	working
single	singl	single
parents	parent	parent
that	that	that
would	would	would
benefit	benefit	benefit
,	,	,
more	more	more
than	than	than
80	80	80
percent	percent	percent
are	are	are
women	women	woman
.	.	.
And	and	And
research	research	research
shows	show	show
that	that	that
raising	rais	raising
the	the	the
minimum	minimum	minimum
wage	wage	wage
reduces	reduc	reduces
child	child	child
poverty	poverti	poverty
among	among	among
female	femal	female
-headed	-head	-headed
households	household	household
.	.	.
Raising	rais	Raising
the	the	the
minimum	minimum	minimum
wage	wage	wage
would	would	would
immediately	immedi	immediately
impact	impact	impact
these	these	these
families	famili	family
and	and	and
the	the	the
local	local	local
economies	economi	economy
they	they	they
live	live	live
in	in	in
.	.	.
The	the	The
cost	cost	cost
of	of	of
living	live	living
has	has	ha
gone	gone	gone
up	up	up
along	along	along
with	with	with
the	the	the
bloated	bloat	bloated
income	incom	income
of	of	of
wealthy	wealthi	wealthy
assholes	asshol	asshole
like	like	like
Chuck	chuck	Chuck
Woolery	wooleri	Woolery
.	.	.
Therefore	therefor	Therefore
,	,	,
minimum	minimum	minimum
wage	wage	wage
workers	worker	worker
should	should	should
see	see	see
an	an	an
increase	increas	increase
and	and	and
that	that	that
increase	increas	increase
would	would	would
definitely	definit	definitely
be	be	be
over	over	over
10	10	10
an	an	an
hour	hour	hour
if	if	if
the	the	the
minimum	minimum	minimum
wage	wage	wage
had	had	had
been	been	been
tied	tie	tied
to	to	to
inflation	inflat	inflation
since	sinc	since
the	the	the
1960s	1960s	1960s
.	.	.
And	and	And
if	if	if
you	you	you
re	re	re
a	a	a
woman	woman	woman
,	,	,
you	you	you
only	onli	only
make	make	make
77	77	77
cents	cent	cent
for	for	for
every	everi	every
dollar	dollar	dollar
a	a	a
man	man	man
makes	make	make
,	,	,
which	which	which
makes	make	make
things	thing	thing
worse	wors	worse
.	.	.
Wage	wage	Wage
hikes	hike	hike
also	also	also
boost	boost	boost
worker	worker	worker
morale	moral	morale
,	,	,
which	which	which
makes	make	make
businesses	busi	business
stronger	stronger	stronger
.	.	.
A	a	A
happy	happi	happy
workforce	workforc	workforce
that	that	that
is	is	is
taken	taken	taken
care	care	care
of	of	of
by	by	by
their	their	their
employer	employ	employer
means	mean	mean
a	a	a
healthier	healthier	healthier
business	busi	business
and	and	and
a	a	a
healthier	healthier	healthier
community	communiti	community
.	.	.
Woolery	wooleri	Woolery
might	might	might
understand	understand	understand
that	that	that
if	if	if
he	he	he
hadn	hadn	hadn
t	t	t
spent	spent	spent
his	his	his
career	career	career
working	work	working
as	as	a
a	a	a
game	game	game
show	show	show
host	host	host
.	.	.
There	there	There
are	are	are
people	peopl	people
in	in	in
this	this	this
country	countri	country
who	who	who
work	work	work
far	far	far
harder	harder	harder
than	than	than
he	he	he
does	doe	doe
and	and	and
they	they	they
only	onli	only
make	make	make
minimum	minimum	minimum
wage	wage	wage
.	.	.
Also	also	Also
,	,	,
minimum	minimum	minimum
wage	wage	wage
is	is	is
lowest	lowest	lowest
in	in	in
red	red	red
states	state	state
so	so	so
Woolery	wooleri	Woolery
just	just	just
insulted	insult	insulted
millions	million	million
of	of	of
conservatives	conserv	conservative
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot
