CNN	cnn	CNN
those	those	those
elections	elect	election
?	?	?
SCHAFFNER	schaffner	SCHAFFNER
That	that	That
s	s	s
right	right	right
.	.	.
We	we	We
could	could	could
find	find	find
of	of	of
the	the	the
people	peopl	people
who	who	who
we	we	we
were	were	were
sure	sure	sure
were	were	were
noncitizens	noncitizen	noncitizen
,	,	,
we	we	we
could	could	could
not	not	not
find	find	find
any	ani	any
who	who	who
had	had	had
actually	actual	actually
cast	cast	cast
a	a	a
vote	vote	vote
.	.	.
So	so	So
Trump	trump	Trump
is	is	is
literally	liter	literally
citing	cite	citing
an	an	an
unreliable	unreli	unreliable
study	studi	study
as	as	a
evidence	evid	evidence
of	of	of
his	his	his
claims	claim	claim
,	,	,
something	someth	something
that	that	that
Schaffner	schaffner	Schaffner
finds	find	find
absolutely	absolut	absolutely
frustrating	frustrat	frustrating
.	.	.
It	it	It
s	s	s
very	veri	very
frustrating	frustrat	frustrating
,	,	,
Schaffner	schaffner	Schaffner
said	said	said
.	.	.
The	the	The
data	data	data
certainly	certain	certainly
do	do	do
not	not	not
show	show	show
that	that	that
.	.	.
We	we	We
published	publish	published
a	a	a
study	studi	study
basically	basic	basically
showing	show	showing
that	that	that
the	the	the
study	studi	study
that	that	that
the	the	the
data	data	data
that	that	that
uses	use	us
our	our	our
data	data	data
to	to	to
say	say	say
that	that	that
,	,	,
is	is	is
wrong	wrong	wrong
.	.	.
That	that	That
study	studi	study
has	has	ha
been	been	been
widely	wide	widely
cited	cite	cited
by	by	by
news	news	news
outlets	outlet	outlet
to	to	to
basically	basic	basically
say	say	say
what	what	what
the	the	the
administration	administr	administration
is	is	is
saying	say	saying
is	is	is
false	fals	false
.	.	.
And	and	And
the	the	the
notion	notion	notion
that	that	that
millions	million	million
of	of	of
people	peopl	people
could	could	could
vote	vote	vote
illegally	illeg	illegally
and	and	and
no	no	no
one	one	one
would	would	would
have	have	have
any	ani	any
data	data	data
to	to	to
be	be	be
able	abl	able
to	to	to
show	show	show
this	this	this
is	is	is
the	the	the
case	case	case
is	is	is
just	just	just
absurd	absurd	absurd
.	.	.
It	it	It
s	s	s
absurd	absurd	absurd
that	that	that
millions	million	million
of	of	of
people	peopl	people
,	,	,
millions	million	million
of	of	of
noncitizens	noncitizen	noncitizen
,	,	,
would	would	would
have	have	have
voted	vote	voted
in	in	in
2016	2016	2016
.	.	.
It	it	It
s	s	s
just	just	just
it	it	it
s	s	s
just	just	just
not	not	not
even	even	even
plausible	plausibl	plausible
.	.	.
Schaffner	schaffner	Schaffner
went	went	went
on	on	on
to	to	to
concede	conced	concede
that	that	that
a	a	a
handful	hand	handful
of	of	of
non	non	non
-citizens	-citizen	-citizens
may	may	may
have	have	have
voted	vote	voted
in	in	in
the	the	the
election	elect	election
,	,	,
but	but	but
the	the	the
scale	scale	scale
of	of	of
voter	voter	voter
fraud	fraud	fraud
Donald	donald	Donald
Trump	trump	Trump
is	is	is
talking	talk	talking
about	about	about
is	is	is
impossible	imposs	impossible
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
Media	media	Media
Matters	matter	Matters
.	.	.
Indeed	inde	Indeed
,	,	,
Trump	trump	Trump
claimed	claim	claimed
that	that	that
massive	massiv	massive
voter	voter	voter
fraud	fraud	fraud
was	was	wa
being	be	being
committed	commit	committed
during	dure	during
the	the	the
campaign	campaign	campaign
,	,	,
only	onli	only
to	to	to
be	be	be
refuted	refut	refuted
by	by	by
Ohio	ohio	Ohio
s	s	s
Republican	republican	Republican
Secretary	secretari	Secretary
of	of	of
State	state	State
Jon	jon	Jon
Husted	hust	Husted
.	.	.
Our	our	Our
institutions	institut	institution
,	,	,
like	like	like
our	our	our
election	elect	election
system	system	system
,	,	,
is	is	is
one	one	one
of	of	of
the	the	the
bedrocks	bedrock	bedrock
of	of	of
American	american	American
democracy	democraci	democracy
,	,	,
Husted	hust	Husted
said	said	said
in	in	in
October	octob	October
.	.	.
We	we	We
should	should	should
not	not	not
question	question	question
it	it	it
or	or	or
the	the	the
legitimacy	legitimaci	legitimacy
of	of	of
it	it	it
.	.	.
It	it	It
works	work	work
very	veri	very
well	well	well
.	.	.
The	the	The
idea	idea	idea
of	of	of
widespread	widespread	widespread
voter	voter	voter
fraud	fraud	fraud
would	would	would
require	requir	require
some	some	some
systemic	system	systemic
problem	problem	problem
in	in	in
our	our	our
system	system	system
,	,	,
and	and	and
so	so	so
if	if	if
there	there	there
s	s	s
a	a	a
systemic	system	systemic
problem	problem	problem
,	,	,
please	pleas	please
identify	identifi	identify
it	it	it
.	.	.
Don	don	Don
t	t	t
just	just	just
make	make	make
an	an	an
allegation	alleg	allegation
on	on	on
Twitter	twitter	Twitter
.	.	.
Tell	tell	Tell
me	me	me
,	,	,
tell	tell	tell
the	the	the
secretaries	secretari	secretary
of	of	of
state	state	state
around	around	around
the	the	the
country	countri	country
what	what	what
the	the	the
problem	problem	problem
is	is	is
so	so	so
that	that	that
we	we	we
can	can	can
fix	fix	fix
it	it	it
.	.	.
But	but	But
right	right	right
now	now	now
we	we	we
re	re	re
not	not	not
aware	awar	aware
of	of	of
any	ani	any
systemic	system	systemic
problems	problem	problem
in	in	in
our	our	our
voting	vote	voting
system	system	system
.	.	.
Are	are	Are
there	there	there
cases	case	case
of	of	of
voter	voter	voter
fraud	fraud	fraud
?	?	?
Absolutely	absolut	Absolutely
,	,	,
there	there	there
are	are	are
cases	case	case
of	of	of
voter	voter	voter
fraud	fraud	fraud
.	.	.
But	but	But
it	it	it
s	s	s
rare	rare	rare
,	,	,
and	and	and
we	we	we
catch	catch	catch
these	these	these
people	peopl	people
.	.	.
Most	most	Most
times	time	time
we	we	we
catch	catch	catch
them	them	them
before	befor	before
their	their	their
vote	vote	vote
is	is	is
even	even	even
counted	count	counted
.	.	.
And	and	And
that	that	that
goes	goe	go
for	for	for
every	everi	every
state	state	state
across	across	across
the	the	the
nation	nation	nation
.	.	.
Trump	trump	Trump
should	should	should
be	be	be
embarrassed	embarrass	embarrassed
and	and	and
ashamed	asham	ashamed
.	.	.
And	and	And
if	if	if
he	he	he
really	realli	really
thinks	think	think
our	our	our
election	elect	election
was	was	wa
rigged	rig	rigged
then	then	then
we	we	we
should	should	should
hold	hold	hold
a	a	a
brand	brand	brand
new	new	new
election	elect	election
immediately	immedi	immediately
and	and	and
give	give	give
him	him	him
something	someth	something
to	to	to
really	realli	really
cry	cri	cry
about	about	about
when	when	when
the	the	the
American	american	American
people	peopl	people
reject	reject	reject
him	him	him
.	.	.
Featured	featur	Featured
Image	imag	Image
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
