Much	much	Much
years	year	year
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.

What	what	What
traits	trait	trait
of	of	of
his	his	his
grandfather	grandfath	grandfather
and	and	and
father	father	father
do	do	do
you	you	you
think	think	think
are	are	are
also	also	also
reflected	reflect	reflected
in	in	in
Donald	donald	Donald
Trump	trump	Trump
and	and	and
the	the	the
way	way	way
he	he	he
conducts	conduct	conduct
his	his	his
business	busi	business
and	and	and
political	polit	political
career	career	career
?	?	?

They	they	They
are	are	are
really	realli	really
an	an	an
impressive	impress	impressive
through	through	through
line	line	line
of	of	of
people	peopl	people
who	who	who
would	would	would
do	do	do
anything	anyth	anything
to	to	to
get	get	get
ahead	ahead	ahead
and	and	and
win	win	win
.	.	.

They	they	They
are	are	are
all	all	all
enormously	enorm	enormously
tenacious	tenaci	tenacious
,	,	,
never	never	never
give	give	give
up	up	up
and	and	and
are	are	are
willing	will	willing
to	to	to
push	push	push
the	the	the
envelope	envelop	envelope
to	to	to
bend	bend	bend
the	the	the
rules	rule	rule
and	and	and
find	find	find
the	the	the
loopholes	loophol	loophole
.	.	.

Grandpa	grandpa	Grandpa
Trump	trump	Trump
built	built	built
his	his	his
restaurants	restaur	restaurant
on	on	on
land	land	land
that	that	that
he	he	he
did	did	did
not	not	not
own	own	own
.	.	.

In	in	In
that	that	that
time	time	time
of	of	of
the	the	the
Gold	gold	Gold
Rush	rush	Rush
in	in	in
the	the	the
Klondike	klondik	Klondike
,	,	,
it	it	it
was	was	wa
the	the	the
Wild	wild	Wild
West	west	West
period	period	period
.	.	.

It	it	It
was	was	wa
wide	wide	wide
open	open	open
,	,	,
very	veri	very
raw	raw	raw
,	,	,
lots	lot	lot
of	of	of
single	singl	single
men	men	men
desperately	desper	desperately
trying	tri	trying
to	to	to
find	find	find
gold	gold	gold
and	and	and
prostitutes	prostitut	prostitute
.	.	.

And	and	And
Grandpa	grandpa	Grandpa
Trump	trump	Trump
s	s	s
restaurants	restaur	restaurant
had	had	had
liquor	liquor	liquor
,	,	,
food	food	food
and	and	and
access	access	access
to	to	to
women	women	woman
.	.	.

His	his	His
restaurants	restaur	restaurant
had	had	had
little	littl	little
cubicles	cubicl	cubicle
off	off	off
to	to	to
the	the	the
sides	side	side
with	with	with
heavy	heavi	heavy
curtains	curtain	curtain
so	so	so
called	call	called
private	privat	private
rooms	room	room
for	for	for
ladies	ladi	lady
which	which	which
was	was	wa
absolutely	absolut	absolutely
understood	understood	understood
to	to	to
mean	mean	mean
prostitutes	prostitut	prostitute
.	.	.

His	his	His
establishment	establish	establishment
was	was	wa
not	not	not
the	the	the
exception	except	exception
there	there	there
,	,	,
but	but	but
he	he	he
certainly	certain	certainly
did	did	did
well	well	well
by	by	by
that	that	that
.	.	.

And	and	And
after	after	after
that	that	that
he	he	he
went	went	went
back	back	back
to	to	to
Germany	germani	Germany
and	and	and
claimed	claim	claimed
that	that	that
he	he	he
was	was	wa
quiet	quiet	quiet
man	man	man
who	who	who
avoided	avoid	avoided
bars	bar	bar
in	in	in
his	his	his
petition	petit	petition
to	to	to
repatriate	repatri	repatriate
.	.	.

His	his	His
son	son	son
Fred	fred	Fred
,	,	,
who	who	who
made	made	made
his	his	his
money	money	money
in	in	in
real	real	real
estate	estat	estate
in	in	in
the	the	the
outer	outer	outer
boroughs	borough	borough
of	of	of
New	new	New
York	york	York
City	citi	City
,	,	,
was	was	wa
very	veri	very
good	good	good
at	at	at
finding	find	finding
loopholes	loophol	loophole
.	.	.

When	when	When
he	he	he
was	was	wa
building	build	building
state	state	state
-financed	-financ	-financed
housing	hous	housing
he	he	he
set	set	set
up	up	up
shell	shell	shell
equipment	equip	equipment
companies	compani	company
and	and	and
then	then	then
rented	rent	rented
bulldozers	bulldoz	bulldozer
and	and	and
trucks	truck	truck
from	from	from
himself	himself	himself
at	at	at
very	veri	very
high	high	high
and	and	and
inflated	inflat	inflated
prices	price	price
.	.	.

It	it	It
was	was	wa
not	not	not
illegal	illeg	illegal
,	,	,
but	but	but
he	he	he
was	was	wa
pushing	push	pushing
the	the	the
edge	edg	edge
and	and	and
bending	bend	bending
the	the	the
rules	rule	rule
.	.	.

He	he	He
was	was	wa
very	veri	very
good	good	good
at	at	at
that	that	that
.	.	.

Donald	donald	Donald
in	in	in
turn	turn	turn
has	has	ha
been	been	been
very	veri	very
good	good	good
at	at	at
finding	find	finding
loopholes	loophol	loophole
and	and	and
bending	bend	bending
rules	rule	rule
when	when	when
he	he	he
built	built	built
Trump	trump	Trump
Towers	tower	Towers
for	for	for
example	exampl	example
.	.	.

He	he	He
hired	hire	hired
workers	worker	worker
to	to	to
do	do	do
the	the	the
demolition	demolit	demolition
of	of	of
the	the	the
building	build	building
that	that	that
had	had	had
been	been	been
there	there	there
before	befor	before
,	,	,
paid	paid	paid
them	them	them
very	veri	very
low	low	low
wages	wage	wage
and	and	and
had	had	had
them	them	them
sleep	sleep	sleep
on	on	on
the	the	the
building	build	building
site	site	site
,	,	,
because	becaus	because
they	they	they
were	were	were
on	on	on
such	such	such
a	a	a
rushed	rush	rushed
schedule	schedul	schedule
.	.	.

Later	later	Later
on	on	on
he	he	he
said	said	said
he	he	he
had	had	had
not	not	not
noticed	notic	noticed
that	that	that
they	they	they
were	were	were
undocumented	undocu	undocumented
which	which	which
he	he	he
could	could	could
not	not	not
have	have	have
missed	miss	missed
.	.	.

With	with	With
his	his	his
own	own	own
family	famili	family
s	s	s
immigration	immigr	immigration
experience	experi	experience
how	how	how
do	do	do
you	you	you
explain	explain	explain
Trump	trump	Trump
s	s	s
anti	anti	anti
-immigrant	-immigr	-immigrant
stance	stanc	stance
and	and	and
his	his	his
vitriolic	vitriol	vitriolic
rhetoric	rhetor	rhetoric
against	against	against
immigrants	immigr	immigrant
?	?	?

He	he	He
has	has	ha
been	been	been
very	veri	very
good	good	good
a	a	a
figuring	figur	figuring
out	out	out
who	who	who
his	his	his
audience	audienc	audience
is	is	is
.	.	.

I	i	I
am	am	am
not	not	not
sure	sure	sure
we	we	we
can	can	can
call	call	call
that	that	that
a	a	a
German	german	German
trait	trait	trait
,	,	,
but	but	but
it	it	it
is	is	is
certainly	certain	certainly
part	part	part
of	of	of
his	his	his
family	famili	family
culture	cultur	culture
of	of	of
looking	look	looking
to	to	to
who	who	who
the	the	the
audience	audienc	audience
is	is	is
.	.	.

His	his	His
grandfather	grandfath	grandfather
looked	look	looked
to	to	to
who	who	who
the	the	the
audience	audienc	audience
was	was	wa
when	when	when
he	he	he
had	had	had
those	those	those
restaurants	restaur	restaurant
in	in	in
the	the	the
Klondike	klondik	Klondike
.	.	.

His	his	His
father	father	father
looked	look	looked
to	to	to
who	who	who
the	the	the
audience	audienc	audience
was	was	wa
when	when	when
he	he	he
built	built	built
his	his	his
housing	hous	housing
in	in	in
the	the	the
outer	outer	outer
boroughs	borough	borough
of	of	of
New	new	New
York	york	York
which	which	which
was	was	wa
nothing	noth	nothing
like	like	like
what	what	what
we	we	we
associate	associ	associate
with	with	with
Donald	donald	Donald
Trump	trump	Trump
today	today	today
.	.	.

It	it	It
was	was	wa
middle	middl	middle
income	incom	income
housing	hous	housing
,	,	,
but	but	but
he	he	he
added	ad	added
a	a	a
little	littl	little
extra	extra	extra
touch	touch	touch
that	that	that
his	his	his
would	would	would
-be	-be	-be
customers	custom	customer
appreciated	appreci	appreciated
like	like	like
an	an	an
extra	extra	extra
closet	closet	closet
.	.	.

He	he	He
was	was	wa
very	veri	very
good	good	good
at	at	at
marketing	market	marketing
.	.	.

And	and	And
Donald	donald	Donald
in	in	in
turn	turn	turn
has	has	ha
been	been	been
very	veri	very
good	good	good
at	at	at
marketing	market	marketing
to	to	to
what	what	what
he	he	he
decided	decid	decided
is	is	is
his	his	his
audience	audienc	audience
.	.	.

In	in	In
this	this	this
case	case	case
,	,	,
the	the	the
upcoming	upcom	upcoming
election	elect	election
,	,	,
that	that	that
is	is	is
the	the	the
big	big	big
mass	mass	mass
of	of	of
alienated	alien	alienated
,	,	,
unhappy	unhappi	unhappy
and	and	and
angry	angri	angry
Americans	american	Americans
who	who	who
feel	feel	feel
our	our	our
country	countri	country
used	use	used
to	to	to
be	be	be
great	great	great
and	and	and
it	it	it
s	s	s
not	not	not
anymore	anymor	anymore
and	and	and
it	it	it
s	s	s
somebody	somebodi	somebody
else	els	else
s	s	s
fault	fault	fault
.	.	.

They	they	They
want	want	want
somebody	somebodi	somebody
to	to	to
make	make	make
it	it	it
right	right	right
and	and	and
get	get	get
them	them	them
the	the	the
respect	respect	respect
and	and	and
the	the	the
prosperity	prosper	prosperity
they	they	they
think	think	think
they	they	they
deserve	deserv	deserve
.	.	.

And	and	And
Trump	trump	Trump
has	has	ha
been	been	been
very	veri	very
skillful	skill	skillful
at	at	at
seeing	see	seeing
this	this	this
mass	mass	mass
of	of	of
angry	angri	angry
people	peopl	people
and	and	and
positioning	posit	positioning
himself	himself	himself
as	as	a
their	their	their
champion	champion	champion
and	and	and
making	make	making
it	it	it
clear	clear	clear
to	to	to
them	them	them
that	that	that
he	he	he
is	is	is
going	go	going
to	to	to
go	go	go
against	against	against
anything	anyth	anything
that	that	that
is	is	is
in	in	in
their	their	their
way	way	way
no	no	no
matter	matter	matter
whether	whether	whether
it	it	it
is	is	is
immigrants	immigr	immigrant
,	,	,
a	a	a
famous	famous	famous
Republican	republican	Republican
war	war	war
hero	hero	hero
like	like	like
John	john	John
McCain	mccain	McCain
,	,	,
a	a	a
woman	woman	woman
like	like	like
Fox	fox	Fox
host	host	host
Megan	megan	Megan
Kelly	kelli	Kelly
or	or	or
a	a	a
hedge	hedg	hedge
fund	fund	fund
manager	manag	manager
.	.	.

So	so	So
going	go	going
after	after	after
immigrants	immigr	immigrant
is	is	is
an	an	an
easy	easi	easy
target	target	target
to	to	to
pick	pick	pick
off	off	off
when	when	when
he	he	he
is	is	is
trying	tri	trying
to	to	to
appeal	appeal	appeal
to	to	to
this	this	this
mass	mass	mass
of	of	of
mostly	most	mostly
white	white	white
voters	voter	voter
in	in	in
the	the	the
United	unit	United
States	state	States
who	who	who
feel	feel	feel
like	like	like
they	they	they
have	have	have
been	been	been
left	left	left
behind	behind	behind
.	.	.

So	so	So
it	it	it
does	doe	doe
not	not	not
bother	bother	bother
him	him	him
that	that	that
he	he	he
is	is	is
in	in	in
a	a	a
way	way	way
betraying	betray	betraying
his	his	his
own	own	own
family	famili	family
history	histori	history
with	with	with
his	his	his
stance	stanc	stance
on	on	on
immigration	immigr	immigration
?	?	?

I	i	I
don	don	don
t	t	t
think	think	think
contradictions	contradict	contradiction
have	have	have
ever	ever	ever
bothered	bother	bothered
him	him	him
,	,	,
which	which	which
has	has	ha
been	been	been
confounding	confound	confounding
obviously	obvious	obviously
to	to	to
people	peopl	people
observing	observ	observing
the	the	the
primary	primari	primary
race	race	race
.	.	.
VIA	via	VIA
DW	dw	DW

