Are	are	Are
voted	vote	voted
to	to	to
leave	leav	leave
the	the	the
EU	eu	EU
by	by	by
53	53	53
to	to	to
47	47	47
.	.	.
Two	two	Two
thirds	third	third
67	67	67
of	of	of
those	those	those
describing	describ	describing
themselves	themselv	themselves
as	as	a
Asian	asian	Asian
voted	vote	voted
to	to	to
remain	remain	remain
,	,	,
as	as	a
did	did	did
three	three	three
quarters	quarter	quarter
73	73	73
of	of	of
black	black	black
voters	voter	voter
.	.	.
Nearly	near	Nearly
six	six	six
in	in	in
ten	ten	ten
58	58	58
of	of	of
those	those	those
describing	describ	describing
themselves	themselv	themselves
as	as	a
Christian	christian	Christian
voted	vote	voted
to	to	to
leave	leav	leave
;	;	;
seven	seven	seven
in	in	in
ten	ten	ten
Muslims	muslim	Muslims
voted	vote	voted
to	to	to
remain	remain	remain
.	.	.
A	a	A
majority	major	majority
of	of	of
those	those	those
who	who	who
backed	back	backed
the	the	the
Conservative	conserv	Conservative
in	in	in
2015	2015	2015
voted	vote	voted
to	to	to
leave	leav	leave
the	the	the
EU	eu	EU
58	58	58
,	,	,
as	as	a
did	did	did
more	more	more
than	than	than
19	19	19
out	out	out
of	of	of
20	20	20
UKIP	ukip	UKIP
supporters	support	supporter
.	.	.
Nearly	near	Nearly
two	two	two
thirds	third	third
of	of	of
Labour	labour	Labour
and	and	and
SNP	snp	SNP
voters	voter	voter
63	63	63
and	and	and
64	64	64
,	,	,
seven	seven	seven
in	in	in
ten	ten	ten
Liberal	liber	Liberal
Democrats	democrat	Democrats
and	and	and
three	three	three
quarters	quarter	quarter
of	of	of
Greens	green	Greens
,	,	,
voted	vote	voted
to	to	to
remain	remain	remain
.	.	.
Nearly	near	Nearly
half	half	half
49	49	49
of	of	of
leave	leav	leave
voters	voter	voter
said	said	said
the	the	the
biggest	biggest	biggest
single	singl	single
reason	reason	reason
for	for	for
wanting	want	wanting
to	to	to
leave	leav	leave
the	the	the
EU	eu	EU
was	was	wa
the	the	the
principle	principl	principle
that	that	that
decisions	decis	decision
about	about	about
the	the	the
UK	uk	UK
should	should	should
be	be	be
taken	taken	taken
in	in	in
the	the	the
UK	uk	UK
.	.	.
One	one	One
third	third	third
33	33	33
said	said	said
the	the	the
main	main	main
reason	reason	reason
was	was	wa
that	that	that
leaving	leav	leaving
offered	offer	offered
the	the	the
best	best	best
chance	chanc	chance
for	for	for
the	the	the
UK	uk	UK
to	to	to
regain	regain	regain
control	control	control
over	over	over
immigration	immigr	immigration
and	and	and
its	it	it
own	own	own
borders	border	border
.	.	.
Just	just	Just
over	over	over
one	one	one
in	in	in
eight	eight	eight
13	13	13
said	said	said
remaining	remain	remaining
would	would	would
mean	mean	mean
having	have	having
no	no	no
choice	choic	choice
about	about	about
how	how	how
the	the	the
EU	eu	EU
expanded	expand	expanded
its	it	it
membership	membership	membership
or	or	or
its	it	it
powers	power	power
in	in	in
the	the	the
years	year	year
ahead	ahead	ahead
.	.	.
Only	onli	Only
just	just	just
over	over	over
one	one	one
in	in	in
twenty	twenti	twenty
6	6	6
said	said	said
their	their	their
main	main	main
reason	reason	reason
was	was	wa
that	that	that
when	when	when
it	it	it
comes	come	come
to	to	to
trade	trade	trade
and	and	and
the	the	the
economy	economi	economy
,	,	,
the	the	the
UK	uk	UK
would	would	would
benefit	benefit	benefit
more	more	more
from	from	from
being	be	being
outside	outsid	outside
the	the	the
EU	eu	EU
than	than	than
from	from	from
being	be	being
part	part	part
of	of	of
it	it	it
.	.	.
A	a	A
small	small	small
majority	major	majority
of	of	of
those	those	those
who	who	who
voted	vote	voted
to	to	to
remain	remain	remain
think	think	think
that	that	that
for	for	for
most	most	most
children	children	child
growing	grow	growing
up	up	up
today	today	today
,	,	,
life	life	life
will	will	will
be	be	be
better	better	better
than	than	than
it	it	it
was	was	wa
for	for	for
their	their	their
parents	parent	parent
;	;	;
leavers	leaver	leaver
think	think	think
the	the	the
opposite	opposit	opposite
by	by	by
61	61	61
to	to	to
39	39	39
.	.	.
Leavers	leaver	Leavers
see	see	see
more	more	more
threats	threat	threat
than	than	than
opportunities	opportun	opportunity
to	to	to
their	their	their
standard	standard	standard
of	of	of
living	live	living
from	from	from
the	the	the
way	way	way
the	the	the
economy	economi	economy
and	and	and
society	societi	society
are	are	are
changing	chang	changing
,	,	,
by	by	by
71	71	71
to	to	to
29	29	29
more	more	more
than	than	than
twice	twice	twice
the	the	the
margin	margin	margin
among	among	among
remainers	remain	remainers
.	.	.
Nearly	near	Nearly
three	three	three
quarters	quarter	quarter
73	73	73
of	of	of
remainers	remain	remainers
think	think	think
life	life	life
in	in	in
Britain	britain	Britain
is	is	is
better	better	better
today	today	today
than	than	than
it	it	it
was	was	wa
30	30	30
years	year	year
ago	ago	ago
;	;	;
a	a	a
majority	major	majority
58	58	58
of	of	of
those	those	those
who	who	who
voted	vote	voted
to	to	to
leave	leav	leave
say	say	say
it	it	it
is	is	is
worse	wors	worse
.	.	.
