CNN	cnn	CNN
commander	command	commander
in	in	in
chief	chief	chief
while	while	while
they	they	they
are	are	are
pregnant	pregnant	pregnant
and	and	and
grieving	griev	grieving
?	?	?
If	if	If
Myeshia	myeshia	Myeshia
Johnson	johnson	Johnson
is	is	is
mad	mad	mad
at	at	at
you	you	you
,	,	,
take	take	take
it	it	it
.	.	.
Just	just	Just
as	as	a
President	presid	President
Bush	bush	Bush
and	and	and
others	other	others
did	did	did
.	.	.
Take	take	Take
it	it	it
.	.	.
It	it	It
s	s	s
part	part	part
of	of	of
what	what	what
YOU	you	YOU
signed	sign	signed
up	up	up
for	for	for
when	when	when
you	you	you
decided	decid	decided
to	to	to
descend	descend	descend
that	that	that
escalator	escal	escalator
and	and	and
throw	throw	throw
your	your	your
hat	hat	hat
in	in	in
the	the	the
ring	ring	ring
for	for	for
president	presid	president
.	.	.
You	you	You
re	re	re
commander	command	commander
in	in	in
chief	chief	chief
,	,	,
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
of	of	of
America	america	America
,	,	,
the	the	the
greatest	greatest	greatest
country	countri	country
on	on	on
Earth	earth	Earth
.	.	.
Act	act	Act
like	like	like
it	it	it
.	.	.
Act	act	Act
like	like	like
you	you	you
know	know	know
that	that	that
you	you	you
re	re	re
big	big	big
enough	enough	enough
not	not	not
to	to	to
have	have	have
to	to	to
win	win	win
every	everi	every
fight	fight	fight
or	or	or
respond	respond	respond
to	to	to
every	everi	every
criticism	critic	criticism
.	.	.
Act	act	Act
like	like	like
you	you	you
know	know	know
where	where	where
the	the	the
high	high	high
road	road	road
is	is	is
.	.	.
Confident	confid	Confident
and	and	and
secure	secur	secure
people	peopl	people
ask	ask	ask
for	for	for
help	help	help
,	,	,
and	and	and
for	for	for
forgiveness	forgiv	forgiveness
.	.	.
Insecure	insecur	Insecure
people	peopl	people
think	think	think
they	they	they
know	know	know
everything	everyth	everything
and	and	and
need	need	need
no	no	no
help	help	help
.	.	.
Lemon	lemon	Lemon
went	went	went
on	on	on
to	to	to
call	call	call
La	la	La
David	david	David
Johnson	johnson	Johnson
a	a	a
hero	hero	hero
and	and	and
said	said	said
that	that	that
he	he	he
is	is	is
a	a	a
role	role	role
model	model	model
to	to	to
him	him	him
as	as	a
an	an	an
awesome	awesom	awesome
soldier	soldier	soldier
,	,	,
a	a	a
great	great	great
man	man	man
,	,	,
and	and	and
a	a	a
great	great	great
American	american	American
.	.	.
After	after	After
Lemon	lemon	Lemon
read	read	read
his	his	his
open	open	open
letter	letter	letter
,	,	,
he	he	he
introduced	introduc	introduced
a	a	a
CNN	cnn	CNN
panel	panel	panel
but	but	but
had	had	had
to	to	to
stop	stop	stop
for	for	for
a	a	a
few	few	few
seconds	second	second
to	to	to
compose	compos	compose
himself	himself	himself
after	after	after
he	he	he
appeared	appear	appeared
to	to	to
be	be	be
crying	cri	cry
.	.	.
Sorry	sorri	Sorry
,	,	,
I	i	I
m	m	m
sorry	sorri	sorry
,	,	,
Lemon	lemon	Lemon
said	said	said
.	.	.
