Wow	wow	Wow
about	about	about
,	,	,
and	and	and
are	are	are
instead	instead	instead
concerned	concern	concerned
about	about	about
policy	polici	policy
issues	issu	issue
and	and	and
beating	beat	beating
Democratic	democrat	Democratic
candidate	candid	candidate
former	former	former
Secretary	secretari	Secretary
of	of	of
State	state	State
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Cruz	cruz	Cruz
further	further	further
stated	state	stated
that	that	that
the	the	the
media	media	medium
loves	love	love
to	to	to
obsess	obsess	ob
about	about	about
process	process	process
.	.	.
This	this	This
process	process	process
,	,	,
and	and	and
this	this	this
whining	whine	whining
from	from	from
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
is	is	is
all	all	all
silly	silli	silly
.	.	.
It	it	It
s	s	s
very	veri	very
,	,	,
very	veri	very
simple	simpl	simple
.	.	.
https://youtu.be/En5jPy8SzjUHannity	https://youtu.be/en5jpy8szjuhann	https://youtu.be/En5jPy8SzjUHannity
then	then	then
cut	cut	cut
in	in	in
to	to	to
say	say	say
,	,	,
I	i	I
m	m	m
on	on	on
social	social	social
media	media	medium
,	,	,
with	with	with
millions	million	million
of	of	of
people	peopl	people
.	.	.
I	i	I
have	have	have
550	550	550
radio	radio	radio
stations	station	station
.	.	.
And	and	And
I	i	I
have	have	have
the	the	the
top	top	top
-rated	-rate	-rated
cable	cabl	cable
in	in	in
my	my	my
hour	hour	hour
,	,	,
all	all	all
across	across	across
the	the	the
board	board	board
.	.	.
And	and	And
I	i	I
am	am	am
telling	tell	telling
you	you	you
,	,	,
that	that	that
people	peopl	people
are	are	are
telling	tell	telling
me	me	me
,	,	,
that	that	that
they	they	they
find	find	find
this	this	this
whole	whole	whole
process	process	process
confusing	confus	confusing
.	.	.
He	he	He
further	further	further
stated	state	stated
that	that	that
this	this	this
wasn	wasn	wasn
t	t	t
a	a	a
process	process	process
question	question	question
.	.	.
It	it	It
s	s	s
an	an	an
integrity	integr	integrity
of	of	of
the	the	the
election	elect	election
question	question	question
.	.	.
And	and	And
everybody	everybodi	everybody
s	s	s
asking	ask	asking
me	me	me
this	this	this
question	question	question
.	.	.
So	so	So
,	,	,
I	i	I
want	want	want
I	i	I
m	m	m
giving	give	giving
you	you	you
an	an	an
opportunity	opportun	opportunity
to	to	to
explain	explain	explain
it	it	it
.	.	.
Cruz	cruz	Cruz
responded	respond	responded
,	,	,
Sean	sean	Sean
,	,	,
the	the	the
only	onli	only
people	peopl	people
asking	ask	asking
this	this	this
question	question	question
,	,	,
are	are	are
the	the	the
hardcore	hardcor	hardcore
Donald	donald	Donald
Trump	trump	Trump
supporters	support	supporter
.	.	.
Hannity	hanniti	Hannity
again	again	again
cut	cut	cut
in	in	in
to	to	to
ask	ask	ask
,	,	,
Senator	senat	Senator
,	,	,
why	whi	why
do	do	do
you	you	you
this	this	this
?	?	?
Every	everi	Every
single	singl	single
time	time	time
you	you	you
you	you	you
ve	ve	ve
got	got	got
to	to	to
stop	stop	stop
.	.	.
Every	everi	Every
time	time	time
I	i	I
have	have	have
you	you	you
on	on	on
the	the	the
air	air	air
,	,	,
and	and	and
I	i	I
ask	ask	ask
a	a	a
legitimate	legitim	legitimate
question	question	question
,	,	,
you	you	you
try	tri	try
to	to	to
throw	throw	throw
this	this	this
in	in	in
my	my	my
face	face	face
.	.	.
I	i	I
m	m	m
getting	get	getting
sick	sick	sick
of	of	of
it	it	it
.	.	.
I	i	I
ve	ve	ve
had	had	had
you	you	you
on	on	on
more	more	more
than	than	than
any	ani	any
other	other	other
candidate	candid	candidate
,	,	,
on	on	on
radio	radio	radio
and	and	and
TV	tv	TV
.	.	.
So	so	So
,	,	,
if	if	if
I	i	I
ask	ask	ask
you	you	you
,	,	,
Senator	senat	Senator
,	,	,
a	a	a
legitimate	legitim	legitimate
question	question	question
to	to	to
explain	explain	explain
to	to	to
the	the	the
audience	audienc	audience
,	,	,
why	whi	why
don	don	don
t	t	t
you	you	you
just	just	just
answer	answer	answer
it	it	it
?	?	?
Cruz	cruz	Cruz
then	then	then
said	said	said
,	,	,
Sean	sean	Sean
,	,	,
can	can	can
I	i	I
answer	answer	answer
your	your	your
question	question	question
without	without	without
being	be	being
interrupted	interrupt	interrupted
?	?	?
Cruz	cruz	Cruz
then	then	then
talked	talk	talked
about	about	about
the	the	the
results	result	result
in	in	in
Utah	utah	Utah
,	,	,
North	north	North
Dakota	dakota	Dakota
,	,	,
Wisconsin	wisconsin	Wisconsin
,	,	,
Colorado	colorado	Colorado
,	,	,
and	and	and
Wyoming	wyom	Wyoming
,	,	,
all	all	all
of	of	of
which	which	which
Cruz	cruz	Cruz
has	has	ha
won	won	won
.	.	.
He	he	He
added	ad	added
,	,	,
Over	over	Over
1	1	1
.	.	.
3	3	3
million	million	million
people	peopl	people
voted	vote	voted
in	in	in
those	those	those
5	5	5
states	state	state
.	.	.
We	we	We
won	won	won
all	all	all
5	5	5
.	.	.
All	all	All
of	of	of
this	this	this
noise	nois	noise
and	and	and
complaining	complain	complaining
and	and	and
whining	whine	whining
has	has	ha
come	come	come
from	from	from
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
,	,	,
because	becaus	because
they	they	they
don	don	don
t	t	t
like	like	like
the	the	the
fact	fact	fact
that	that	that
they	they	they
ve	ve	ve
5	5	5
elections	elect	election
in	in	in
a	a	a
row	row	row
,	,	,
that	that	that
Republicans	republican	Republicans
are	are	are
uniting	unit	uniting
behind	behind	behind
our	our	our
campaign	campaign	campaign
.	.	.
So	so	So
,	,	,
they	they	they
re	re	re
screaming	scream	screaming
,	,	,
on	on	on
Drudge	drudg	Drudge
,	,	,
and	and	and
it	it	it
s	s	s
getting	get	getting
echoed	echo	echoed
,	,	,
this	this	this
notion	notion	notion
of	of	of
voterless	voterless	voterless
election	elect	election
.	.	.
It	it	It
is	is	is
nonsense	nonsens	nonsense
.	.	.
They	they	They
are	are	are
making	make	making
it	it	it
up	up	up
.	.	.
Over	over	Over
1	1	1
.	.	.
3	3	3
million	million	million
people	peopl	people
voted	vote	voted
.	.	.
We	we	We
won	won	won
landslides	landslid	landslide
in	in	in
all	all	all
5	5	5
.	.	.
Cruz	cruz	Cruz
continued	continu	continued
,	,	,
Now	now	Now
,	,	,
there	there	there
is	is	is
a	a	a
second	second	second
component	compon	component
,	,	,
beyond	beyond	beyond
the	the	the
elections	elect	election
,	,	,
which	which	which
is	is	is
the	the	the
individual	individu	individual
delegates	deleg	delegate
are	are	are
elected	elect	elected
by	by	by
the	the	the
people	peopl	people
.	.	.
Donald	donald	Donald
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
does	doe	doe
not	not	not
know	know	know
how	how	how
to	to	to
organize	organ	organize
on	on	on
the	the	the
grassroots	grassroot	grassroots
.	.	.
And	and	And
so	so	so
,	,	,
when	when	when
the	the	the
delegates	deleg	delegate
are	are	are
elected	elect	elected
,	,	,
conservative	conserv	conservative
activists	activist	activist
,	,	,
real	real	real
conservative	conserv	conservative
activists	activist	activist
show	show	show
up	up	up
,	,	,
and	and	and
they	they	they
elect	elect	elect
delegates	deleg	delegate
,	,	,
and	and	and
we	we	we
are	are	are
winning	win	winning
those	those	those
elections	elect	election
over	over	over
and	and	and
over	over	over
and	and	and
over	over	over
again	again	again
.	.	.
The	the	The
Donald	donald	Donald
Trump	trump	Trump
campaign	campaign	campaign
doesn	doesn	doesn
t	t	t
know	know	know
what	what	what
they	they	they
re	re	re
doing	do	doing
.	.	.
They	they	They
don	don	don
t	t	t
show	show	show
up	up	up
.	.	.
In	in	In
Colorado	colorado	Colorado
,	,	,
the	the	the
Donald	donald	Donald
Trump	trump	Trump
team	team	team
was	was	wa
handing	hand	handing
out	out	out
flyers	flyer	flyer
asking	ask	asking
their	their	their
supporters	support	supporter
to	to	to
vote	vote	vote
for	for	for
a	a	a
slate	slate	slate
of	of	of
delegates	deleg	delegate
,	,	,
they	they	they
included	includ	included
Cruz	cruz	Cruz
delegates	deleg	delegate
on	on	on
their	their	their
slate	slate	slate
.	.	.
They	they	They
just	just	just
they	they	they
didn	didn	didn
t	t	t
even	even	even
know	know	know
how	how	how
type	type	type
up	up	up
a	a	a
piece	piec	piece
of	of	of
paper	paper	paper
without	without	without
getting	get	getting
it	it	it
wrong	wrong	wrong
.	.	.
In	in	In
Washington	washington	Washington
state	state	state
,	,	,
when	when	when
Washington	washington	Washington
state	state	state
elected	elect	elected
their	their	their
delegates	deleg	delegate
,	,	,
three	three	three
days	day	day
before	befor	before
the	the	the
election	elect	election
,	,	,
the	the	the
Donald	donald	Donald
Trump	trump	Trump
campaign	campaign	campaign
,	,	,
in	in	in
a	a	a
panic	panic	panic
,	,	,
realized	realiz	realized
Washington	washington	Washington
state	state	state
was	was	wa
getting	get	getting
ready	readi	ready
to	to	to
elect	elect	elect
their	their	their
delegates	deleg	delegate
.	.	.
They	they	They
sent	sent	sent
out	out	out
an	an	an
emergency	emerg	emergency
email	email	email
to	to	to
their	their	their
Washington	washington	Washington
supporters	support	supporter
,	,	,
but	but	but
they	they	they
screwed	screw	screwed
up	up	up
,	,	,
and	and	and
sent	sent	sent
it	it	it
to	to	to
their	their	their
Washington	washington	Washington
,	,	,
DC	dc	DC
supporters	support	supporter
,	,	,
instead	instead	instead
of	of	of
their	their	their
Washington	washington	Washington
state	state	state
supporters	support	supporter
.	.	.
I	i	I
cannot	cannot	cannot
help	help	help
that	that	that
the	the	the
Donald	donald	Donald
Trump	trump	Trump
campaign	campaign	campaign
does	doe	doe
not	not	not
seem	seem	seem
capable	capabl	capable
of	of	of
running	run	running
a	a	a
lemonade	lemonad	lemonade
stand	stand	stand
.	.	.
Elections	elect	Elections
are	are	are
won	won	won
by	by	by
voters	voter	voter
and	and	and
grassroots	grassroot	grassroots
activists	activist	activist
showing	show	showing
up	up	up
and	and	and
voting	vote	voting
for	for	for
the	the	the
candidate	candid	candidate
they	they	they
support	support	support
.	.	.
Via	via	Via
Breitbart	breitbart	Breitbart
News	news	News
