Usually	usual	Usually
care	care	care
provided	provid	provided
for	for	for
the	the	the
most	most	most
vulnerable	vulner	vulnerable
among	among	among
us	us	u
since	sinc	since
he	he	he
was	was	wa
a	a	a
college	colleg	college
kid	kid	kid
,	,	,
despite	despit	despite
the	the	the
fact	fact	fact
that	that	that
what	what	what
he	he	he
now	now	now
calls	call	call
entitlements	entitl	entitlement
are	are	are
what	what	what
got	got	got
him	him	him
through	through	through
college	colleg	college
after	after	after
his	his	his
father	father	father
s	s	s
death	death	death
,	,	,
as	as	a
he	he	he
paid	paid	paid
for	for	for
his	his	his
education	educ	education
with	with	with
the	the	the
survivor	survivor	survivor
s	s	s
benefits	benefit	benefit
.	.	.

Funny	funni	Funny
how	how	how
people	peopl	people
forget	forget	forget
where	where	where
they	they	they
come	come	come
from	from	from
,	,	,
isn	isn	isn
t	t	t
it	it	it
?	?	?
Oh	oh	Oh
,	,	,
if	if	if
only	onli	only
Joe	joe	Joe
Biden	biden	Biden
or	or	or
Hillary	hillari	Hillary
Clinton	clinton	Clinton
were	were	were
president	presid	president
.	.	.

We	we	We
might	might	might
actually	actual	actually
have	have	have
some	some	some
compassion	compass	compassion
at	at	at
the	the	the
top	top	top
,	,	,
instead	instead	instead
of	of	of
the	the	the
sociopathic	sociopath	sociopathic
monstrosities	monstros	monstrosity
who	who	who
somehow	somehow	somehow
pass	pass	pas
for	for	for
human	human	human
beings	be	being
that	that	that
we	we	we
have	have	have
now	now	now
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Leigh	leigh	Leigh
Vogel	vogel	Vogel
Getty	getti	Getty
Images	imag	Images

