Alleged	alleg	Alleged
Trump	trump	Trump
is	is	is
watching	watch	watching
Finding	find	Finding
Dory	dori	Dory
with	with	with
his	his	his
unvetted	unvet	unvetted
staffers	staffer	staffer
and	and	and
their	their	their
families	famili	family
.	.	.

https://t.co/tLSoAhgh7g	https://t.co/tlsoahgh7g	https://t.co/tLSoAhgh7g
Fernando	fernando	Fernando
Espuelas	espuela	Espuelas
@EspuelasVox	@espuelasvox	@EspuelasVox
January	januari	January
29	29	29
,	,	,
2017If	2017if	2017If
you	you	you
wonder	wonder	wonder
what	what	what
Trump	trump	Trump
will	will	will
be	be	be
doing	do	doing
today	today	today
during	dure	during
a	a	a
potential	potenti	potential
constitutional	constitut	constitutional
crisis	crisi	crisis
that	that	that
he	he	he
d	d	d
have	have	have
triggered	trigger	triggered
he	he	he
s	s	s
watching	watch	watching
Finding	find	Finding
Dory	dori	Dory
https://t.co/aX7GXzLwZj	https://t.co/ax7gxzlwzj	https://t.co/aX7GXzLwZj
Zachary	zachari	Zachary
Alfred	alfr	Alfred
@ZacAlf	@zacalf	@ZacAlf
January	januari	January
29	29	29
,	,	,
2017And	2017and	2017And
it	it	it
s	s	s
Finding	find	Finding
Dory	dori	Dory
.	.	.

For	for	For
real	real	real
.	.	.

This	this	This
is	is	is
happening	happen	happening
.	.	.

https://t.co/CnZtrN2sgy	https://t.co/cnztrn2sgi	https://t.co/CnZtrN2sgy
Bronwen	bronwen	Bronwen
Dickey	dickey	Dickey
@BronwenDickey	@bronwendickey	@BronwenDickey
January	januari	January
29	29	29
,	,	,
2017The	2017the	2017The
nation	nation	nation
is	is	is
in	in	in
turmoil	turmoil	turmoil
over	over	over
the	the	the
Executive	execut	Executive
Order	order	Order
,	,	,
and	and	and
@POTUS	@potus	@POTUS
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
will	will	will
be	be	be
watching	watch	watching
@findingdory	@findingdori	@findingdory
.	.	.

https://t.co/snpcZJuU2k	https://t.co/snpczjuu2k	https://t.co/snpcZJuU2k
Derry	derri	Derry
London	london	London
@Derry_London	@derry_london	@Derry_London
January	januari	January
29	29	29
,	,	,
2017Odd	2017odd	2017Odd
that	that	that
Trump	trump	Trump
is	is	is
watching	watch	watching
Finding	find	Finding
Dory	dori	Dory
today	today	today
,	,	,
a	a	a
movie	movi	movie
about	about	about
reuniting	reunit	reuniting
with	with	with
family	famili	family
when	when	when
he	he	he
s	s	s
preventing	prevent	preventing
it	it	it
in	in	in
real	real	real
life	life	life
.	.	.

Albert	albert	Albert
Brooks	brook	Brooks
@AlbertBrooks	@albertbrook	@AlbertBrooks
January	januari	January
29	29	29
,	,	,
2017Bannon	2017bannon	2017Bannon
running	run	running
amok	amok	amok
while	while	while
Trump	trump	Trump
watches	watch	watch
Finding	find	Finding
Dory	dori	Dory
pic.twitter.com/odwqyt5Tjp	pic.twitter.com/odwqyt5tjp	pic.twitter.com/odwqyt5Tjp
Joshua	joshua	Joshua
Block	block	Block
@JoshACLU	@joshaclu	@JoshACLU
January	januari	January
29	29	29
,	,	,
2017Finding	2017find	2017Finding
Dory	dori	Dory
is	is	is
mostly	most	mostly
about	about	about
a	a	a
family	famili	family
reuniting	reunit	reuniting
across	across	across
a	a	a
border	border	border
that	that	that
wouldn	wouldn	wouldn
t	t	t
be	be	be
blocked	block	blocked
by	by	by
a	a	a
wall	wall	wall
Jared	jare	Jared
Rizzi	rizzi	Rizzi
@JaredRizzi	@jaredrizzi	@JaredRizzi
January	januari	January
29	29	29
,	,	,
2017Imagine	2017imagin	2017Imagine
if	if	if
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
just	just	just
sat	sat	sat
back	back	back
,	,	,
chillin	chillin	chillin
out	out	out
,	,	,
watching	watch	watching
a	a	a
cartoon	cartoon	cartoon
while	while	while
the	the	the
world	world	world
is	is	is
freaking	freak	freaking
out	out	out
over	over	over
chaos	chao	chaos
he	he	he
created	creat	created
.	.	.
Image	imag	Image
Pixar	pixar	Pixar
with	with	with
added	ad	added
photo	photo	photo
of	of	of
Trump	trump	Trump
by	by	by
Scott	scott	Scott
Olson	olson	Olson
Getty	getti	Getty
Images	imag	Images
.	.	.

