Mike	mike	Mike
to	to	to
confiscate	confisc	confiscate
everyone	everyon	everyone
s	s	s
guns	gun	gun
.	.	.

There	there	There
has	has	ha
been	been	been
some	some	some
backlash	backlash	backlash
,	,	,
though	though	though
,	,	,
not	not	not
just	just	just
on	on	on
social	social	social
media	media	medium
,	,	,
but	but	but
also	also	also
from	from	from
a	a	a
couple	coupl	couple
of	of	of
people	peopl	people
that	that	that
NH1	nh1	NH1
TV	tv	TV
spoke	spoke	spoke
to	to	to
.	.	.

At	at	At
least	least	least
there	there	there
are	are	are
least	least	least
still	still	still
some	some	some
sane	sane	sane
people	peopl	people
out	out	out
there	there	there
To	to	To
me	me	me
that	that	that
s	s	s
just	just	just
getting	get	getting
more	more	more
of	of	of
the	the	the
nut	nut	nut
jobs	job	job
out	out	out
there	there	there
doing	do	doing
harm	harm	harm
to	to	to
more	more	more
people	peopl	people
that	that	that
don	don	don
t	t	t
deserve	deserv	deserve
it	it	it
.	.	.

My	my	My
opinion	opinion	opinion
,	,	,
military	militari	military
and	and	and
police	polic	police
are	are	are
the	the	the
only	onli	only
ones	one	one
that	that	that
should	should	should
have	have	have
them	them	them
.	.	.

Hagan	hagan	Hagan
has	has	ha
partnered	partner	partnered
with	with	with
a	a	a
local	local	local
gun	gun	gun
dealer	dealer	dealer
to	to	to
run	run	run
his	his	his
promotion	promot	promotion
,	,	,
and	and	and
customers	custom	customer
have	have	have
to	to	to
go	go	go
there	there	there
to	to	to
go	go	go
through	through	through
a	a	a
background	background	background
check	check	check
and	and	and
get	get	get
the	the	the
weapons	weapon	weapon
.	.	.

Apparently	appar	Apparently
,	,	,
that	that	that
makes	make	make
it	it	it
all	all	all
okay	okay	okay
because	becaus	because
it	it	it
means	mean	mean
he	he	he
knows	know	know
he	he	he
can	can	can
t	t	t
give	give	give
them	them	them
out	out	out
like	like	like
they	they	they
re	re	re
candy	candi	candy
.	.	.
Besides	besid	Besides
that	that	that
,	,	,
he	he	he
believes	believ	belief
that	that	that
the	the	the
people	peopl	people
who	who	who
take	take	take
advantage	advantag	advantage
of	of	of
this	this	this
promotion	promot	promotion
will	will	will
be	be	be
fully	fulli	fully
responsible	respons	responsible
,	,	,
because	becaus	because
everyone	everyon	everyone
knows	know	know
that	that	that
all	all	all
the	the	the
people	peopl	people
who	who	who
obtain	obtain	obtain
their	their	their
guns	gun	gun
legally	legal	legally
are	are	are
very	veri	very
responsible	respons	responsible
gun	gun	gun
owners	owner	owner
oh	oh	oh
wait	wait	wait
.	.	.

Omar	omar	Omar
Mateen	mateen	Mateen
,	,	,
and	and	and
so	so	so
many	mani	many
other	other	other
mass	mass	mass
shooters	shooter	shooter
,	,	,
bought	bought	bought
their	their	their
guns	gun	gun
legally	legal	legally
,	,	,
not	not	not
to	to	to
mention	mention	mention
all	all	all
the	the	the
idiots	idiot	idiot
who	who	who
have	have	have
no	no	no
clue	clue	clue
what	what	what
gun	gun	gun
safety	safeti	safety
is	is	is
,	,	,
and	and	and
end	end	end
up	up	up
accidentally	accident	accidentally
shooting	shoot	shooting
someone	someon	someone
to	to	to
death	death	death
.	.	.
Hagan	hagan	Hagan
claims	claim	claim
he	he	he
won	won	won
t	t	t
extend	extend	extend
the	the	the
offer	offer	offer
to	to	to
someone	someon	someone
from	from	from
whom	whom	whom
he	he	he
gets	get	get
a	a	a
bad	bad	bad
feeling	feel	feeling
.	.	.

So	so	So
,	,	,
what	what	what
,	,	,
he	he	he
s	s	s
telepathic	telepath	telepathic
and	and	and
knows	know	know
who	who	who
has	has	ha
bad	bad	bad
intentions	intent	intention
?	?	?

Horse	hors	Horse
hockey	hockey	hockey
.	.	.

This	this	This
is	is	is
still	still	still
sick	sick	sick
,	,	,
it	it	it
s	s	s
still	still	still
irresponsible	irrespons	irresponsible
,	,	,
and	and	and
it	it	it
s	s	s
still	still	still
cruel	cruel	cruel
and	and	and
insensitive	insensit	insensitive
.	.	.

It	it	It
also	also	also
demonstrates	demonstr	demonstrates
just	just	just
how	how	how
sick	sick	sick
as	as	a
a	a	a
society	societi	society
we	we	we
ve	ve	ve
become	becom	become
where	where	where
this	this	this
kind	kind	kind
of	of	of
thing	thing	thing
is	is	is
seen	seen	seen
as	as	a
something	someth	something
to	to	to
celebrate	celebr	celebrate
by	by	by
so	so	so
many	mani	many
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
from	from	from
NH1	nh1	NH1
-TV	-tv	-TV
report	report	report

