Sen	sen	Sen
that	that	that
Sessions	session	Sessions
cites	cite	cite
as	as	a
evidence	evid	evidence
for	for	for
this	this	this
claim	claim	claim
,	,	,
so	so	so
we	we	we
know	know	know
The	the	The
record	record	record
isn	isn	isn
t	t	t
Sessions	session	Sessions
to	to	to
burnish	burnish	burnish
.	.	.

We	we	We
won	won	won
t	t	t
let	let	let
the	the	the
nominee	nomine	nominee
misstate	misstat	misstate
his	his	his
civil	civil	civil
rights	right	right
history	histori	history
to	to	to
get	get	get
the	the	the
job	job	job
of	of	of
the	the	the
nation	nation	nation
s	s	s
chief	chief	chief
law	law	law
enforcement	enforc	enforcement
officer	offic	officer
.	.	.

Sessions	session	Sessions
had	had	had
to	to	to
fill	fill	fill
out	out	out
a	a	a
questionnaire	questionnair	questionnaire
and	and	and
file	file	file
it	it	it
with	with	with
the	the	the
Senate	senat	Senate
Judiciary	judiciari	Judiciary
Committee	committe	Committee
.	.	.

In	in	In
that	that	that
questionnaire	questionnair	questionnaire
,	,	,
he	he	he
listed	list	listed
four	four	four
cases	case	case
that	that	that
he	he	he
claims	claim	claim
he	he	he
personally	person	personally
litigated	litig	litigated
as	as	a
Alabama	alabama	Alabama
s	s	s
attorney	attorney	attorney
general	general	general
in	in	in
the	the	the
1980s	1980s	1980s
.	.	.

After	after	After
receiving	receiv	receiving
backlash	backlash	backlash
for	for	for
that	that	that
lie	lie	lie
,	,	,
he	he	he
then	then	then
tried	tri	tried
to	to	to
claim	claim	claim
he	he	he
provided	provid	provided
assistance	assist	assistance
and	and	and
guidance	guidanc	guidance
on	on	on
these	these	these
cases	case	case
.	.	.

One	one	One
of	of	of
the	the	the
examples	exampl	example
these	these	these
lawyers	lawyer	lawyer
give	give	give
to	to	to
show	show	show
Sessions	session	Sessions
is	is	is
trying	tri	trying
exaggerating	exagger	exaggerating
his	his	his
record	record	record
on	on	on
civil	civil	civil
rights	right	right
Sessions	session	Sessions
supported	support	supported
reauthorizing	reauthor	reauthorizing
the	the	the
Voting	vote	Voting
Rights	right	Rights
act	act	act
ten	ten	ten
years	year	year
ago	ago	ago
,	,	,
and	and	and
he	he	he
s	s	s
promoting	promot	promoting
that	that	that
as	as	a
solid	solid	solid
evidence	evid	evidence
that	that	that
he	he	he
s	s	s
a	a	a
civil	civil	civil
rights	right	right
champ	champ	champ
.	.	.
The	the	The
truth	truth	truth
there	there	there
is	is	is
that	that	that
the	the	the
reauthorization	reauthor	reauthorization
passed	pass	passed
the	the	the
Senate	senat	Senate
by	by	by
a	a	a
vote	vote	vote
of	of	of
98	98	98
-0	-0	-0
.	.	.

As	as	As
such	such	such
,	,	,
there	there	there
was	was	wa
no	no	no
feat	feat	feat
of	of	of
courage	courag	courage
involved	involv	involved
in	in	in
supporting	support	supporting
that	that	that
reauthorization	reauthor	reauthorization
.	.	.

It	it	It
would	would	would
mean	mean	mean
a	a	a
lot	lot	lot
more	more	more
if	if	if
he	he	he
d	d	d
supported	support	supported
it	it	it
with	with	with
significant	signific	significant
opposition	opposit	opposition
from	from	from
his	his	his
own	own	own
party	parti	party
.	.	.

Then	then	Then
he	he	he
celebrated	celebr	celebrated
the	the	the
Supreme	suprem	Supreme
Court	court	Court
s	s	s
decision	decis	decision
to	to	to
gut	gut	gut
the	the	the
Voting	vote	Voting
Rights	right	Rights
Act	act	Act
,	,	,
which	which	which
led	led	led
to	to	to
Southern	southern	Southern
states	state	state
working	work	working
their	their	their
tails	tail	tail
off	off	off
to	to	to
keep	keep	keep
minorities	minor	minority
from	from	from
voting	vote	voting
.	.	.
Sessions	session	Sessions
also	also	also
once	onc	once
lost	lost	lost
out	out	out
on	on	on
a	a	a
judgeship	judgeship	judgeship
because	becaus	because
of	of	of
his	his	his
racism	racism	racism
.	.	.

In	in	In
1986	1986	1986
,	,	,
the	the	the
state	state	state
of	of	of
Alabama	alabama	Alabama
turned	turn	turned
him	him	him
down	down	down
for	for	for
a	a	a
position	posit	position
as	as	a
a	a	a
judge	judg	judge
after	after	after
he	he	he
called	call	called
a	a	a
black	black	black
lawyer	lawyer	lawyer
boy	boy	boy
.	.	.

He	he	He
supposedly	suppos	supposedly
also	also	also
told	told	told
another	anoth	another
attorney	attorney	attorney
to	to	to
be	be	be
careful	care	careful
what	what	what
you	you	you
say	say	say
to	to	to
white	white	white
folks	folk	folk
.	.	.

He	he	He
also	also	also
denigrated	denigr	denigrated
both	both	both
the	the	the
ACLU	aclu	ACLU
and	and	and
the	the	the
NAACP	naacp	NAACP
as	as	a
un	un	un
-American	-american	-American
organizations	organ	organization
that	that	that
were	were	were
inspired	inspir	inspired
by	by	by
Communists	communist	Communists
.	.	.
Because	becaus	Because
equality	equal	equality
is	is	is
totally	total	totally
a	a	a
communist	communist	communist
trait	trait	trait
.	.	.
The	the	The
NAACP	naacp	NAACP
has	has	ha
actually	actual	actually
been	been	been
protesting	protest	protesting
his	his	his
nomination	nomin	nomination
as	as	a
Attorney	attorney	Attorney
General	general	General
,	,	,
and	and	and
several	sever	several
got	got	got
arrested	arrest	arrested
for	for	for
doing	do	doing
so	so	so
.	.	.

For	for	For
as	as	a
not	not	not
-racist	-racist	-racist
as	as	a
Sessions	session	Sessions
supposedly	suppos	supposedly
is	is	is
,	,	,
one	one	one
would	would	would
think	think	think
he	he	he
d	d	d
yell	yell	yell
at	at	at
anyone	anyon	anyone
who	who	who
arrested	arrest	arrested
peaceful	peac	peaceful
protesters	protest	protester
who	who	who
were	were	were
just	just	just
speaking	speak	speaking
out	out	out
about	about	about
racial	racial	racial
inequality	inequ	inequality
.	.	.
Instead	instead	Instead
,	,	,
these	these	these
protesters	protest	protester
face	face	face
charges	charg	charge
of	of	of
criminal	crimin	criminal
trespass	trespass	trespass
.	.	.
The	the	The
civil	civil	civil
rights	right	right
attorneys	attorney	attorney
that	that	that
actually	actual	actually
know	know	know
what	what	what
they	they	they
re	re	re
talking	talk	talking
about	about	about
say	say	say
that	that	that
Sessions	session	Sessions
involvement	involv	involvement
in	in	in
the	the	the
cases	case	case
they	they	they
themselves	themselv	themselves
litigated	litig	litigated
is	is	is
limited	limit	limited
to	to	to
his	his	his
signing	sign	signing
a	a	a
complaint	complaint	complaint
and	and	and
maybe	mayb	maybe
a	a	a
few	few	few
briefs	brief	brief
.	.	.

He	he	He
didn	didn	didn
t	t	t
personally	person	personally
litigate	litig	litigate
anything	anyth	anything
,	,	,
and	and	and
if	if	if
he	he	he
had	had	had
,	,	,
he	he	he
probably	probabl	probably
would	would	would
have	have	have
done	done	done
so	so	so
with	with	with
an	an	an
eye	eye	eye
towards	toward	towards
,	,	,
Black	black	Black
people	peopl	people
bring	bring	bring
this	this	this
on	on	on
themselves	themselv	themselves
because	becaus	because
they	they	they
re	re	re
black	black	black
.	.	.

In	in	In
fact	fact	fact
,	,	,
they	they	they
end	end	end
their	their	their
op	op	op
-ed	-ed	-ed
with	with	with
Sessions	session	Sessions
has	has	ha
not	not	not
worked	work	worked
to	to	to
protect	protect	protect
civil	civil	civil
rights	right	right
.	.	.

He	he	He
worked	work	worked
against	against	against
civil	civil	civil
rights	right	right
at	at	at
every	everi	every
turn	turn	turn
.	.	.

Sessions	session	Sessions
knows	know	know
that	that	that
his	his	his
real	real	real
record	record	record
on	on	on
race	race	race
and	and	and
civil	civil	civil
rights	right	right
is	is	is
harmful	harm	harmful
to	to	to
his	his	his
chances	chanc	chance
for	for	for
confirmation	confirm	confirmation
.	.	.

So	so	So
he	he	he
has	has	ha
made	made	made
up	up	up
a	a	a
fake	fake	fake
one	one	one
.	.	.

But	but	But
many	mani	many
of	of	of
us	us	u
who	who	who
were	were	were
there	there	there
in	in	in
Alabama	alabama	Alabama
in	in	in
the	the	the
1980s	1980s	1980s
,	,	,
1990s	1990s	1990s
and	and	and
beyond	beyond	beyond
are	are	are
still	still	still
around	around	around
.	.	.

We	we	We
lived	live	lived
that	that	that
story	stori	story
,	,	,
too	too	too
.	.	.

And	and	And
we	we	we
are	are	are
here	here	here
to	to	to
testify	testifi	testify
that	that	that
Sessions	session	Sessions
has	has	ha
done	done	done
many	mani	many
things	thing	thing
throughout	throughout	throughout
his	his	his
40	40	40
-year	-year	-year
career	career	career
.	.	.

Protecting	protect	Protecting
civil	civil	civil
rights	right	right
has	has	ha
not	not	not
been	been	been
one	one	one
of	of	of
them	them	them
.	.	.

Both	both	Both
Sessions	session	Sessions
and	and	and
Trump	trump	Trump
probably	probabl	probably
think	think	think
that	that	that
Congress	congress	Congress
will	will	will
buy	buy	buy
their	their	their
revisionist	revisionist	revisionist
history	histori	history
.	.	.

To	to	To
them	them	them
,	,	,
equality	equal	equality
doesn	doesn	doesn
t	t	t
matter	matter	matter
in	in	in
their	their	their
view	view	view
,	,	,
white	white	white
people	peopl	people
rule	rule	rule
and	and	and
everyone	everyon	everyone
else	els	else
drools	drool	drool
.	.	.

There	there	There
s	s	s
a	a	a
reason	reason	reason
white	white	white
supremacists	supremacist	supremacist
are	are	are
thrilled	thrill	thrilled
with	with	with
Trump	trump	Trump
s	s	s
election	elect	election
win	win	win
,	,	,
and	and	and
this	this	this
is	is	is
it	it	it
.	.	.

Jeff	jeff	Jeff
Sessions	session	Sessions
doesn	doesn	doesn
t	t	t
give	give	give
a	a	a
flying	fli	flying
fuck	fuck	fuck
about	about	about
civil	civil	civil
rights	right	right
.	.	.

He	he	He
doesn	doesn	doesn
t	t	t
know	know	know
a	a	a
thing	thing	thing
about	about	about
litigating	litig	litigating
civil	civil	civil
rights	right	right
cases	case	case
.	.	.

He	he	He
ll	ll	ll
make	make	make
a	a	a
shitty	shitti	shitty
attorney	attorney	attorney
general	general	general
,	,	,
and	and	and
will	will	will
only	onli	only
help	help	help
Trump	trump	Trump
further	further	further
his	his	his
agenda	agenda	agenda
of	of	of
setting	set	setting
this	this	this
country	countri	country
back	back	back
75	75	75
years	year	year
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Kevin	kevin	Kevin
Hagen	hagen	Hagen
Getty	getti	Getty
Images	imag	Images

