Not	not	Not
Buzzfeed	buzzfe	Buzzfeed
,	,	,
Three	three	Three
other	other	other
women	women	woman
,	,	,
who	who	who
asked	ask	asked
to	to	to
remain	remain	remain
anonymous	anonym	anonymous
for	for	for
fear	fear	fear
of	of	of
getting	get	getting
engulfed	engulf	engulfed
in	in	in
a	a	a
media	media	medium
firestorm	firestorm	firestorm
,	,	,
also	also	also
remembered	rememb	remembered
Trump	trump	Trump
entering	enter	entering
the	the	the
dressing	dress	dressing
room	room	room
while	while	while
girls	girl	girl
were	were	were
changing	chang	changing
.	.	.
Two	two	Two
of	of	of
them	them	them
said	said	said
the	the	the
girls	girl	girl
rushed	rush	rushed
to	to	to
cover	cover	cover
their	their	their
bodies	bodi	body
,	,	,
with	with	with
one	one	one
calling	call	calling
it	it	it
shocking	shock	shocking
and	and	and
creepy	creepi	creepy
.	.	.
The	the	The
third	third	third
said	said	said
she	she	she
was	was	wa
clothed	cloth	clothed
and	and	and
introduced	introduc	introduced
herself	herself	herself
to	to	to
Trump	trump	Trump
.	.	.
Seriously	serious	Seriously
,	,	,
Donald	donald	Donald
Trump	trump	Trump
should	should	should
have	have	have
been	been	been
on	on	on
the	the	the
sex	sex	sex
offender	offend	offender
list	list	list
.	.	.
He	he	He
sure	sure	sure
as	as	a
hell	hell	hell
shouldn	shouldn	shouldn
t	t	t
be	be	be
the	the	the
nominee	nomine	nominee
of	of	of
a	a	a
major	major	major
political	polit	political
party	parti	party
for	for	for
the	the	the
presidency	presid	presidency
.	.	.
But	but	But
Republicans	republican	Republicans
continue	continu	continue
to	to	to
support	support	support
Trump	trump	Trump
despite	despit	despite
his	his	his
lewd	lewd	lewd
comments	comment	comment
and	and	and
predatory	predatori	predatory
behavior	behavior	behavior
.	.	.
Their	their	Their
wives	wive	wife
,	,	,
daughters	daughter	daughter
,	,	,
mothers	mother	mother
,	,	,
and	and	and
sisters	sister	sister
must	must	must
be	be	be
so	so	so
proud	proud	proud
.	.	.
Featured	featur	Featured
Image	imag	Image
Ralph	ralph	Ralph
Freso	freso	Freso
Getty	getti	Getty
Images	imag	Images
