Rep	rep	Rep
This	this	This
stance	stanc	stance
would	would	would
have	have	have
likely	like	likely
been	been	been
problematic	problemat	problematic
for	for	for
Chaffetz	chaffetz	Chaffetz
in	in	in
the	the	the
2018	2018	2018
Congressional	congression	Congressional
race	race	race
,	,	,
to	to	to
say	say	say
the	the	the
least	least	least
.	.	.
His	his	His
state	state	state
largely	larg	largely
loathed	loath	loathed
Trump	trump	Trump
,	,	,
and	and	and
the	the	the
alternative	altern	alternative
conservative	conserv	conservative
candidate	candid	candidate
and	and	and
#NeverTrump	#nevertrump	#NeverTrump
media	media	medium
star	star	star
Evan	evan	Evan
McMullin	mcmullin	McMullin
got	got	got
a	a	a
good	good	good
chunk	chunk	chunk
of	of	of
the	the	the
vote	vote	vote
.	.	.
In	in	In
short	short	short
Chaffetz	chaffetz	Chaffetz
would	would	would
have	have	have
been	been	been
primaried	primari	primaried
,	,	,
and	and	and
would	would	would
have	have	have
likely	like	likely
suffered	suffer	suffered
a	a	a
crushing	crush	crushing
defeat	defeat	defeat
there	there	there
.	.	.
Instead	instead	Instead
of	of	of
risking	risk	risking
that	that	that
,	,	,
he	he	he
is	is	is
choosing	choos	choosing
to	to	to
bow	bow	bow
out	out	out
early	earli	early
,	,	,
and	and	and
use	use	use
lame	lame	lame
excuses	excus	excuse
to	to	to
do	do	do
so	so	so
.	.	.
All	all	All
I	i	I
can	can	can
say	say	say
is	is	is
good	good	good
riddance	riddanc	riddance
,	,	,
you	you	you
nasty	nasti	nasty
little	littl	little
tool	tool	tool
.	.	.
We	we	We
won	won	won
t	t	t
be	be	be
missing	miss	missing
you	you	you
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
