Just	just	Just
Foundation	foundat	Foundation
on	on	on
the	the	the
Daily	daili	Daily
Show	show	Show
with	with	with
John	john	John
Stewart	stewart	Stewart
,	,	,
and	and	and
how	how	how
it	it	it
might	might	might
make	make	make
people	peopl	people
question	question	question
if	if	if
donations	donat	donation
to	to	to
the	the	the
Foundation	foundat	Foundation
could	could	could
be	be	be
seen	seen	seen
as	as	a
pernicious	pernici	pernicious
I	i	I
made	made	made
charitable	charit	charitable
donations	donat	donation
to	to	to
the	the	the
Foundation	foundat	Foundation
in	in	in
support	support	support
of	of	of
the	the	the
work	work	work
they	they	they
re	re	re
doing	do	doing
on	on	on
global	global	global
AIDS	aid	AIDS
prevention	prevent	prevention
and	and	and
deforestation	deforest	deforestation
,	,	,
causes	caus	cause
I	i	I
care	care	care
about	about	about
deeply	deepli	deeply
,	,	,
he	he	he
said	said	said
.	.	.

I	i	I
thought	thought	thought
that	that	that
my	my	my
contributions	contribut	contribution
were	were	were
a	a	a
matter	matter	matter
of	of	of
public	public	public
record	record	record
.	.	.

However	howev	However
,	,	,
in	in	in
hindsight	hindsight	hindsight
,	,	,
I	i	I
should	should	should
have	have	have
taken	taken	taken
the	the	the
extra	extra	extra
step	step	step
of	of	of
personally	person	personally
disclosing	disclos	disclosing
my	my	my
donations	donat	donation
to	to	to
my	my	my
employer	employ	employer
and	and	and
to	to	to
the	the	the
viewers	viewer	viewer
on	on	on
air	air	air
during	dure	during
the	the	the
recent	recent	recent
news	news	news
stories	stori	story
about	about	about
the	the	the
Foundation	foundat	Foundation
.	.	.

I	i	I
apologize	apolog	apologize
.	.	.

Stephanopoulos	stephanopoulo	Stephanopoulos
is	is	is
the	the	the
chief	chief	chief
anchor	anchor	anchor
and	and	and
chief	chief	chief
political	polit	political
correspondent	correspond	correspondent
for	for	for
ABC	abc	ABC
News	news	News
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
co	co	co
-anchor	-anchor	-anchor
of	of	of
ABC	abc	ABC
s	s	s
Good	good	Good
Morning	morn	Morning
America	america	America
and	and	and
host	host	host
of	of	of
This	this	This
Week	week	Week
,	,	,
its	it	it
Sunday	sunday	Sunday
morning	morn	morning
public	public	public
affairs	affair	affair
program	program	program
.	.	.

Prior	prior	Prior
to	to	to
joining	join	joining
ABC	abc	ABC
News	news	News
,	,	,
he	he	he
served	serv	served
as	as	a
communications	communic	communication
director	director	director
and	and	and
senior	senior	senior
advisor	advisor	advisor
for	for	for
policy	polici	policy
and	and	and
strategy	strategi	strategy
to	to	to
President	presid	President
Clinton	clinton	Clinton
.	.	.

He	he	He
also	also	also
served	serv	served
as	as	a
communications	communic	communication
director	director	director
on	on	on
Bill	bill	Bill
Clinton	clinton	Clinton
s	s	s
1992	1992	1992
presidential	presidenti	presidential
campaign	campaign	campaign
.	.	.
In	in	In
its	it	it
own	own	own
statement	statement	statement
on	on	on
Thursday	thursday	Thursday
,	,	,
ABC	abc	ABC
News	news	News
said	said	said
it	it	it
was	was	wa
standing	stand	standing
behind	behind	behind
its	it	it
star	star	star
anchor	anchor	anchor
.	.	.

As	as	As
George	georg	George
has	has	ha
said	said	said
,	,	,
he	he	he
made	made	made
charitable	charit	charitable
donations	donat	donation
to	to	to
the	the	the
Foundation	foundat	Foundation
to	to	to
support	support	support
a	a	a
cause	caus	cause
he	he	he
cares	care	care
about	about	about
deeply	deepli	deeply
and	and	and
believed	believ	believed
his	his	his
contributions	contribut	contribution
were	were	were
a	a	a
matter	matter	matter
of	of	of
public	public	public
record	record	record
,	,	,
the	the	the
network	network	network
s	s	s
statement	statement	statement
read	read	read
.	.	.

He	he	He
should	should	should
have	have	have
taken	taken	taken
the	the	the
extra	extra	extra
step	step	step
to	to	to
notify	notifi	notify
us	us	u
and	and	and
our	our	our
viewers	viewer	viewer
during	dure	during
the	the	the
recent	recent	recent
news	news	news
reports	report	report
about	about	about
the	the	the
Foundation	foundat	Foundation
.	.	.

He	he	He
s	s	s
admitted	admit	admitted
to	to	to
an	an	an
honest	honest	honest
mistake	mistak	mistake
and	and	and
apologized	apolog	apologized
for	for	for
that	that	that
omission	omiss	omission
.	.	.

We	we	We
stand	stand	stand
behind	behind	behind
him	him	him
.	.	.

ABC	abc	ABC
News	news	News
later	later	later
told	told	told
the	the	the
On	on	On
Media	media	Media
blog	blog	blog
that	that	that
it	it	it
would	would	would
not	not	not
take	take	take
any	ani	any
punitive	punit	punitive
action	action	action
against	against	against
Stephanopoulos	stephanopoulo	Stephanopoulos
We	we	We
accept	accept	accept
his	his	his
apology	apolog	apology
,	,	,
a	a	a
spokesperson	spokesperson	spokesperson
said	said	said
.	.	.

It	it	It
was	was	wa
an	an	an
honest	honest	honest
mistake	mistak	mistake
.	.	.

Sources	sourc	Sources
with	with	with
knowledge	knowledg	knowledge
of	of	of
Stephanopoulos	stephanopoulo	Stephanopoulos
charitable	charit	charitable
giving	give	giving
said	said	said
he	he	he
gives	give	give
to	to	to
dozens	dozen	dozen
of	of	of
charities	chariti	charity
Stephanopoulosevery	stephanopouloseveri	Stephanopoulosevery
year	year	year
and	and	and
that	that	that
the	the	the
total	total	total
sum	sum	sum
of	of	of
these	these	these
annual	annual	annual
contributions	contribut	contribution
is	is	is
in	in	in
the	the	the
millions	million	million
of	of	of
dollars	dollar	dollar
.	.	.

Those	those	Those
sources	sourc	source
said	said	said
that	that	that
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
contributions	contribut	contribution
represent	repres	represent
a	a	a
very	veri	very
small	small	small
percentage	percentag	percentage
of	of	of
the	the	the
total	total	total
.	.	.
On	on	On
the	the	the
April	april	April
26	26	26
edition	edit	edition
of	of	of
This	this	This
Week	week	Week
,	,	,
Stephanopoulos	stephanopoulo	Stephanopoulos
interviewed	interview	interviewed
Schweizer	schweizer	Schweizer
and	and	and
challenged	challeng	challenged
the	the	the
author	author	author
s	s	s
assertions	assert	assertion
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
may	may	may
have	have	have
committed	commit	committed
a	a	a
crime	crime	crime
because	becaus	because
there	there	there
was	was	wa
a	a	a
troubling	troubl	troubling
pattern	pattern	pattern
between	between	between
donations	donat	donation
to	to	to
the	the	the
Foundation	foundat	Foundation
and	and	and
Clinton	clinton	Clinton
s	s	s
actions	action	action
as	as	a
Secretary	secretari	Secretary
of	of	of
State	state	State
.	.	.

We	we	We
ve	ve	ve
done	done	done
investigative	investig	investigative
work	work	work
here	here	here
at	at	at
ABC	abc	ABC
News	news	News
,	,	,
found	found	found
no	no	no
proof	proof	proof
of	of	of
any	ani	any
kind	kind	kind
of	of	of
direct	direct	direct
action	action	action
,	,	,
the	the	the
host	host	host
told	told	told
Schweizer	schweizer	Schweizer
.	.	.

An	an	An
independent	independ	independent
government	govern	government
ethics	ethic	ethic
expert	expert	expert
,	,	,
Bill	bill	Bill
Allison	allison	Allison
,	,	,
of	of	of
the	the	the
Sunlight	sunlight	Sunlight
Foundation	foundat	Foundation
,	,	,
wrote	wrote	wrote
this	this	this
.	.	.

He	he	He
said	said	said
,	,	,
There	there	There
s	s	s
no	no	no
smoking	smoke	smoking
gun	gun	gun
,	,	,
no	no	no
evidence	evid	evidence
that	that	that
she	she	she
changed	chang	changed
the	the	the
policy	polici	policy
based	base	based
on	on	on
donations	donat	donation
to	to	to
the	the	the
foundation	foundat	foundation
.	.	.

No	no	No
smoking	smoke	smoking
gun	gun	gun
.	.	.

Later	later	Later
in	in	in
the	the	the
interview	interview	interview
,	,	,
Stephanopoulos	stephanopoulo	Stephanopoulos
said	said	said
,	,	,
I	i	I
still	still	still
haven	haven	haven
t	t	t
heard	heard	heard
any	ani	any
direct	direct	direct
evidence	evid	evidence
and	and	and
you	you	you
just	just	just
said	said	said
you	you	you
had	had	had
no	no	no
evidence	evid	evidence
that	that	that
she	she	she
intervened	interven	intervened
here	here	here
.	.	.

He	he	He
also	also	also
noted	note	noted
that	that	that
other	other	other
news	news	news
organizations	organ	organization
that	that	that
used	use	used
Schweizer	schweizer	Schweizer
s	s	s
research	research	research
haven	haven	haven
t	t	t
confirmed	confirm	confirmed
any	ani	any
evidence	evid	evidence
of	of	of
any	ani	any
crime	crime	crime
.	.	.

Among	among	Among
the	the	the
more	more	more
notable	notabl	notable
revelations	revel	revelation
to	to	to
come	come	come
out	out	out
of	of	of
Schweizer	schweizer	Schweizer
s	s	s
research	research	research
is	is	is
the	the	the
relationship	relationship	relationship
between	between	between
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
and	and	and
Uranium	uranium	Uranium
One	one	One
,	,	,
a	a	a
former	former	former
Canadian	canadian	Canadian
mining	mine	mining
company	compani	company
that	that	that
was	was	wa
taken	taken	taken
over	over	over
by	by	by
Russia	russia	Russia
in	in	in
2013	2013	2013
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
approval	approv	approval
.	.	.

Between	between	Between
2009	2009	2009
to	to	to
2013	2013	2013
,	,	,
Uranium	uranium	Uranium
One	one	One
s	s	s
chairman	chairman	chairman
donated	donat	donated
2	2	2
.	.	.
35	35	35
million	million	million
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
has	has	ha
said	said	said
that	that	that
there	there	there
is	is	is
not	not	not
an	an	an
inherent	inher	inherent
conflict	conflict	conflict
of	of	of
interest	interest	interest
between	between	between
the	the	the
Foundation	foundat	Foundation
donations	donat	donation
and	and	and
her	her	her
decisions	decis	decision
at	at	at
the	the	the
State	state	State
Department	depart	Department
.	.	.

Her	her	Her
campaign	campaign	campaign
has	has	ha
consistently	consist	consistently
dismissed	dismiss	dismissed
the	the	the
accusations	accus	accusation
as	as	a
partisan	partisan	partisan
attacks	attack	attack
.	.	.
Via	via	Via
Politico	politico	Politico

