Pew	pew	Pew
accusing	accus	accusing
him	him	him
of	of	of
hating	hate	hating
Israel	israel	Israel
,	,	,
and	and	and
this	this	this
year	year	year
his	his	his
approval	approv	approval
rating	rate	rating
has	has	ha
fallen	fallen	fallen
to	to	to
49	49	49
percent	percent	percent
.	.	.
So	so	So
Israel	israel	Israel
isn	isn	isn
t	t	t
too	too	too
thrilled	thrill	thrilled
with	with	with
him	him	him
and	and	and
Russia	russia	Russia
absolutely	absolut	absolutely
despises	despis	despises
him	him	him
.	.	.

Other	other	Other
than	than	than
that	that	that
,	,	,
the	the	the
world	world	world
loves	love	love
him	him	him
.	.	.

In	in	In
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
,	,	,
the	the	the
poll	poll	poll
found	found	found
that	that	that
58	58	58
percent	percent	percent
of	of	of
Americans	american	Americans
feel	feel	feel
he	he	he
can	can	can
do	do	do
the	the	the
right	right	right
thing	thing	thing
and	and	and
have	have	have
confidence	confid	confidence
in	in	in
his	his	his
ability	abil	ability
to	to	to
do	do	do
so	so	so
.	.	.

Not	not	Not
too	too	too
shabby	shabbi	shabby
considering	consid	considering
yet	yet	yet
again	again	again
,	,	,
Republicans	republican	Republicans
say	say	say
the	the	the
people	peopl	people
hate	hate	hate
him	him	him
.	.	.

The	the	The
only	onli	only
other	other	other
countries	countri	country
that	that	that
seem	seem	seem
to	to	to
have	have	have
no	no	no
confidence	confid	confidence
in	in	in
him	him	him
are	are	are
Jordan	jordan	Jordan
,	,	,
Pakistan	pakistan	Pakistan
,	,	,
Venezuela	venezuela	Venezuela
,	,	,
the	the	the
Palestinian	palestinian	Palestinian
Territory	territori	Territory
,	,	,
and	and	and
Argentina	argentina	Argentina
.	.	.
If	if	If
the	the	the
world	world	world
loves	love	love
President	presid	President
Obama	obama	Obama
,	,	,
I	i	I
can	can	can
only	onli	only
imagine	imagin	imagine
how	how	how
much	much	much
they	they	they
ll	ll	ll
love	love	love
Bernie	berni	Bernie
or	or	or
Hillary	hillari	Hillary
.	.	.
America	america	America
,	,	,
let	let	let
s	s	s
not	not	not
wreck	wreck	wreck
our	our	our
standing	stand	standing
internationally	intern	internationally
for	for	for
God	god	God
s	s	s
sake	sake	sake
,	,	,
we	we	we
don	don	don
t	t	t
need	need	need
President	presid	President
Trump	trump	Trump
coming	come	coming
in	in	in
and	and	and
making	make	making
the	the	the
world	world	world
hate	hate	hate
us	us	u
again	again	again
.	.	.

Featured	featur	Featured
image	imag	image
by	by	by
Ashley	ashley	Ashley
Landis	landi	Landis
-Pool	-pool	-Pool
Getty	getti	Getty
Images	imag	Images

