Who	who	Who
to	to	to
know	know	know
.	.	.
This	this	This
is	is	is
exactly	exact	exactly
how	how	how
he	he	he
is	is	is
appealing	appeal	appealing
to	to	to
his	his	his
imbecilic	imbecil	imbecilic
base	base	base
of	of	of
voters	voter	voter
who	who	who
really	realli	really
don	don	don
t	t	t
know	know	know
any	ani	any
better	better	better
or	or	or
understand	understand	understand
one	one	one
iota	iota	iota
how	how	how
much	much	much
of	of	of
a	a	a
delicate	delic	delicate
dance	danc	dance
foreign	foreign	foreign
policy	polici	policy
is	is	is
.	.	.
Trump	trump	Trump
wants	want	want
them	them	them
to	to	to
believe	believ	believe
that	that	that
even	even	even
though	though	though
he	he	he
has	has	ha
no	no	no
experience	experi	experience
whatsoever	whatsoev	whatsoever
in	in	in
foreign	foreign	foreign
policy	polici	policy
or	or	or
diplomacy	diplomaci	diplomacy
that	that	that
he	he	he
is	is	is
still	still	still
the	the	the
man	man	man
for	for	for
the	the	the
job	job	job
.	.	.
Apparently	appar	Apparently
ineptness	inept	ineptness
is	is	is
a	a	a
valuable	valuabl	valuable
qualification	qualif	qualification
.	.	.
He	he	He
s	s	s
playing	play	playing
his	his	his
followers	follow	follower
like	like	like
a	a	a
fiddle	fiddl	fiddle
and	and	and
they	they	they
are	are	are
clearly	clear	clearly
too	too	too
dumb	dumb	dumb
to	to	to
know	know	know
the	the	the
difference	differ	difference
.	.	.
This	this	This
isn	isn	isn
t	t	t
only	onli	only
foolish	foolish	foolish
,	,	,
it	it	it
s	s	s
wildly	wild	wildly
dangerous	danger	dangerous
.	.	.
Yes	yes	Yes
,	,	,
we	we	we
need	need	need
experts	expert	expert
.	.	.
Yes	yes	Yes
,	,	,
we	we	we
need	need	need
people	peopl	people
who	who	who
actually	actual	actually
have	have	have
experience	experi	experience
and	and	and
know	know	know
what	what	what
they	they	they
re	re	re
doing	do	doing
in	in	in
regards	regard	regard
to	to	to
foreign	foreign	foreign
policy	polici	policy
.	.	.
For	for	For
goodness	good	goodness
sake	sake	sake
,	,	,
don	don	don
t	t	t
fall	fall	fall
for	for	for
his	his	his
propaganda	propaganda	propaganda
.	.	.
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
The	the	The
experts	expert	expert
are	are	are
terrible	terribl	terrible
https://t.co/yOPSgUkx2U	https://t.co/yopsgukx2u	https://t.co/yOPSgUkx2U
pic.twitter.com/J8js5ttV3E	pic.twitter.com/j8js5ttv3	pic.twitter.com/J8js5ttV3E
POLITICO	politico	POLITICO
@politico	@politico	@politico
April	april	April
4	4	4
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture
