Clearly	clear	Clearly
Republican	republican	Republican
racism	racism	racism
and	and	and
hatred	hatr	hatred
toward	toward	toward
President	presid	President
Obama	obama	Obama
divided	divid	divided
America	america	America
for	for	for
eight	eight	eight
years	year	year
,	,	,
yet	yet	yet
conservatives	conserv	conservative
like	like	like
O	o	O
Reilly	reilli	Reilly
have	have	have
the	the	the
gall	gall	gall
to	to	to
blame	blame	blame
him	him	him
for	for	for
it	it	it
.	.	.
And	and	And
now	now	now
he	he	he
is	is	is
accusing	accus	accusing
those	those	those
who	who	who
oppose	oppos	oppose
Donald	donald	Donald
Trump	trump	Trump
of	of	of
sedition	sedit	sedition
.	.	.
During	dure	During
an	an	an
interview	interview	interview
with	with	with
a	a	a
very	veri	very
unfunny	unfunni	unfunny
Dennis	denni	Dennis
Miller	miller	Miller
,	,	,
who	who	who
claims	claim	claim
to	to	to
be	be	be
a	a	a
comedian	comedian	comedian
,	,	,
O	o	O
Reilly	reilli	Reilly
asked	ask	asked
if	if	if
he	he	he
believes	believ	belief
the	the	the
effort	effort	effort
in	in	in
opposition	opposit	opposition
to	to	to
Trump	trump	Trump
is	is	is
anti	anti	anti
-American	-american	-American
.	.	.
Do	do	Do
you	you	you
believe	believ	believe
that	that	that
this	this	this
whole	whole	whole
movement	movement	movement
to	to	to
delegitimize	delegitim	delegitimize
Donald	donald	Donald
Trump	trump	Trump
is	is	is
anti	anti	anti
-American	-american	-American
?	?	?
O	o	O
Reilly	reilli	Reilly
asked	ask	asked
.	.	.
Would	would	Would
you	you	you
say	say	say
it	it	it
s	s	s
that	that	that
bad	bad	bad
?	?	?
Miller	miller	Miller
cracked	crack	cracked
another	anoth	another
pathetic	pathet	pathetic
joke	joke	joke
that	that	that
not	not	not
even	even	even
O	o	O
Reilly	reilli	Reilly
could	could	could
laugh	laugh	laugh
at	at	at
and	and	and
O	o	O
Reilly	reilli	Reilly
continued	continu	continued
by	by	by
going	go	going
a	a	a
step	step	step
further	further	further
.	.	.
These	these	These
people	peopl	people
want	want	want
to	to	to
delegitimize	delegitim	delegitimize
the	the	the
whole	whole	whole
election	elect	election
,	,	,
the	the	the
whole	whole	whole
presidency	presid	presidency
,	,	,
and	and	and
I	i	I
think	think	think
it	it	it
borders	border	border
on	on	on
sedition	sedit	sedition
,	,	,
he	he	he
said	said	said
.	.	.
Miller	miller	Miller
then	then	then
blamed	blame	blamed
President	presid	President
Obama	obama	Obama
for	for	for
how	how	how
divided	divid	divided
the	the	the
country	countri	country
has	has	ha
become	becom	become
even	even	even
though	though	though
Republicans	republican	Republicans
were	were	were
the	the	the
ones	one	one
who	who	who
divided	divid	divided
it	it	it
in	in	in
the	the	the
first	first	first
place	place	place
and	and	and
Trump	trump	Trump
continued	continu	continued
to	to	to
divide	divid	divide
it	it	it
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
,	,	,
like	like	like
most	most	most
conservatives	conserv	conservative
,	,	,
are	are	are
hypocrites	hypocrit	hypocrite
.	.	.
Over	over	Over
the	the	the
last	last	last
eight	eight	eight
years	year	year
,	,	,
they	they	they
desperately	desper	desperately
tried	tri	tried
to	to	to
convince	convinc	convince
the	the	the
American	american	American
people	peopl	people
that	that	that
President	presid	President
Obama	obama	Obama
was	was	wa
illegitimate	illegitim	illegitimate
in	in	in
order	order	order
to	to	to
sabotage	sabotag	sabotage
his	his	his
presidency	presid	presidency
and	and	and
I	i	I
don	don	don
t	t	t
remember	rememb	remember
O	o	O
Reilly	reilli	Reilly
throwing	throw	throwing
out	out	out
words	word	word
like	like	like
sedition	sedit	sedition
to	to	to
describe	describ	describe
that	that	that
un	un	un
-American	-american	-American
effort	effort	effort
.	.	.
The	the	The
fact	fact	fact
is	is	is
that	that	that
Trump	trump	Trump
lost	lost	lost
the	the	the
popular	popular	popular
vote	vote	vote
by	by	by
nearly	near	nearly
3	3	3
million	million	million
votes	vote	vote
,	,	,
and	and	and
his	his	his
electoral	elector	electoral
win	win	win
is	is	is
one	one	one
of	of	of
the	the	the
smallest	smallest	smallest
on	on	on
record	record	record
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
the	the	the
Russians	russian	Russians
helped	help	helped
Trump	trump	Trump
by	by	by
launching	launch	launching
cyber	cyber	cyber
attacks	attack	attack
against	against	against
our	our	our
country	countri	country
and	and	and
spreading	spread	spreading
propaganda	propaganda	propaganda
.	.	.
And	and	And
Trump	trump	Trump
has	has	ha
done	done	done
nothing	noth	nothing
but	but	but
suck	suck	suck
up	up	up
to	to	to
Putin	putin	Putin
,	,	,
proving	prove	proving
that	that	that
he	he	he
ll	ll	ll
be	be	be
a	a	a
Russian	russian	Russian
puppet	puppet	puppet
instead	instead	instead
of	of	of
the	the	the
American	american	American
president	presid	president
.	.	.
But	but	But
you	you	you
ll	ll	ll
only	onli	only
hear	hear	hear
O	o	O
Reilly	reilli	Reilly
whine	whine	whine
about	about	about
how	how	how
people	peopl	people
aren	aren	aren
t	t	t
lining	line	lining
up	up	up
to	to	to
kiss	kiss	kiss
Trump	trump	Trump
s	s	s
ass	ass	as
.	.	.
Well	well	Well
,	,	,
he	he	he
better	better	better
buckle	buckl	buckle
up	up	up
because	becaus	because
turnabout	turnabout	turnabout
is	is	is
fair	fair	fair
play	play	play
because	becaus	because
if	if	if
anyone	anyon	anyone
is	is	is
a	a	a
true	true	true
illegitimate	illegitim	illegitimate
president	presid	president
it	it	it
s	s	s
Donald	donald	Donald
Trump	trump	Trump
.	.	.
And	and	And
unlike	unlik	unlike
the	the	the
birther	birther	birther
conspiracy	conspiraci	conspiracy
,	,	,
there	there	there
is	is	is
plenty	plenti	plenty
of	of	of
proof	proof	proof
backed	back	backed
up	up	up
by	by	by
the	the	the
intelligence	intellig	intelligence
community	communiti	community
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot
