Likening	liken	Likening
job	job	job
is	is	is
to	to	to
care	care	care
for	for	for
them	them	them
.	.	.

He	he	He
must	must	must
protect	protect	protect
his	his	his
apples	appl	apple
from	from	from
pests	pest	pest
and	and	and
disease	diseas	disease
.	.	.

He	he	He
must	must	must
guard	guard	guard
them	them	them
against	against	against
thieves	thiev	thief
who	who	who
may	may	may
pick	pick	pick
his	his	his
apples	appl	apple
prematurely	prematur	prematurely
.	.	.

Neither	neither	Neither
those	those	those
at	at	at
the	the	the
top	top	top
nor	nor	nor
those	those	those
at	at	at
the	the	the
bottom	bottom	bottom
can	can	can
help	help	help
their	their	their
location	locat	location
.	.	.

But	but	But
,	,	,
when	when	when
each	each	each
reaches	reach	reach
peak	peak	peak
ripeness	ripe	ripeness
,	,	,
it	it	it
is	is	is
the	the	the
farmer	farmer	farmer
s	s	s
job	job	job
to	to	to
harvest	harvest	harvest
that	that	that
fruit	fruit	fruit
and	and	and
give	give	give
it	it	it
to	to	to
whom	whom	whom
he	he	he
will	will	will
,	,	,
to	to	to
those	those	those
in	in	in
need	need	need
.	.	.

So	so	So
there	there	there
is	is	is
nothing	noth	nothing
wrong	wrong	wrong
with	with	with
the	the	the
apples	appl	apple
still	still	still
on	on	on
the	the	the
tree	tree	tree
and	and	and
nothing	noth	nothing
wrong	wrong	wrong
with	with	with
the	the	the
boys	boy	boy
who	who	who
seek	seek	seek
them	them	them
.	.	.

But	but	But
it	it	it
is	is	is
the	the	the
farmer	farmer	farmer
s	s	s
duty	duti	duty
to	to	to
provide	provid	provide
for	for	for
both	both	both
,	,	,
in	in	in
due	due	due
season	season	season
.	.	.

Here	here	Here
s	s	s
the	the	the
image	imag	image
via	via	via
Raw	raw	Raw
Story	stori	Story
.	.	.
A	a	A
quote	quot	quote
from	from	from
the	the	the
group	group	group
leader	leader	leader
,	,	,
Vaughn	vaughn	Vaughn
Ohlman	ohlman	Ohlman
,	,	,
makes	make	make
it	it	it
clear	clear	clear
that	that	that
this	this	this
pedophilia	pedophilia	pedophilia
comes	come	come
not	not	not
from	from	from
the	the	the
legalization	legal	legalization
of	of	of
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
like	like	like
conservatives	conserv	conservative
constantly	constant	constantly
claim	claim	claim
,	,	,
but	but	but
directly	direct	directly
from	from	from
religious	religi	religious
fanaticism	fanatic	fanaticism
,	,	,
which	which	which
former	former	former
Quiverfull	quiverful	Quiverfull
member	member	member
Vyckie	vycki	Vyckie
Garrison	garrison	Garrison
describes	describ	describes
as	as	a
a	a	a
gross	gross	gross
ideology	ideolog	ideology
combined	combin	combined
with	with	with
the	the	the
Christian	christian	Christian
purity	puriti	purity
movement	movement	movement
in	in	in
which	which	which
the	the	the
value	valu	value
of	of	of
a	a	a
young	young	young
woman	woman	woman
is	is	is
in	in	in
her	her	her
virginity	virgin	virginity
a	a	a
consumable	consum	consumable
commodity	commod	commodity
owned	own	owned
by	by	by
her	her	her
future	futur	future
husband	husband	husband
,	,	,
kept	kept	kept
in	in	in
trust	trust	trust
by	by	by
Daddy	daddi	Daddy
.	.	.

We	we	We
believe	believ	believe
that	that	that
not	not	not
only	onli	only
should	should	should
most	most	most
people	peopl	people
marry	marri	marry
,	,	,
they	they	they
should	should	should
marry	marri	marry
in	in	in
their	their	their
youth	youth	youth
.	.	.

The	the	The
Bible	bibl	Bible
speaks	speak	speaks
of	of	of
the	the	the
wife	wife	wife
of	of	of
thy	thi	thy
youth	youth	youth
Prov	prov	Prov
.	.	.

5	5	5
18	18	18
;	;	;
Is	is	Is
.	.	.
54	54	54
6	6	6
;	;	;
Mal	mal	Mal
.	.	.

2	2	2
14	14	14
-15	-15	-15
and	and	and
children	children	child
of	of	of
the	the	the
youth	youth	youth
Ps	ps	Ps
.	.	.
127	127	127
4	4	4
.	.	.

Scripture	scriptur	Scripture
also	also	also
speaks	speak	speaks
of	of	of
not	not	not
letting	let	letting
children	children	child
pass	pass	pas
the	the	the
flower	flower	flower
of	of	of
their	their	their
age	age	age
1	1	1
Cor	cor	Cor
.	.	.

7	7	7
36	36	36
Leaving	leav	Leaving
the	the	the
physically	physic	physically
mature	matur	mature
young	young	young
man	man	man
struggling	struggl	struggling
with	with	with
fornication	fornic	fornication
and	and	and
leaving	leav	leaving
the	the	the
physically	physic	physically
mature	matur	mature
young	young	young
woman	woman	woman
wallowing	wallow	wallowing
in	in	in
fruitless	fruitless	fruitless
,	,	,
barren	barren	barren
celibacy	celibaci	celibacy
these	these	these
are	are	are
both	both	both
unscriptural	unscriptur	unscriptural
and	and	and
ungodly	ungod	ungodly
actions	action	action
.	.	.
In	in	In
short	short	short
,	,	,
this	this	this
conservative	conserv	conservative
Christian	christian	Christian
group	group	group
is	is	is
a	a	a
haven	haven	haven
for	for	for
pedophiles	pedophil	pedophile
who	who	who
are	are	are
trying	tri	trying
to	to	to
use	use	use
religious	religi	religious
liberty	liberti	liberty
to	to	to
justify	justifi	justify
their	their	their
sickening	sicken	sickening
desire	desir	desire
to	to	to
marry	marri	marry
and	and	and
rape	rape	rape
little	littl	little
girls	girl	girl
.	.	.
Just	just	Just
another	anoth	another
example	exampl	example
of	of	of
the	the	the
Christian	christian	Christian
Sharia	sharia	Sharia
law	law	law
conservatives	conserv	conservative
are	are	are
trying	tri	trying
to	to	to
force	forc	force
down	down	down
our	our	our
throats	throat	throat
.	.	.

Featured	featur	Featured
image	imag	image
from	from	from
Pixabay	pixabay	Pixabay

