On	on	On
divorce	divorc	divorce
and	and	and
three	three	three
before	befor	before
she	she	she
supposedly	suppos	supposedly
married	marri	married
Ted	ted	Ted
s	s	s
father	father	father
,	,	,
right	right	right
-wing	-wing	-wing
pastor	pastor	pastor
Rafael	rafael	Rafael
Cruz	cruz	Cruz
.	.	.
The	the	The
baby	babi	baby
s	s	s
name	name	name
was	was	wa
Michael	michael	Michael
Wilson	wilson	Wilson
.	.	.
He	he	He
later	later	later
died	die	died
from	from	from
crib	crib	crib
death	death	death
.	.	.
In	in	In
his	his	his
book	book	book
,	,	,
A	a	A
Time	time	Time
for	for	for
Truth	truth	Truth
Reigniting	reignit	Reigniting
the	the	the
Promise	promis	Promise
of	of	of
America	america	America
,	,	,
Cruz	cruz	Cruz
claimed	claim	claimed
his	his	his
mother	mother	mother
s	s	s
divorce	divorc	divorce
from	from	from
Wilson	wilson	Wilson
took	took	took
place	place	place
in	in	in
1965	1965	1965
,	,	,
two	two	two
years	year	year
later	later	later
than	than	than
the	the	the
actual	actual	actual
date	date	date
.	.	.
He	he	He
also	also	also
claimed	claim	claimed
that	that	that
Michael	michael	Michael
was	was	wa
born	born	born
the	the	the
same	same	same
year	year	year
,	,	,
in	in	in
1965	1965	1965
,	,	,
and	and	and
that	that	that
the	the	the
child	child	child
s	s	s
death	death	death
was	was	wa
what	what	what
ultimately	ultim	ultimately
led	led	led
to	to	to
the	the	the
divorce	divorc	divorce
.	.	.
Unfortunately	unfortun	Unfortunately
for	for	for
Ted	ted	Ted
,	,	,
Dallas	dalla	Dallas
News	news	News
verified	verifi	verified
that	that	that
the	the	the
divorce	divorc	divorce
took	took	took
place	place	place
in	in	in
1963	1963	1963
and	and	and
that	that	that
Michael	michael	Michael
Wilson	wilson	Wilson
was	was	wa
born	born	born
and	and	and
died	die	died
in	in	in
1966	1966	1966
.	.	.
Dallas	dalla	Dallas
News	news	News
contacted	contact	contacted
Eleanor	eleanor	Eleanor
Cruz	cruz	Cruz
s	s	s
former	former	former
husband	husband	husband
,	,	,
Alan	alan	Alan
Wilson	wilson	Wilson
,	,	,
who	who	who
was	was	wa
born	born	born
in	in	in
Forth	forth	Forth
Worth	worth	Worth
Texas	texa	Texas
,	,	,
but	but	but
has	has	ha
lived	live	lived
in	in	in
London	london	London
,	,	,
England	england	England
since	sinc	since
the	the	the
1960	1960	1960
s	s	s
.	.	.
During	dure	During
the	the	the
interview	interview	interview
,	,	,
Wilson	wilson	Wilson
said	said	said
he	he	he
was	was	wa
not	not	not
Michael	michael	Michael
Cruz	cruz	Cruz
s	s	s
father	father	father
,	,	,
and	and	and
he	he	he
only	onli	only
learned	learn	learned
that	that	that
his	his	his
ex	ex	ex
-wife	-wife	-wife
had	had	had
given	given	given
birth	birth	birth
by	by	by
chance	chanc	chance
.	.	.
We	we	We
were	were	were
divorced	divorc	divorced
and	and	and
she	she	she
was	was	wa
living	live	living
on	on	on
her	her	her
own	own	own
,	,	,
said	said	said
Wilson	wilson	Wilson
.	.	.
He	he	He
said	said	said
that	that	that
Eleanor	eleanor	Eleanor
asked	ask	asked
him	him	him
if	if	if
she	she	she
could	could	could
use	use	use
his	his	his
last	last	last
name	name	name
on	on	on
the	the	the
birth	birth	birth
certificate	certif	certificate
.	.	.
When	when	When
Michael	michael	Michael
Wilson	wilson	Wilson
later	later	later
died	die	died
,	,	,
he	he	he
said	said	said
,	,	,
I	i	I
hadn	hadn	hadn
t	t	t
even	even	even
met	met	met
the	the	the
baby	babi	baby
.	.	.
Alan	alan	Alan
Wilson	wilson	Wilson
said	said	said
by	by	by
chance	chanc	chance
he	he	he
and	and	and
Eleanor	eleanor	Eleanor
Wilson	wilson	Wilson
were	were	were
being	be	being
treated	treat	treated
in	in	in
the	the	the
same	same	same
hospital	hospit	hospital
when	when	when
she	she	she
was	was	wa
pregnant	pregnant	pregnant
when	when	when
a	a	a
nurse	nurs	nurse
told	told	told
his	his	his
his	his	his
wife	wife	wife
was	was	wa
there	there	there
startling	startl	startling
the	the	the
Fort	fort	Fort
Worthian	worthian	Worthian
.	.	.
I	i	I
didn	didn	didn
t	t	t
know	know	know
she	she	she
was	was	wa
pregnant	pregnant	pregnant
.	.	.
We	we	We
were	were	were
definitely	definit	definitely
divorced	divorc	divorced
.	.	.
It	it	It
s	s	s
interesting	interest	interesting
that	that	that
while	while	while
Rafael	rafael	Rafael
and	and	and
Eleanor	eleanor	Eleanor
Cruz	cruz	Cruz
are	are	are
reported	report	reported
to	to	to
have	have	have
married	marri	married
in	in	in
Texas	texa	Texas
in	in	in
1969	1969	1969
,	,	,
the	the	the
year	year	year
before	befor	before
Cruz	cruz	Cruz
was	was	wa
born	born	born
,	,	,
the	the	the
state	state	state
s	s	s
online	onlin	online
public	public	public
records	record	record
site	site	site
does	doe	doe
not	not	not
show	show	show
a	a	a
record	record	record
of	of	of
the	the	the
couple	coupl	couple
s	s	s
marriage	marriag	marriage
.	.	.
The	the	The
exact	exact	exact
date	date	date
of	of	of
Cruz	cruz	Cruz
s	s	s
parents	parent	parent
marriage	marriag	marriage
remain	remain	remain
a	a	a
mystery	mysteri	mystery
.	.	.
The	the	The
couple	coupl	couple
divorced	divorc	divorced
in	in	in
1997	1997	1997
.	.	.
As	as	As
the	the	the
drama	drama	drama
over	over	over
whether	whether	whether
Ted	ted	Ted
Cruz	cruz	Cruz
is	is	is
eligible	elig	eligible
to	to	to
run	run	run
for	for	for
president	presid	president
began	began	began
to	to	to
unfold	unfold	unfold
this	this	this
month	month	month
,	,	,
numerous	numer	numerous
documents	document	document
have	have	have
been	been	been
published	publish	published
,	,	,
including	includ	including
Eleanor	eleanor	Eleanor
Cruz	cruz	Cruz
s	s	s
maiden	maiden	maiden
name	name	name
Darragh	darragh	Darragh
birth	birth	birth
certificate	certif	certificate
,	,	,
showing	show	showing
that	that	that
she	she	she
was	was	wa
born	born	born
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
of	of	of
Delaware	delawar	Delaware
.	.	.
In	in	In
addition	addit	addition
to	to	to
his	his	his
mother	mother	mother
s	s	s
birth	birth	birth
certificate	certif	certificate
,	,	,
Talking	talk	Talking
Points	point	Points
Memo	memo	Memo
and	and	and
Breitbart	breitbart	Breitbart
among	among	among
other	other	other
media	media	medium
outlets	outlet	outlet
also	also	also
published	publish	published
Ms	ms	Ms
.	.	.
Cruz	cruz	Cruz
s	s	s
Canadian	canadian	Canadian
voting	vote	voting
records	record	record
.	.	.
Those	those	Those
records	record	record
tell	tell	tell
us	us	u
two	two	two
things	thing	thing
.	.	.
First	first	First
they	they	they
tell	tell	tell
us	us	u
that	that	that
Ms	ms	Ms
.	.	.
Cruz	cruz	Cruz
was	was	wa
registered	regist	registered
to	to	to
vote	vote	vote
in	in	in
Canada	canada	Canada
in	in	in
1974	1974	1974
,	,	,
a	a	a
right	right	right
the	the	the
country	countri	country
reserves	reserv	reserve
only	onli	only
for	for	for
legal	legal	legal
citizens	citizen	citizen
.	.	.
Second	second	Second
,	,	,
the	the	the
record	record	record
tell	tell	tell
us	us	u
that	that	that
the	the	the
candidate	candid	candidate
s	s	s
mother	mother	mother
used	use	used
the	the	the
name	name	name
of	of	of
her	her	her
second	second	second
husband	husband	husband
,	,	,
Rafael	rafael	Rafael
Cruz	cruz	Cruz
on	on	on
her	her	her
Canadian	canadian	Canadian
voting	vote	voting
record	record	record
.	.	.
So	so	So
leaves	leav	leaf
us	us	u
to	to	to
wonder	wonder	wonder
why	whi	why
she	she	she
used	use	used
the	the	the
name	name	name
of	of	of
her	her	her
first	first	first
husband	husband	husband
on	on	on
Ted	ted	Ted
Cruz	cruz	Cruz
s	s	s
birth	birth	birth
certificate	certif	certificate
,	,	,
if	if	if
indeed	inde	indeed
she	she	she
was	was	wa
married	marri	married
to	to	to
Rafael	rafael	Rafael
Cruz	cruz	Cruz
at	at	at
the	the	the
time	time	time
Ted	ted	Ted
was	was	wa
born	born	born
.	.	.
None	none	None
of	of	of
this	this	this
would	would	would
be	be	be
considered	consid	considered
fair	fair	fair
game	game	game
if	if	if
the	the	the
candidate	candid	candidate
wasn	wasn	wasn
t	t	t
running	run	running
for	for	for
the	the	the
position	posit	position
of	of	of
God	god	God
s	s	s
appointed	appoint	appointed
King	king	King
of	of	of
America	america	America
.	.	.
It	it	It
wouldn	wouldn	wouldn
t	t	t
be	be	be
fair	fair	fair
game	game	game
if	if	if
Ted	ted	Ted
and	and	and
Rafael	rafael	Rafael
Cruz	cruz	Cruz
had	had	had
not	not	not
made	made	made
ridiculous	ridicul	ridiculous
and	and	and
insulting	insult	insulting
statements	statement	statement
about	about	about
single	singl	single
mothers	mother	mother
and	and	and
unwed	unw	unwed
mothers	mother	mother
.	.	.
It	it	It
would	would	would
not	not	not
be	be	be
fair	fair	fair
game	game	game
if	if	if
Ted	ted	Ted
Cruz	cruz	Cruz
had	had	had
not	not	not
appointed	appoint	appointed
himself	himself	himself
as	as	a
a	a	a
spiritual	spiritu	spiritual
dictator	dictat	dictator
to	to	to
the	the	the
masses	mass	mass
.	.	.
Most	most	Most
importantly	import	importantly
,	,	,
though	though	though
,	,	,
the	the	the
birther	birther	birther
movement	movement	movement
that	that	that
viciously	vicious	viciously
attacked	attack	attacked
President	presid	President
Obama	obama	Obama
throughout	throughout	throughout
his	his	his
first	first	first
term	term	term
as	as	a
president	presid	president
used	use	used
the	the	the
word	word	word
illegitimate	illegitim	illegitimate
,	,	,
as	as	a
a	a	a
matter	matter	matter
of	of	of
routine	routin	routine
,	,	,
when	when	when
referring	refer	referring
to	to	to
the	the	the
leader	leader	leader
of	of	of
our	our	our
country	countri	country
.	.	.
Ted	ted	Ted
Cruz	cruz	Cruz
spent	spent	spent
a	a	a
lot	lot	lot
of	of	of
time	time	time
catering	cater	catering
to	to	to
the	the	the
right	right	right
-wing	-wing	-wing
extremists	extremist	extremist
who	who	who
viciously	vicious	viciously
attacked	attack	attacked
the	the	the
leader	leader	leader
our	our	our
country	countri	country
.	.	.
Apparently	appar	Apparently
he	he	he
never	never	never
expected	expect	expected
any	ani	any
of	of	of
that	that	that
to	to	to
catch	catch	catch
up	up	up
to	to	to
him	him	him
.	.	.
But	but	But
now	now	now
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
are	are	are
not	not	not
only	onli	only
asking	ask	asking
if	if	if
Cruz	cruz	Cruz
is	is	is
able	abl	able
to	to	to
be	be	be
a	a	a
legitimate	legitim	legitimate
president	presid	president
,	,	,
they	they	they
re	re	re
asking	ask	asking
if	if	if
Cruz	cruz	Cruz
is	is	is
even	even	even
the	the	the
legitimate	legitim	legitimate
son	son	son
of	of	of
the	the	the
religiously	religi	religiously
insane	insan	insane
Rafael	rafael	Rafael
Cruz	cruz	Cruz
.	.	.
Maybe	mayb	Maybe
Ted	ted	Ted
should	should	should
have	have	have
read	read	read
that	that	that
Bible	bibl	Bible
he	he	he
likes	like	like
to	to	to
wave	wave	wave
around	around	around
in	in	in
front	front	front
of	of	of
the	the	the
crowd	crowd	crowd
.	.	.
After	after	After
all	all	all
,	,	,
it	it	it
does	doe	doe
warn	warn	warn
that	that	that
eventually	eventu	eventually
you	you	you
will	will	will
reap	reap	reap
what	what	what
you	you	you
sow	sow	sow
.	.	.
Featured	featur	Featured
image	imag	image
credit	credit	credit
Gage	gage	Gage
Skidmore	skidmor	Skidmore
,	,	,
via	via	via
Flckr	flckr	Flckr
cc	cc	cc
2	2	2
.	.	.
0	0	0
