Most	most	Most
imagine	imagin	imagine
how	how	how
he	he	he
or	or	or
she	she	she
feels	feel	feel
now	now	now
.	.	.
One	one	One
of	of	of
the	the	the
officials	offici	official
went	went	went
as	as	a
far	far	far
as	as	a
to	to	to
say	say	say
that	that	that
a	a	a
small	small	small
group	group	group
of	of	of
diplomats	diplomat	diplomat
play	play	play
a	a	a
version	version	version
of	of	of
word	word	word
bingo	bingo	bingo
whenever	whenev	whenever
Trump	trump	Trump
speaks	speak	speaks
because	becaus	because
they	they	they
consider	consid	consider
his	his	his
vocabulary	vocabulari	vocabulary
to	to	to
be	be	be
so	so	so
limited	limit	limited
.	.	.
Everything	everyth	Everything
is	is	is
great	great	great
,	,	,
very	veri	very
,	,	,
very	veri	very
great	great	great
,	,	,
amazing	amaz	amazing
,	,	,
the	the	the
diplomat	diplomat	diplomat
said	said	said
of	of	of
Trump	trump	Trump
s	s	s
vocabulary	vocabulari	vocabulary
.	.	.
But	but	But
there	there	there
s	s	s
also	also	also
a	a	a
fear	fear	fear
among	among	among
our	our	our
allies	alli	ally
that	that	that
Trump	trump	Trump
is	is	is
dangerous	danger	dangerous
.	.	.
He	he	He
has	has	ha
no	no	no
historical	histor	historical
view	view	view
.	.	.
He	he	He
is	is	is
only	onli	only
dealing	deal	dealing
with	with	with
these	these	these
issues	issu	issue
now	now	now
,	,	,
and	and	and
seems	seem	seems
to	to	to
think	think	think
the	the	the
world	world	world
started	start	started
when	when	when
he	he	he
took	took	took
office	offic	office
,	,	,
a	a	a
diplomat	diplomat	diplomat
told	told	told
BuzzFeed	buzzfe	BuzzFeed
News	news	News
.	.	.
He	he	He
thinks	think	think
that	that	that
NATO	nato	NATO
existed	exist	existed
only	onli	only
to	to	to
keep	keep	keep
the	the	the
communists	communist	communist
out	out	out
of	of	of
Europe	europ	Europe
.	.	.
He	he	He
has	has	ha
a	a	a
similar	similar	similar
attitude	attitud	attitude
in	in	in
Asia	asia	Asia
-Pacific	-pacif	-Pacific
with	with	with
Japan	japan	Japan
,	,	,
ignoring	ignor	ignoring
that	that	that
the	the	the
US	us	US
basically	basic	basically
wrote	wrote	wrote
their	their	their
constitution	constitut	constitution
.	.	.
The	the	The
diplomats	diplomat	diplomat
said	said	said
they	they	they
also	also	also
believe	believ	believe
that	that	that
Trump	trump	Trump
s	s	s
foreign	foreign	foreign
policy	polici	policy
is	is	is
chiefly	chiefli	chiefly
driven	driven	driven
by	by	by
an	an	an
obsession	obsess	obsession
with	with	with
unraveling	unravel	unraveling
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
s	s	s
policies	polici	policy
,	,	,
and	and	and
we	we	we
ve	ve	ve
pretty	pretti	pretty
much	much	much
seen	seen	seen
that	that	that
,	,	,
too	too	too
,	,	,
here	here	here
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
It	it	It
s	s	s
his	his	his
only	onli	only
real	real	real
position	posit	position
,	,	,
one	one	one
official	offici	official
said	said	said
.	.	.
He	he	He
will	will	will
ask	ask	ask
Did	did	Did
Obama	obama	Obama
approve	approv	approve
this	this	this
?	?	?
And	and	And
if	if	if
the	the	the
answer	answer	answer
is	is	is
affirmative	affirm	affirmative
,	,	,
he	he	he
will	will	will
say	say	say
We	we	We
don	don	don
t	t	t
.	.	.
He	he	He
won	won	won
t	t	t
even	even	even
want	want	want
to	to	to
listen	listen	listen
to	to	to
the	the	the
arguments	argument	argument
or	or	or
have	have	have
a	a	a
debate	debat	debate
.	.	.
He	he	He
is	is	is
obsessed	obsess	obsessed
with	with	with
Obama	obama	Obama
.	.	.
Another	anoth	Another
diplomat	diplomat	diplomat
said	said	said
that	that	that
it	it	it
s	s	s
impossible	imposs	impossible
to	to	to
discuss	discuss	discus
serious	serious	serious
international	intern	international
issues	issu	issue
,	,	,
such	such	such
as	as	a
Libya	libya	Libya
,	,	,
with	with	with
Trump	trump	Trump
.	.	.
They	they	They
have	have	have
growing	grow	growing
concerns	concern	concern
because	becaus	because
they	they	they
re	re	re
still	still	still
struggling	struggl	struggling
to	to	to
find	find	find
someone	someon	someone
in	in	in
his	his	his
administration	administr	administration
to	to	to
engage	engag	engage
with	with	with
because	becaus	because
meeting	meet	meeting
with	with	with
Trump	trump	Trump
has	has	ha
proved	prove	proved
to	to	to
be	be	be
basically	basic	basically
useless	useless	useless
.	.	.
He	he	He
s	s	s
not	not	not
the	the	the
kind	kind	kind
of	of	of
person	person	person
you	you	you
can	can	can
have	have	have
a	a	a
discussion	discuss	discussion
about	about	about
how	how	how
to	to	to
deal	deal	deal
with	with	with
Fayez	fayez	Fayez
al	al	al
-Sarraj	-sarraj	-Sarraj
the	the	the
prime	prime	prime
minister	minist	minister
of	of	of
Libya	libya	Libya
,	,	,
the	the	the
official	offici	official
added	ad	added
.	.	.
So	so	So
you	you	you
look	look	look
for	for	for
people	peopl	people
around	around	around
him	him	him
,	,	,
and	and	and
that	that	that
is	is	is
where	where	where
it	it	it
s	s	s
a	a	a
problem	problem	problem
The	the	The
constant	constant	constant
upheaval	upheav	upheaval
,	,	,
it	it	it
s	s	s
unclear	unclear	unclear
who	who	who
has	has	ha
influence	influenc	influence
,	,	,
who	who	who
is	is	is
close	close	close
to	to	to
the	the	the
president	presid	president
.	.	.
We	we	We
feel	feel	feel
their	their	their
pain	pain	pain
.	.	.
We	we	We
witnessed	wit	witnessed
Trump	trump	Trump
s	s	s
obsession	obsess	obsession
and	and	and
profound	profound	profound
jealousy	jealousi	jealousy
of	of	of
Obama	obama	Obama
when	when	when
he	he	he
tried	tri	tried
to	to	to
claim	claim	claim
that	that	that
our	our	our
country	countri	country
s	s	s
first	first	first
black	black	black
President	presid	President
is	is	is
really	realli	really
a	a	a
sneaky	sneaki	sneaky
Muslim	muslim	Muslim
from	from	from
Kenya	kenya	Kenya
.	.	.
The	the	The
former	former	former
reality	realiti	reality
show	show	show
star	star	star
tried	tri	tried
to	to	to
delegitimize	delegitim	delegitimize
Obama	obama	Obama
but	but	but
he	he	he
failed	fail	failed
to	to	to
do	do	do
so	so	so
because	becaus	because
facts	fact	fact
got	got	got
in	in	in
his	his	his
way	way	way
.	.	.
That	that	That
s	s	s
still	still	still
the	the	the
main	main	main
problem	problem	problem
with	with	with
Trump	trump	Trump
.	.	.
He	he	He
s	s	s
adverse	advers	adverse
to	to	to
facts	fact	fact
.	.	.
But	but	But
,	,	,
he	he	he
did	did	did
sell	sell	sell
himself	himself	himself
on	on	on
the	the	the
campaign	campaign	campaign
trail	trail	trail
to	to	to
people	peopl	people
who	who	who
thought	thought	thought
they	they	they
could	could	could
stick	stick	stick
it	it	it
to	to	to
liberals	liber	liberal
by	by	by
siding	side	siding
with	with	with
the	the	the
former	former	former
reality	realiti	reality
show	show	show
star	star	star
,	,	,
a	a	a
man	man	man
with	with	with
zero	zero	zero
political	polit	political
experience	experi	experience
.	.	.
And	and	And
here	here	here
we	we	we
are	are	are
,	,	,
just	just	just
after	after	after
7	7	7
months	month	month
after	after	after
Trump	trump	Trump
was	was	wa
sworn	sworn	sworn
in	in	in
and	and	and
we	we	we
could	could	could
break	break	break
out	out	out
in	in	in
a	a	a
nuclear	nuclear	nuclear
war	war	war
at	at	at
any	ani	any
minute	minut	minute
.	.	.
Conservatives	conserv	Conservatives
sure	sure	sure
showed	show	showed
us	us	u
with	with	with
their	their	their
MAGA	maga	MAGA
and	and	and
Pepe	pepe	Pepe
memes	meme	meme
,	,	,
didn	didn	didn
t	t	t
they	they	they
?	?	?
Read	read	Read
more	more	more
Photo	photo	Photo
by	by	by
Sean	sean	Sean
Rayford	rayford	Rayford
Getty	getti	Getty
Images	imag	Images
