What	what	What
must	must	must
be	be	be
diligent	dilig	diligent
in	in	in
discharging	discharg	discharging
our	our	our
responsibility	respons	responsibility
to	to	to
serve	serv	serve
as	as	a
a	a	a
check	check	check
on	on	on
his	his	his
power	power	power
.	.	.

And	and	And
we	we	we
should	should	should
value	valu	value
our	our	our
identity	ident	identity
as	as	a
members	member	member
of	of	of
Congress	congress	Congress
more	more	more
than	than	than
our	our	our
partisan	partisan	partisan
affiliation	affili	affiliation
.	.	.
I	i	I
argued	argu	argued
during	dure	during
the	the	the
health	health	health
-care	-care	-care
debate	debat	debate
for	for	for
a	a	a
return	return	return
to	to	to
regular	regular	regular
order	order	order
,	,	,
letting	let	letting
committees	committe	committee
of	of	of
jurisdiction	jurisdict	jurisdiction
do	do	do
the	the	the
principal	princip	principal
work	work	work
of	of	of
crafting	craft	crafting
legislation	legisl	legislation
and	and	and
letting	let	letting
the	the	the
full	full	full
Senate	senat	Senate
debate	debat	debate
and	and	and
amend	amend	amend
their	their	their
efforts	effort	effort
.	.	.
We	we	We
won	won	won
t	t	t
settle	settl	settle
all	all	all
our	our	our
differences	differ	difference
that	that	that
way	way	way
,	,	,
but	but	but
such	such	such
an	an	an
approach	approach	approach
is	is	is
more	more	more
likely	like	likely
to	to	to
make	make	make
progress	progress	progress
on	on	on
the	the	the
central	central	central
problems	problem	problem
confronting	confront	confronting
our	our	our
constituents	constitu	constituent
.	.	.

We	we	We
might	might	might
not	not	not
like	like	like
the	the	the
compromises	compromis	compromise
regular	regular	regular
order	order	order
requires	requir	requires
,	,	,
but	but	but
we	we	we
can	can	can
and	and	and
must	must	must
live	live	live
with	with	with
them	them	them
if	if	if
we	we	we
are	are	are
to	to	to
find	find	find
real	real	real
and	and	and
lasting	last	lasting
solutions	solut	solution
.	.	.

And	and	And
all	all	all
of	of	of
us	us	u
in	in	in
Congress	congress	Congress
have	have	have
the	the	the
duty	duti	duty
,	,	,
in	in	in
this	this	this
sharply	sharpli	sharply
polarized	polar	polarized
atmosphere	atmospher	atmosphere
,	,	,
to	to	to
defend	defend	defend
the	the	the
necessity	necess	necessity
of	of	of
compromise	compromis	compromise
before	befor	before
the	the	the
American	american	American
public	public	public
.	.	.
SEE	see	SEE
WHAT	what	WHAT
HE	he	HE
DID	did	DID
THERE	there	THERE
?	?	?

He	he	He
basically	basic	basically
said	said	said
our	our	our
president	presid	president
is	is	is
clueless	clueless	clueless
and	and	and
impulsive	impuls	impulsive
so	so	so
we	we	we
don	don	don
t	t	t
need	need	need
to	to	to
listen	listen	listen
to	to	to
him	him	him
.	.	.

Unreal	unreal	Unreal
!	!	!

Is	is	Is
McCain	mccain	McCain
bitter	bitter	bitter
and	and	and
trying	tri	trying
to	to	to
get	get	get
back	back	back
at	at	at
Trump	trump	Trump
?	?	?

It	it	It
s	s	s
unheard	unheard	unheard
of	of	of
for	for	for
a	a	a
sitting	sit	sitting
Senator	senat	Senator
of	of	of
the	the	the
party	parti	party
in	in	in
power	power	power
trashes	trash	trash
the	the	the
president	presid	president
that	that	that
is	is	is
from	from	from
the	the	the
same	same	same
party	parti	party
!	!	!

Read	read	Read
more	more	more
WaPo	wapo	WaPo

