Ahead	ahead	Ahead
man	man	man
can	can	can
never	never	never
do	do	do
that	that	that
to	to	to
a	a	a
woman	woman	woman
and	and	and
get	get	get
away	away	away
with	with	with
it	it	it
.	.	.

Watch	watch	Watch
below	below	below
While	while	While
Hemmer	hemmer	Hemmer
s	s	s
logic	logic	logic
might	might	might
sound	sound	sound
reasonable	reason	reasonable
on	on	on
the	the	the
surface	surfac	surface
,	,	,
here	here	here
s	s	s
why	whi	why
it	it	it
s	s	s
not	not	not
Reverse	revers	Reverse
oppression	oppress	oppression
racism	racism	racism
against	against	against
whites	white	white
,	,	,
sexism	sexism	sexism
against	against	against
men	men	men
,	,	,
discrimination	discrimin	discrimination
against	against	against
straight	straight	straight
,	,	,
cisgender	cisgend	cisgender
people	peopl	people
,	,	,
etc	etc	etc
.	.	.
doesn	doesn	doesn
t	t	t
exist	exist	exist
because	becaus	because
oppressors	oppressor	oppressor
can	can	can
t	t	t
suddenly	sudden	suddenly
become	becom	become
the	the	the
oppressed	oppress	oppressed
.	.	.

Oppression	oppress	Oppression
,	,	,
particularly	particular	particularly
by	by	by
straight	straight	straight
,	,	,
white	white	white
,	,	,
cis	cis	ci
,	,	,
Christian	christian	Christian
men	men	men
,	,	,
is	is	is
woven	woven	woven
into	into	into
our	our	our
society	societi	society
.	.	.

It	it	It
s	s	s
insidious	insidi	insidious
.	.	.

And	and	And
while	while	while
yes	yes	yes
,	,	,
men	men	men
can	can	can
experience	experi	experience
prejudice	prejudic	prejudice
and	and	and
stereotype	stereotyp	stereotype
,	,	,
our	our	our
society	societi	society
is	is	is
built	built	built
by	by	by
men	men	men
,	,	,
for	for	for
men	men	men
.	.	.

Prejudice	prejudic	Prejudice
and	and	and
stereotype	stereotyp	stereotype
are	are	are
not	not	not
the	the	the
same	same	same
as	as	a
oppression	oppress	oppression
.	.	.
It	it	It
s	s	s
not	not	not
about	about	about
one	one	one
person	person	person
being	be	being
an	an	an
asshat	asshat	asshat
to	to	to
another	anoth	another
,	,	,
which	which	which
is	is	is
what	what	what
Hemmer	hemmer	Hemmer
is	is	is
really	realli	really
whining	whine	whining
about	about	about
and	and	and
equates	equat	equates
with	with	with
so	so	so
-called	-call	-called
reverse	revers	reverse
sexism	sexism	sexism
.	.	.

When	when	When
Schlapp	schlapp	Schlapp
responded	respond	responded
to	to	to
Tarlov	tarlov	Tarlov
s	s	s
litany	litani	litany
of	of	of
Trump	trump	Trump
sins	sin	sin
with	with	with
,	,	,
You	you	You
are	are	are
!	!	!

he	he	he
was	was	wa
putting	put	putting
her	her	her
in	in	in
her	her	her
place	place	place
,	,	,
not	not	not
arguing	argu	arguing
her	her	her
point	point	point
.	.	.

That	that	That
is	is	is
sexist	sexist	sexist
.	.	.

That	that	That
s	s	s
relegating	releg	relegating
her	her	her
and	and	and
her	her	her
arguments	argument	argument
into	into	into
the	the	the
background	background	background
as	as	a
irrelevant	irrelev	irrelevant
on	on	on
the	the	the
basis	basi	basis
of	of	of
her	her	her
gender	gender	gender
,	,	,
not	not	not
the	the	the
merits	merit	merit
of	of	of
her	her	her
argument	argument	argument
.	.	.
As	as	As
a	a	a
woman	woman	woman
,	,	,
Tarlov	tarlov	Tarlov
can	can	can
t	t	t
send	send	send
a	a	a
man	man	man
back	back	back
into	into	into
the	the	the
background	background	background
because	becaus	because
he	he	he
s	s	s
not	not	not
in	in	in
the	the	the
background	background	background
to	to	to
begin	begin	begin
with	with	with
,	,	,
as	as	a
she	she	she
is	is	is
.	.	.

That	that	That
s	s	s
just	just	just
the	the	the
way	way	way
it	it	it
is	is	is
.	.	.
Since	sinc	Since
Hemmer	hemmer	Hemmer
works	work	work
for	for	for
Fox	fox	Fox
Noise	nois	Noise
,	,	,
though	though	though
,	,	,
it	it	it
s	s	s
only	onli	only
natural	natur	natural
that	that	that
he	he	he
probably	probabl	probably
won	won	won
t	t	t
even	even	even
attempt	attempt	attempt
to	to	to
understand	understand	understand
this	this	this
.	.	.
As	as	As
far	far	far
as	as	a
Trump	trump	Trump
and	and	and
the	the	the
debates	debat	debate
,	,	,
Hillary	hillari	Hillary
won	won	won
t	t	t
be	be	be
putting	put	putting
Trump	trump	Trump
in	in	in
the	the	the
man	man	man
s	s	s
place	place	place
when	when	when
she	she	she
calls	call	call
him	him	him
out	out	out
on	on	on
his	his	his
sexism	sexism	sexism
,	,	,
racism	racism	racism
,	,	,
etc	etc	etc
.	.	.

She	she	She
can	can	can
t	t	t
but	but	but
he	he	he
can	can	can
try	tri	try
and	and	and
put	put	put
her	her	her
in	in	in
her	her	her
place	place	place
and	and	and
he	he	he
does	doe	doe
it	it	it
all	all	all
the	the	the
time	time	time
.	.	.

She	she	She
s	s	s
calling	call	calling
out	out	out
fundamental	fundament	fundamental
flaws	flaw	flaw
in	in	in
Trump	trump	Trump
that	that	that
make	make	make
him	him	him
unsuited	unsuit	unsuited
to	to	to
lead	lead	lead
a	a	a
country	countri	country
that	that	that
desperately	desper	desperately
needs	need	need
its	it	it
oppressive	oppress	oppressive
structures	structur	structure
torn	torn	torn
down	down	down
.	.	.

He	he	He
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
will	will	will
build	build	build
on	on	on
those	those	those
very	veri	very
structures	structur	structure
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
from	from	from
embedded	embed	embedded
video	video	video

