Forcing	forc	Forcing
Other	other	Other
customers	custom	customer
said	said	said
they	they	they
side	side	side
with	with	with
Schneider	schneider	Schneider
.	.	.

We	we	We
do	do	do
live	live	live
in	in	in
America	america	America
,	,	,
you	you	you
know	know	know
?	?	?

Ryan	ryan	Ryan
Schmidt	schmidt	Schmidt
said	said	said
.	.	.
Schneider	schneider	Schneider
,	,	,
who	who	who
points	point	point
out	out	out
that	that	that
his	his	his
wife	wife	wife
is	is	is
Hispanic	hispan	Hispanic
,	,	,
says	say	say
no	no	no
customer	custom	customer
has	has	ha
ever	ever	ever
been	been	been
turned	turn	turned
away	away	away
at	at	at
Leon	leon	Leon
s	s	s
.	.	.

Via	via	Via
FOX	fox	FOX
2	2	2
Now	now	Now

