During	dure	During
unidentified	unidentifi	unidentified
items	item	item
in	in	in
a	a	a
fireplace	fireplac	fireplace
.	.	.
Mindy	mindi	Mindy
Talamadge	talamadg	Talamadge
,	,	,
a	a	a
spokeswoman	spokeswoman	spokeswoman
from	from	from
the	the	the
San	san	San
Francisco	francisco	Francisco
Fire	fire	Fire
Department	depart	Department
,	,	,
said	said	said
the	the	the
department	depart	department
received	receiv	received
a	a	a
call	call	call
about	about	about
the	the	the
smoke	smoke	smoke
and	and	and
sent	sent	sent
a	a	a
crew	crew	crew
to	to	to
investigate	investig	investigate
but	but	but
determined	determin	determined
the	the	the
smoke	smoke	smoke
was	was	wa
coming	come	coming
from	from	from
the	the	the
chimney	chimney	chimney
.	.	.

They	they	They
had	had	had
a	a	a
fire	fire	fire
going	go	going
in	in	in
their	their	their
fireplace	fireplac	fireplace
,	,	,
she	she	she
said	said	said
.	.	.
Talmadge	talmadg	Talmadge
said	said	said
she	she	she
did	did	did
not	not	not
know	know	know
what	what	what
they	they	they
were	were	were
burning	burn	burning
on	on	on
a	a	a
day	day	day
when	when	when
normally	normal	normally
cool	cool	cool
San	san	San
Francisco	francisco	Francisco
temperatures	temperatur	temperature
had	had	had
already	alreadi	already
climbed	climb	climbed
to	to	to
95	95	95
degrees	degre	degree
by	by	by
noon	noon	noon
.	.	.

It	it	It
was	was	wa
not	not	not
unintentional	unintent	unintentional
.	.	.

They	they	They
were	were	were
burning	burn	burning
something	someth	something
in	in	in
their	their	their
fireplace	fireplac	fireplace
,	,	,
she	she	she
said	said	said
.	.	.
Source	sourc	Source
SF	sf	SF
ChronicleRemember	chroniclerememb	ChronicleRemember
,	,	,
this	this	this
is	is	is
the	the	the
consulate	consul	consulate
that	that	that
Donald	donald	Donald
Trump	trump	Trump
ordered	order	ordered
closed	close	closed
in	in	in
retribution	retribut	retribution
for	for	for
Vladimir	vladimir	Vladimir
Putin	putin	Putin
s	s	s
kicking	kick	kicking
diplomats	diplomat	diplomat
out	out	out
of	of	of
Russia	russia	Russia
.	.	.

Saturday	saturday	Saturday
is	is	is
the	the	the
deadline	deadlin	deadline
for	for	for
the	the	the
consulate	consul	consulate
to	to	to
be	be	be
closed	close	closed
.	.	.
While	while	While
the	the	the
closure	closur	closure
of	of	of
the	the	the
consulate	consul	consulate
and	and	and
two	two	two
diplomatic	diplomat	diplomatic
annexes	annex	annex
might	might	might
sound	sound	sound
like	like	like
a	a	a
strong	strong	strong
stance	stanc	stance
against	against	against
Russia	russia	Russia
,	,	,
it	it	it
s	s	s
a	a	a
token	token	token
measure	measur	measure
,	,	,
at	at	at
best	best	best
.	.	.

Not	not	Not
a	a	a
single	singl	single
diplomat	diplomat	diplomat
is	is	is
being	be	being
kicked	kick	kicked
out	out	out
of	of	of
the	the	the
country	countri	country
and	and	and
the	the	the
main	main	main
consulate	consul	consulate
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
will	will	will
remain	remain	remain
open	open	open
.	.	.
Saturday	saturday	Saturday
is	is	is
the	the	the
deadline	deadlin	deadline
for	for	for
the	the	the
oldest	oldest	oldest
Russian	russian	Russian
consulate	consul	consulate
in	in	in
the	the	the
United	unit	United
States	state	States
to	to	to
close	close	close
its	it	it
doors	door	door
.	.	.

According	accord	According
to	to	to
Russian	russian	Russian
propaganda	propaganda	propaganda
Times	time	Times
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
security	secur	security
services	servic	service
are	are	are
set	set	set
to	to	to
search	search	search
the	the	the
facility	facil	facility
on	on	on
Saturday	saturday	Saturday
and	and	and
it	it	it
certainly	certain	certainly
appears	appear	appears
that	that	that
there	there	there
s	s	s
something	someth	something
in	in	in
the	the	the
San	san	San
Francisco	francisco	Francisco
consulate	consul	consulate
that	that	that
the	the	the
Russians	russian	Russians
don	don	don
t	t	t
want	want	want
Americans	american	Americans
to	to	to
find	find	find
,	,	,
or	or	or
perhaps	perhap	perhaps
there	there	there
s	s	s
something	someth	something
that	that	that
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
want	want	want
Americans	american	Americans
to	to	to
find	find	find
.	.	.
Update	updat	Update
Smoke	smoke	Smoke
was	was	wa
also	also	also
seen	seen	seen
outside	outsid	outside
the	the	the
Russian	russian	Russian
consulate	consul	consulate
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
EXCLUSIVE	exclus	EXCLUSIVE
Here's	here	Here's
the	the	the
fire	fire	fire
in	in	in
back	back	back
of	of	of
about	about	about
to	to	to
-be-closed	-be-clos	-be-closed
DC	dc	DC
Russia	russia	Russia
trade	trade	trade
rep	rep	rep
building	build	building
.	.	.

@janawinter	@janawint	@janawinter
on	on	on
the	the	the
scene	scene	scene
.	.	.

pic.twitter.com/oKoKX2OIBv	pic.twitter.com/okokx2oibv	pic.twitter.com/oKoKX2OIBv
Foreign	foreign	Foreign
Policy	polici	Policy
@ForeignPolicy	@foreignpolici	@ForeignPolicy
September	septemb	September
1	1	1
,	,	,
2017	2017	2017
Featured	featur	Featured
image	imag	image
via	via	via
Justin	justin	Justin
Sullivan	sullivan	Sullivan
Getty	getti	Getty
Images	imag	Images

