Interesting	interest	Interesting
in	in	in
the	the	the
attack	attack	attack
.	.	.
Other	other	Other
emails	email	email
include	includ	include
periodic	period	periodic
press	press	press
clippings	clip	clipping
about	about	about
the	the	the
state	state	state
of	of	of
Benghazi	benghazi	Benghazi
in	in	in
the	the	the
years	year	year
after	after	after
the	the	the
incident	incid	incident
,	,	,
which	which	which
were	were	were
meant	meant	meant
to	to	to
give	give	give
staffers	staffer	staffer
situational	situat	situational
awareness	awar	awareness
.	.	.
Another	anoth	Another
document	document	document
released	releas	released
Thursday	thursday	Thursday
is	is	is
a	a	a
memo	memo	memo
to	to	to
the	the	the
State	state	State
Department	depart	Department
that	that	that
shows	show	show
the	the	the
DNI	dni	DNI
signed	sign	signed
off	off	off
on	on	on
a	a	a
proposal	propos	proposal
to	to	to
revoke	revok	revoke
al	al	al
-Awlaki	-awlaki	-Awlaki
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
passport	passport	passport
about	about	about
seven	seven	seven
and	and	and
a	a	a
half	half	half
months	month	month
before	befor	before
he	he	he
was	was	wa
killed	kill	killed
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
in	in	in
a	a	a
2011	2011	2011
drone	drone	drone
strike	strike	strike
in	in	in
Yemen	yemen	Yemen
.	.	.
News	news	News
that	that	that
al	al	al
-Awlaki	-awlaki	-Awlaki
s	s	s
passport	passport	passport
was	was	wa
revoked	revok	revoked
by	by	by
the	the	the
State	state	State
Department	depart	Department
before	befor	before
he	he	he
was	was	wa
killed	kill	killed
was	was	wa
reported	report	reported
back	back	back
in	in	in
2012	2012	2012
.	.	.
In	in	In
the	the	the
2011	2011	2011
memo	memo	memo
,	,	,
released	releas	released
Thursday	thursday	Thursday
,	,	,
the	the	the
DNI	dni	DNI
told	told	told
the	the	the
State	state	State
Department	depart	Department
that	that	that
it	it	it
concurs	concur	concurs
with	with	with
the	the	the
proposal	propos	proposal
to	to	to
revoke	revok	revoke
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
passport	passport	passport
of	of	of
Anwar	anwar	Anwar
Nasser	nasser	Nasser
al	al	al
-Aulaqi	-aulaqi	-Aulaqi
.	.	.
A	a	A
previously	previous	previously
released	releas	released
Justice	justic	Justice
Department	depart	Department
memo	memo	memo
from	from	from
that	that	that
time	time	time
found	found	found
that	that	that
the	the	the
government	govern	government
did	did	did
not	not	not
see	see	see
any	ani	any
constitutional	constitut	constitutional
problems	problem	problem
with	with	with
killing	kill	killing
al	al	al
-Awlaki	-awlaki	-Awlaki
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
citizen	citizen	citizen
,	,	,
because	becaus	because
of	of	of
his	his	his
alleged	alleg	alleged
leadership	leadership	leadership
roles	role	role
with	with	with
al	al	al
Qaeda	qaeda	Qaeda
.	.	.
Other	other	Other
documents	document	document
released	releas	released
Thursday	thursday	Thursday
are	are	are
related	relat	related
a	a	a
2013	2013	2013
update	updat	update
about	about	about
how	how	how
to	to	to
mark	mark	mark
sensitive	sensit	sensitive
human	human	human
intelligence	intellig	intelligence
that	that	that
has	has	ha
been	been	been
gathered	gather	gathered
.	.	.
Another	anoth	Another
relates	relat	relates
to	to	to
the	the	the
schedule	schedul	schedule
of	of	of
National	nation	National
Counterintelligence	counterintellig	Counterintelligence
Executive	execut	Executive
William	william	William
Evanina	evanina	Evanina
in	in	in
early	earli	early
2015	2015	2015
.	.	.
The	the	The
documents	document	document
were	were	were
released	releas	released
as	as	a
part	part	part
of	of	of
a	a	a
proactive	proactiv	proactive
disclosure	disclosur	disclosure
under	under	under
the	the	the
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
Act	act	Act
.	.	.
The	the	The
government	govern	government
and	and	and
public	public	public
relations	relat	relation
firms	firm	firm
have	have	have
been	been	been
known	known	known
to	to	to
release	releas	release
unflattering	unflatt	unflattering
information	inform	information
around	around	around
major	major	major
holidays	holiday	holiday
or	or	or
weekends	weekend	weekend
to	to	to
blunt	blunt	blunt
the	the	the
news	news	news
effect	effect	effect
.	.	.
Via	via	Via
The	the	The
Hill	hill	Hill
