Bravo	bravo	Bravo
LaFountain	lafountain	LaFountain
told	told	told
WHEC	whec	WHEC
.	.	.
Jennifer	jennif	Jennifer
s	s	s
request	request	request
was	was	wa
denied	deni	denied
.	.	.
Instead	instead	Instead
of	of	of
posting	post	posting
the	the	the
banner	banner	banner
outside	outsid	outside
the	the	the
restaurant	restaur	restaurant
,	,	,
she	she	she
posted	post	posted
it	it	it
inside	insid	inside
.	.	.
And	and	And
that	that	that
was	was	wa
that	that	that
until	until	until
the	the	the
Orlando	orlando	Orlando
terrorist	terrorist	terrorist
attack	attack	attack
.	.	.
I	i	I
decided	decid	decided
on	on	on
my	my	my
way	way	way
to	to	to
work	work	work
that	that	that
I	i	I
was	was	wa
going	go	going
to	to	to
put	put	put
it	it	it
up	up	up
regardless	regardless	regardless
of	of	of
the	the	the
town	town	town
telling	tell	telling
me	me	me
I	i	I
couldn	couldn	couldn
t	t	t
,	,	,
she	she	she
said	said	said
.	.	.
So	so	So
I	i	I
put	put	put
it	it	it
up	up	up
.	.	.
A	a	A
bit	bit	bit
later	later	later
that	that	that
day	day	day
she	she	she
received	receiv	received
an	an	an
email	email	email
from	from	from
the	the	the
town	town	town
telling	tell	telling
her	her	her
to	to	to
remove	remov	remove
the	the	the
banner	banner	banner
.	.	.
They	they	They
warned	warn	warned
her	her	her
that	that	that
she	she	she
could	could	could
face	face	face
a	a	a
possible	possibl	possible
fine	fine	fine
for	for	for
violating	violat	violating
the	the	the
ordinance	ordin	ordinance
.	.	.
I	i	I
didn	didn	didn
t	t	t
take	take	take
it	it	it
down	down	down
,	,	,
Jennifer	jennif	Jennifer
told	told	told
me	me	me
.	.	.
And	and	And
I	i	I
was	was	wa
willing	will	willing
to	to	to
pay	pay	pay
the	the	the
fine	fine	fine
.	.	.
The	the	The
message	messag	message
on	on	on
the	the	the
banner	banner	banner
means	mean	mean
a	a	a
lot	lot	lot
to	to	to
me	me	me
especially	especi	especially
during	dure	during
this	this	this
time	time	time
in	in	in
our	our	our
country	countri	country
with	with	with
all	all	all
that	that	that
s	s	s
going	go	going
on	on	on
with	with	with
terrorism	terror	terrorism
,	,	,
she	she	she
said	said	said
.	.	.
I	i	I
just	just	just
can	can	can
t	t	t
believe	believ	believe
that	that	that
I	i	I
can	can	can
t	t	t
have	have	have
this	this	this
banner	banner	banner
up	up	up
and	and	and
be	be	be
supported	support	supported
by	by	by
the	the	the
town	town	town
board	board	board
.	.	.
The	the	The
fact	fact	fact
that	that	that
I	i	I
m	m	m
being	be	being
asked	ask	asked
to	to	to
take	take	take
it	it	it
down	down	down
is	is	is
wrong	wrong	wrong
,	,	,
she	she	she
said	said	said
.	.	.
It	it	It
s	s	s
against	against	against
my	my	my
First	first	First
Amendment	amend	Amendment
rights	right	right
.	.	.
People	peopl	People
need	need	need
to	to	to
open	open	open
up	up	up
their	their	their
eyes	eye	eye
.	.	.
If	if	If
we	we	we
start	start	start
letting	let	letting
them	them	them
tell	tell	tell
us	us	u
we	we	we
can	can	can
t	t	t
do	do	do
this	this	this
it	it	it
s	s	s
going	go	going
to	to	to
get	get	get
worse	wors	worse
.	.	.
Jennifer	jennif	Jennifer
tells	tell	tell
me	me	me
she	she	she
never	never	never
imagined	imagin	imagined
there	there	there
would	would	would
be	be	be
a	a	a
day	day	day
like	like	like
this	this	this
in	in	in
America	america	America
.	.	.
I	i	I
have	have	have
lots	lot	lot
of	of	of
veterans	veteran	veteran
in	in	in
my	my	my
family	famili	family
,	,	,
she	she	she
said	said	said
.	.	.
I	i	I
have	have	have
a	a	a
cousin	cousin	cousin
who	who	who
fought	fought	fought
in	in	in
Desert	desert	Desert
Storm	storm	Storm
so	so	so
that	that	that
we	we	we
could	could	could
have	have	have
the	the	the
freedom	freedom	freedom
to	to	to
hang	hang	hang
a	a	a
banner	banner	banner
that	that	that
says	say	say
,	,	,
God	god	God
bless	bless	bless
America	america	America
.	.	.
And	and	And
yet	yet	yet
we	we	we
live	live	live
in	in	in
a	a	a
nation	nation	nation
where	where	where
you	you	you
can	can	can
be	be	be
punished	punish	punished
for	for	for
simply	simpli	simply
being	be	being
patriotic	patriot	patriotic
.	.	.
Via	via	Via
FOX	fox	FOX
News	news	News
