Welcome	welcom	Welcome
are	are	are
and	and	and
what	what	what
they	they	they
look	look	look
like	like	like
now	now	now
get	get	get
to	to	to
feel	feel	feel
it	it	it
ten	ten	ten
-fold	-fold	-fold
in	in	in
many	mani	many
places	place	place
.	.	.
How	how	How
is	is	is
Ndip	ndip	Ndip
s	s	s
son	son	son
to	to	to
convince	convinc	convince
himself	himself	himself
that	that	that
this	this	this
is	is	is
just	just	just
some	some	some
graffiti	graffiti	graffiti
and	and	and
nobody	nobodi	nobody
will	will	will
actually	actual	actually
hurt	hurt	hurt
anyone	anyon	anyone
?	?	?
It	it	It
s	s	s
not	not	not
just	just	just
words	word	word
and	and	and
harmless	harmless	harmless
fun	fun	fun
.	.	.
Children	children	Children
learn	learn	learn
hate	hate	hate
from	from	from
their	their	their
parents	parent	parent
and	and	and
their	their	their
elders	elder	elder
.	.	.
Children	children	Children
who	who	who
listened	listen	listened
to	to	to
Trump	trump	Trump
s	s	s
hate	hate	hate
and	and	and
watched	watch	watched
their	their	their
parents	parent	parent
support	support	support
it	it	it
and	and	and
repeat	repeat	repeat
it	it	it
just	just	just
learned	learn	learned
that	that	that
their	their	their
hatred	hatr	hatred
is	is	is
perfectly	perfect	perfectly
fine	fine	fine
.	.	.
This	this	This
kind	kind	kind
of	of	of
thing	thing	thing
is	is	is
likely	like	likely
just	just	just
the	the	the
beginning	begin	beginning
.	.	.
Many	mani	Many
schools	school	school
will	will	will
probably	probabl	probably
see	see	see
an	an	an
uptick	uptick	uptick
in	in	in
bullying	bulli	bullying
,	,	,
particularly	particular	particularly
against	against	against
anyone	anyon	anyone
who	who	who
isn	isn	isn
t	t	t
white	white	white
or	or	or
Christian	christian	Christian
.	.	.
The	the	The
damage	damag	damage
to	to	to
our	our	our
children	children	child
,	,	,
along	along	along
to	to	to
everyone	everyon	everyone
else	els	else
who	who	who
will	will	will
be	be	be
tossed	toss	tossed
under	under	under
the	the	the
bus	bus	bus
when	when	when
the	the	the
GOP	gop	GOP
does	doe	doe
its	it	it
thing	thing	thing
,	,	,
is	is	is
incalculable	incalcul	incalculable
.	.	.
This	this	This
is	is	is
one	one	one
of	of	of
those	those	those
times	time	time
where	where	where
many	mani	many
of	of	of
us	us	u
are	are	are
hoping	hope	hoping
we	we	we
re	re	re
wrong	wrong	wrong
,	,	,
and	and	and
they	they	they
won	won	won
t	t	t
do	do	do
what	what	what
we	we	we
ve	ve	ve
been	been	been
told	told	told
they	they	they
want	want	want
to	to	to
do	do	do
,	,	,
but	but	but
we	we	we
re	re	re
not	not	not
holding	hold	holding
our	our	our
breath	breath	breath
.	.	.
And	and	And
the	the	the
hate	hate	hate
will	will	will
continue	continu	continue
and	and	and
will	will	will
grow	grow	grow
because	becaus	because
we	we	we
elected	elect	elected
one	one	one
of	of	of
the	the	the
most	most	most
hateful	hate	hateful
men	men	men
imaginable	imagin	imaginable
to	to	to
the	the	the
White	white	White
House	hous	House
.	.	.
He	he	He
s	s	s
an	an	an
example	exampl	example
,	,	,
and	and	and
he	he	he
s	s	s
made	made	made
it	it	it
okay	okay	okay
to	to	to
hate	hate	hate
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
via	via	via
Getty	getti	Getty
Images	imag	Images
