Yesterday	yesterday	Yesterday
many	mani	many
,	,	,
many	mani	many
years	year	year
ago	ago	ago
,	,	,
I	i	I
ve	ve	ve
known	known	known
her	her	her
for	for	for
a	a	a
while	while	while
now	now	now
,	,	,
and	and	and
I	i	I
truly	truli	truly
do	do	do
not	not	not
believe	believ	believe
that	that	that
she	she	she
s	s	s
being	be	being
honest	honest	honest
about	about	about
this	this	this
.	.	.

You	you	You
re	re	re
a	a	a
good	good	good
judge	judg	judge
.	.	.

I	i	I
ve	ve	ve
growed	grow	growed
up	up	up
,	,	,
I	i	I
ve	ve	ve
known	known	known
your	your	your
name	name	name
since	sinc	since
I	i	I
was	was	wa
a	a	a
kid	kid	kid
.	.	.

You	you	You
cared	care	cared
about	about	about
the	the	the
ten	ten	ten
commandments	command	commandment
.	.	.

You	you	You
tried	tri	tried
like	like	like
hell	hell	hell
to	to	to
keep	keep	keep
the	the	the
ten	ten	ten
commandments	command	commandment
from	from	from
being	be	being
taken	taken	taken
out	out	out
of	of	of
the	the	the
courthouse	courthous	courthouse
.	.	.

I	i	I
remember	rememb	remember
.	.	.

I	i	I
ve	ve	ve
been	been	been
a	a	a
member	member	member
of	of	of
Etowah	etowah	Etowah
County	counti	County
my	my	my
whole	whole	whole
life	life	life
.	.	.

I	i	I
was	was	wa
born	born	born
here	here	here
.	.	.

Now	now	Now
I	i	I
m	m	m
twisted	twist	twisted
.	.	.

To	to	To
you	you	you
Mr	mr	Mr
.	.	.
Moore	moor	Moore
,	,	,
and	and	and
to	to	to
your	your	your
wife	wife	wife
,	,	,
I	i	I
do	do	do
apologize	apolog	apologize
.	.	.

For	for	For
whatever	whatev	whatever
reason	reason	reason
,	,	,
she	she	she
s	s	s
doing	do	doing
this	this	this
,	,	,
and	and	and
I	i	I
am	am	am
truly	truli	truly
sorry	sorri	sorry
.	.	.

I	i	I
stand	stand	stand
behind	behind	behind
you	you	you
100	100	100
.	.	.

And	and	And
to	to	to
my	my	my
stepmother	stepmoth	stepmother
,	,	,
for	for	for
whatever	whatev	whatever
reasons	reason	reason
you	you	you
did	did	did
this	this	this
Why	whi	Why
did	did	did
you	you	you
,	,	,
I	i	I
have	have	have
a	a	a
few	few	few
questions	question	question
about	about	about
this	this	this
Why	whi	Why
did	did	did
you	you	you
wait	wait	wait
so	so	so
long	long	long
if	if	if
this	this	this
did	did	did
happen	happen	happen
?	?	?

You	you	You
waited	wait	waited
,	,	,
you	you	you
said	said	said
you	you	you
were	were	were
a	a	a
teenager	teenag	teenager
when	when	when
it	it	it
happened	happen	happened
.	.	.

Well	well	Well
,	,	,
here	here	here
it	it	it
now	now	now
,	,	,
how	how	how
many	mani	many
years	year	year
later	later	later
?	?	?

And	and	And
all	all	all
of	of	of
a	a	a
sudden	sudden	sudden
,	,	,
now	now	now
you	you	you
re	re	re
gonna	gonna	gonna
bring	bring	bring
it	it	it
up	up	up
when	when	when
he	he	he
s	s	s
fixin	fixin	fixin
to	to	to
go	go	go
,	,	,
and	and	and
we	we	we
done	done	done
votin	votin	votin
him	him	him
into	into	into
the	the	the
House	hous	House
,	,	,
and	and	and
you	you	you
re	re	re
trying	tri	trying
to	to	to
get	get	get
him	him	him
took	took	took
out	out	out
.	.	.

I	i	I
ve	ve	ve
tried	tri	tried
to	to	to
keep	keep	keep
quiet	quiet	quiet
on	on	on
your	your	your
name	name	name
because	becaus	because
I	i	I
see	see	see
your	your	your
name	name	name
flying	fli	flying
around	around	around
everywhere	everywher	everywhere
.	.	.
But	but	But
I	i	I
am	am	am
a	a	a
Moore	moor	Moore
supporter	support	supporter
,	,	,
but	but	but
officially	offici	officially
,	,	,
this	this	this
is	is	is
the	the	the
statement	statement	statement
I	i	I
ve	ve	ve
been	been	been
meaning	mean	meaning
to	to	to
make	make	make
.	.	.

I	i	I
know	know	know
I	i	I
m	m	m
gonna	gonna	gonna
get	get	get
some	some	some
backlash	backlash	backlash
from	from	from
my	my	my
family	famili	family
,	,	,
but	but	but
that	that	that
s	s	s
okay	okay	okay
.	.	.

We	we	We
the	the	the
people	peopl	people
made	made	made
the	the	the
decision	decis	decision
.	.	.

It	it	It
s	s	s
over	over	over
.	.	.

Democrats	democrat	Democrats
are	are	are
taking	take	taking
a	a	a
shot	shot	shot
at	at	at
it	it	it
,	,	,
using	use	using
any	ani	any
and	and	and
everybody	everybodi	everybody
they	they	they
can	can	can
get	get	get
so	so	so
they	they	they
can	can	can
tarnish	tarnish	tarnish
his	his	his
record	record	record
,	,	,
to	to	to
get	get	get
a	a	a
Democrat	democrat	Democrat
to	to	to
take	take	take
his	his	his
place	place	place
.	.	.

Well	well	Well
,	,	,
I	i	I
m	m	m
sorry	sorri	sorry
.	.	.

We	we	We
re	re	re
not	not	not
gonna	gonna	gonna
have	have	have
that	that	that
.	.	.

For	for	For
whatever	whatev	whatever
reason	reason	reason
,	,	,
she	she	she
s	s	s
done	done	done
what	what	what
she	she	she
s	s	s
done	done	done
.	.	.

This	this	This
needs	need	need
to	to	to
end	end	end
now	now	now
.	.	.

So	so	So
with	with	with
this	this	this
official	offici	official
statement	statement	statement
,	,	,
I	i	I
stand	stand	stand
with	with	with
Moore	moor	Moore
,	,	,
all	all	all
the	the	the
way	way	way
.	.	.

I	i	I
m	m	m
reaching	reach	reaching
out	out	out
to	to	to
you	you	you
Mr	mr	Mr
.	.	.
Moore	moor	Moore
.	.	.

If	if	If
you	you	you
need	need	need
me	me	me
to	to	to
make	make	make
a	a	a
public	public	public
statement	statement	statement
,	,	,
I	i	I
ll	ll	ll
do	do	do
so	so	so
on	on	on
your	your	your
behalf	behalf	behalf
.	.	.

Watch	watch	Watch
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
'https	https	'https
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
#xfbml=1&version=v2.11';	#xfbml=1&version=v2.11';	#xfbml=1&version=v2.11';
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
My	my	My
official	offici	official
statementPosted	statementpost	statementPosted
by	by	by
Darrel	darrel	Darrel
Nelson	nelson	Nelson
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
November	novemb	November
14	14	14
,	,	,
2017	2017	2017

