Concerns	concern	Concerns
,	,	,
does	doe	doe
Trump	trump	Trump
need	need	need
a	a	a
tax	tax	tax
credit	credit	credit
of	of	of
any	ani	any
kind	kind	kind
?	?	?

We	we	We
might	might	might
have	have	have
muttered	mutter	muttered
and	and	and
mumbled	mumbl	mumbled
a	a	a
little	littl	little
louder	louder	louder
if	if	if
this	this	this
had	had	had
happened	happen	happened
before	befor	before
he	he	he
was	was	wa
elected	elect	elected
,	,	,
too	too	too
.	.	.

But	but	But
now	now	now
,	,	,
with	with	with
him	him	him
actually	actual	actually
being	be	being
the	the	the
president	presid	president
-elect	-elect	-elect
,	,	,
and	and	and
the	the	the
Park	park	Park
Service	servic	Service
technically	technic	technically
working	work	working
for	for	for
him	him	him
even	even	even
if	if	if
not	not	not
officially	offici	officially
,	,	,
there	there	there
s	s	s
a	a	a
major	major	major
problem	problem	problem
.	.	.
They	they	They
just	just	just
gave	gave	gave
their	their	their
new	new	new
employer	employ	employer
a	a	a
break	break	break
on	on	on
his	his	his
taxes	tax	tax
.	.	.
Trump	trump	Trump
s	s	s
lease	leas	lease
on	on	on
the	the	the
Old	old	Old
Post	post	Post
Office	offic	Office
strictly	strict	strictly
prohibits	prohibit	prohibits
any	ani	any
elected	elect	elected
official	offici	official
of	of	of
the	the	the
Government	govern	Government
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
from	from	from
participating	particip	participating
.	.	.

The	the	The
General	general	General
Services	servic	Services
Administration	administr	Administration
would	would	would
be	be	be
wise	wise	wise
to	to	to
break	break	break
their	their	their
contract	contract	contract
if	if	if
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
disappear	disappear	disappear
from	from	from
that	that	that
hotel	hotel	hotel
post	post	post
-haste	-hast	-haste
.	.	.
A	a	A
professor	professor	professor
of	of	of
government	govern	government
procurement	procur	procurement
at	at	at
the	the	the
George	georg	George
Washington	washington	Washington
University	univers	University
School	school	School
of	of	of
Law	law	Law
agrees	agre	agrees
that	that	that
this	this	this
is	is	is
a	a	a
massive	massiv	massive
conflict	conflict	conflict
of	of	of
interest	interest	interest
This	this	This
is	is	is
a	a	a
classic	classic	classic
or	or	or
textbook	textbook	textbook
example	exampl	example
of	of	of
a	a	a
conflict	conflict	conflict
of	of	of
interest	interest	interest
.	.	.

The	the	The
decision	decis	decision
-maker	-maker	-maker
here	here	here
,	,	,
the	the	the
National	nation	National
Park	park	Park
Service	servic	Service
,	,	,
works	work	work
for	for	for
the	the	the
party	parti	party
that	that	that
stands	stand	stand
to	to	to
benefit	benefit	benefit
from	from	from
a	a	a
favorable	favor	favorable
decision	decis	decision
.	.	.

Trump	trump	Trump
s	s	s
announcement	announc	announcement
that	that	that
he	he	he
s	s	s
going	go	going
to	to	to
divest	divest	divest
himself	himself	himself
of	of	of
his	his	his
business	busi	business
interests	interest	interest
entirely	entir	entirely
does	doe	doe
little	littl	little
to	to	to
change	chang	change
this	this	this
,	,	,
because	becaus	because
he	he	he
s	s	s
still	still	still
insisting	insist	insisting
that	that	that
his	his	his
kids	kid	kid
will	will	will
run	run	run
his	his	his
empire	empir	empire
for	for	for
him	him	him
.	.	.

Generally	general	Generally
,	,	,
placing	place	placing
assets	asset	asset
in	in	in
a	a	a
blind	blind	blind
trust	trust	trust
means	mean	mean
turning	turn	turning
them	them	them
over	over	over
to	to	to
someone	someon	someone
who	who	who
has	has	ha
no	no	no
direct	direct	direct
involvement	involv	involvement
with	with	with
you	you	you
,	,	,
let	let	let
alone	alon	alone
the	the	the
relationship	relationship	relationship
of	of	of
parent	parent	parent
and	and	and
child	child	child
.	.	.
Divesting	divest	Divesting
means	mean	mean
getting	get	getting
out	out	out
of	of	of
them	them	them
completely	complet	completely
.	.	.
Trump	trump	Trump
doesn	doesn	doesn
t	t	t
seem	seem	seem
to	to	to
have	have	have
any	ani	any
intention	intent	intention
of	of	of
doing	do	doing
either	either	either
,	,	,
given	given	given
that	that	that
his	his	his
children	children	child
are	are	are
top	top	top
members	member	member
of	of	of
his	his	his
transition	transit	transition
team	team	team
.	.	.

He	he	He
does	doe	doe
plan	plan	plan
to	to	to
hold	hold	hold
a	a	a
news	news	news
conference	confer	conference
in	in	in
two	two	two
weeks	week	week
where	where	where
he	he	he
ll	ll	ll
supposedly	suppos	supposedly
give	give	give
details	detail	detail
of	of	of
his	his	his
divestiture	divestitur	divestiture
.	.	.

That	that	That
will	will	will
also	also	also
give	give	give
them	them	them
time	time	time
to	to	to
actually	actual	actually
figure	figur	figure
out	out	out
how	how	how
to	to	to
extricate	extric	extricate
him	him	him
from	from	from
all	all	all
his	his	his
businesses	busi	business
.	.	.
That	that	That
doesn	doesn	doesn
t	t	t
stop	stop	stop
the	the	the
fact	fact	fact
that	that	that
he	he	he
s	s	s
set	set	set
to	to	to
get	get	get
a	a	a
massive	massiv	massive
tax	tax	tax
break	break	break
very	veri	very
soon	soon	soon
,	,	,
possibly	possibl	possibly
before	befor	before
he	he	he
s	s	s
fully	fulli	fully
divested	divest	divested
if	if	if
that	that	that
s	s	s
even	even	even
his	his	his
plan	plan	plan
.	.	.

32	32	32
million	million	million
is	is	is
not	not	not
pocket	pocket	pocket
change	chang	change
to	to	to
the	the	the
average	averag	average
American	american	American
taxpayer	taxpay	taxpayer
,	,	,
and	and	and
it	it	it
doesn	doesn	doesn
t	t	t
look	look	look
good	good	good
going	go	going
into	into	into
the	the	the
president	presid	president
s	s	s
own	own	own
pocket	pocket	pocket
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
via	via	via
Getty	getti	Getty
Images	imag	Images

