Just	just	Just
15	15	15
or	or	or
20	20	20
years	year	year
.	.	.
It	it	It
s	s	s
a	a	a
very	veri	very
,	,	,
very	veri	very
hard	hard	hard
thing	thing	thing
.	.	.
Ann	ann	Ann
Coulter	coulter	Coulter
@AnnCoulter	@anncoult	@AnnCoulter
August	august	August
25	25	25
,	,	,
2016It	2016it	2016It
s	s	s
hard	hard	hard
to	to	to
deport	deport	deport
someone	someon	someone
who	who	who
s	s	s
been	been	been
here	here	here
FOUR	four	FOUR
YEARS	year	YEARS
!	!	!
https://t.co/Ajbon3TcDP	https://t.co/ajbon3tcdp	https://t.co/Ajbon3TcDP
Ann	ann	Ann
Coulter	coulter	Coulter
@AnnCoulter	@anncoult	@AnnCoulter
August	august	August
25	25	25
,	,	,
2016Coulter	2016coulter	2016Coulter
also	also	also
told	told	told
reporters	report	reporter
that	that	that
if	if	if
Trump	trump	Trump
continues	continu	continues
to	to	to
back	back	back
down	down	down
on	on	on
his	his	his
immigration	immigr	immigration
promises	promis	promise
made	made	made
during	dure	during
the	the	the
primaries	primari	primary
,	,	,
she	she	she
would	would	would
cease	ceas	cease
her	her	her
upcoming	upcom	upcoming
book	book	book
tour	tour	tour
for	for	for
In	in	In
Trump	trump	Trump
We	we	We
Must	must	Must
.	.	.
On	on	On
MSNBC	msnbc	MSNBC
s	s	s
Hardball	hardbal	Hardball
Coulter	coulter	Coulter
told	told	told
Chris	chris	Chris
Matthews	matthew	Matthews
that	that	that
his	his	his
softening	soften	softening
tone	tone	tone
was	was	wa
a	a	a
mistake	mistak	mistake
and	and	and
said	said	said
it	it	it
sounds	sound	sound
like	like	like
it	it	it
s	s	s
coming	come	coming
from	from	from
advisors	advisor	advisor
.	.	.
Trump	trump	Trump
is	is	is
in	in	in
big	big	big
trouble	troubl	trouble
.	.	.
Ann	ann	Ann
Coulter	coulter	Coulter
is	is	is
basically	basic	basically
severing	sever	severing
ties	tie	tie
with	with	with
the	the	the
xenophobic	xenophob	xenophobic
billionaire	billionair	billionaire
,	,	,
and	and	and
if	if	if
Ann	ann	Ann
Coulter	coulter	Coulter
can	can	can
t	t	t
support	support	support
you	you	you
,	,	,
then	then	then
there	there	there
goes	goe	go
a	a	a
chunk	chunk	chunk
of	of	of
right	right	right
-wing	-wing	-wing
support	support	support
.	.	.
The	the	The
impending	impend	impending
Coulter	coulter	Coulter
-Trump	-trump	-Trump
war	war	war
is	is	is
a	a	a
glorious	glorious	glorious
gift	gift	gift
from	from	from
the	the	the
political	polit	political
gods	god	god
and	and	and
it	it	it
could	could	could
not	not	not
have	have	have
come	come	come
at	at	at
a	a	a
better	better	better
time	time	time
.	.	.
Trump	trump	Trump
is	is	is
already	alreadi	already
having	have	having
a	a	a
hard	hard	hard
time	time	time
getting	get	getting
GOP	gop	GOP
support	support	support
.	.	.
A	a	A
tiff	tiff	tiff
with	with	with
Coulter	coulter	Coulter
and	and	and
other	other	other
right	right	right
-wing	-wing	-wing
ideologues	ideologu	ideologue
is	is	is
not	not	not
the	the	the
best	best	best
idea	idea	idea
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Gage	gage	Gage
Skidmore	skidmor	Skidmore
Getty	getti	Getty
Images	imag	Images
