If	if	If
premiums	premium	premium
,	,	,
but	but	but
the	the	the
individual	individu	individual
would	would	would
be	be	be
covered	cover	covered
for	for	for
a	a	a
lot	lot	lot
less	less	le
,	,	,
as	as	a
well	well	well
,	,	,
whereas	wherea	whereas
states	state	state
that	that	that
don	don	don
t	t	t
have	have	have
the	the	the
waivers	waiver	waiver
would	would	would
have	have	have
a	a	a
higher	higher	higher
rate	rate	rate
,	,	,
but	but	but
more	more	more
comprehensive	comprehens	comprehensive
coverage	coverag	coverage
.	.	.
Premiums	premium	Premiums
would	would	would
also	also	also
differ	differ	differ
greatly	great	greatly
depending	depend	depending
on	on	on
age	age	age
and	and	and
income	incom	income
and	and	and
it	it	it
looks	look	look
pretty	pretti	pretty
grim	grim	grim
for	for	for
individuals	individu	individual
in	in	in
an	an	an
older	older	older
age	age	age
bracket	bracket	bracket
who	who	who
are	are	are
on	on	on
a	a	a
fixed	fix	fixed
income	incom	income
.	.	.
Using	use	Using
an	an	an
annual	annual	annual
income	incom	income
of	of	of
26	26	26
,	,	,
500	500	500
as	as	a
an	an	an
example	exampl	example
,	,	,
an	an	an
individual	individu	individual
aged	age	aged
21	21	21
years	year	year
old	old	old
may	may	may
have	have	have
an	an	an
advantage	advantag	advantage
with	with	with
the	the	the
new	new	new
scheme	scheme	scheme
.	.	.
Currently	current	Currently
,	,	,
under	under	under
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
,	,	,
that	that	that
individual	individu	individual
pays	pay	pay
an	an	an
average	averag	average
of	of	of
1	1	1
,	,	,
700	700	700
per	per	per
year	year	year
on	on	on
insurance	insur	insurance
premiums	premium	premium
.	.	.
This	this	This
amount	amount	amount
would	would	would
drop	drop	drop
to	to	to
just	just	just
1	1	1
,	,	,
250	250	250
under	under	under
the	the	the
American	american	American
Health	health	Health
Care	care	Care
Act	act	Act
if	if	if
their	their	their
state	state	state
accepts	accept	accepts
regulatory	regulatori	regulatory
waivers	waiver	waiver
,	,	,
although	although	although
they	they	they
would	would	would
be	be	be
covered	cover	covered
for	for	for
less	less	le
.	.	.
In	in	In
a	a	a
state	state	state
that	that	that
doesn	doesn	doesn
t	t	t
accept	accept	accept
waivers	waiver	waiver
,	,	,
the	the	the
average	averag	average
premiums	premium	premium
for	for	for
a	a	a
21	21	21
-year-old	-year-old	-year-old
would	would	would
actually	actual	actually
increase	increas	increase
by	by	by
around	around	around
50	50	50
per	per	per
annum	annum	annum
to	to	to
about	about	about
1	1	1
,	,	,
750	750	750
per	per	per
year	year	year
.	.	.
However	howev	However
,	,	,
a	a	a
64	64	64
-year-old	-year-old	-year-old
on	on	on
an	an	an
annual	annual	annual
income	incom	income
of	of	of
26	26	26
,	,	,
500	500	500
is	is	is
currently	current	currently
still	still	still
spending	spend	spending
that	that	that
average	averag	average
amount	amount	amount
of	of	of
1	1	1
,	,	,
700	700	700
per	per	per
annum	annum	annum
on	on	on
premiums	premium	premium
under	under	under
Obamacare	obamacar	Obamacare
,	,	,
but	but	but
things	thing	thing
look	look	look
pretty	pretti	pretty
bleak	bleak	bleak
under	under	under
the	the	the
American	american	American
Health	health	Health
Care	care	Care
Act	act	Act
.	.	.
Under	under	Under
the	the	the
new	new	new
Republican	republican	Republican
bill	bill	bill
,	,	,
roughly	rough	roughly
60	60	60
percent	percent	percent
of	of	of
their	their	their
income	incom	income
will	will	will
go	go	go
toward	toward	toward
insurance	insur	insurance
premiums	premium	premium
if	if	if
they	they	they
live	live	live
in	in	in
a	a	a
state	state	state
that	that	that
doesn	doesn	doesn
t	t	t
accept	accept	accept
waivers	waiver	waiver
,	,	,
forking	fork	forking
out	out	out
around	around	around
16	16	16
,	,	,
500	500	500
a	a	a
year	year	year
.	.	.
It	it	It
s	s	s
still	still	still
not	not	not
a	a	a
whole	whole	whole
lot	lot	lot
better	better	better
in	in	in
other	other	other
states	state	state
,	,	,
where	where	where
they	they	they
would	would	would
be	be	be
paying	pay	paying
13	13	13
,	,	,
600	600	600
,	,	,
still	still	still
more	more	more
than	than	than
half	half	half
of	of	of
their	their	their
wages	wage	wage
.	.	.
If	if	If
,	,	,
however	howev	however
,	,	,
that	that	that
64	64	64
-year-old	-year-old	-year-old
is	is	is
making	make	making
at	at	at
least	least	least
68	68	68
,	,	,
200	200	200
per	per	per
year	year	year
,	,	,
they	they	they
look	look	look
to	to	to
be	be	be
better	better	better
off	off	off
in	in	in
certain	certain	certain
situations	situat	situation
under	under	under
the	the	the
Republican	republican	Republican
Party	parti	Party
s	s	s
new	new	new
scheme	scheme	scheme
,	,	,
one	one	one
whose	whose	whose
tax	tax	tax
credit	credit	credit
is	is	is
based	base	based
on	on	on
age	age	age
,	,	,
not	not	not
income	incom	income
.	.	.
An	an	An
annual	annual	annual
income	incom	income
of	of	of
68	68	68
,	,	,
200	200	200
is	is	is
too	too	too
high	high	high
to	to	to
receive	receiv	receive
a	a	a
tax	tax	tax
credit	credit	credit
under	under	under
Obamacare	obamacar	Obamacare
so	so	so
the	the	the
individual	individu	individual
would	would	would
be	be	be
expected	expect	expected
to	to	to
pay	pay	pay
15	15	15
,	,	,
300	300	300
in	in	in
insurance	insur	insurance
premiums	premium	premium
,	,	,
whereas	wherea	whereas
under	under	under
Trump	trump	Trump
s	s	s
American	american	American
Health	health	Health
Care	care	Care
Act	act	Act
,	,	,
their	their	their
premium	premium	premium
would	would	would
drop	drop	drop
to	to	to
13	13	13
,	,	,
600	600	600
in	in	in
a	a	a
state	state	state
that	that	that
accepts	accept	accepts
regulatory	regulatori	regulatory
waivers	waiver	waiver
,	,	,
but	but	but
would	would	would
actually	actual	actually
increase	increas	increase
to	to	to
16	16	16
,	,	,
100	100	100
in	in	in
a	a	a
state	state	state
that	that	that
doesn	doesn	doesn
t	t	t
.	.	.
The	the	The
reason	reason	reason
for	for	for
this	this	this
is	is	is
not	not	not
just	just	just
the	the	the
age	age	age
-factor	-factor	-factor
,	,	,
but	but	but
also	also	also
because	becaus	because
the	the	the
tax	tax	tax
credit	credit	credit
under	under	under
the	the	the
American	american	American
Health	health	Health
Care	care	Care
Act	act	Act
starts	start	start
phasing	phase	phasing
out	out	out
at	at	at
75	75	75
,	,	,
000	000	000
.	.	.
Individuals	individu	Individuals
on	on	on
a	a	a
yearly	year	yearly
income	incom	income
of	of	of
75	75	75
,	,	,
000	000	000
or	or	or
more	more	more
will	will	will
receive	receiv	receive
fewer	fewer	fewer
,	,	,
if	if	if
any	ani	any
,	,	,
subsidies	subsidi	subsidy
under	under	under
the	the	the
new	new	new
Republican	republican	Republican
bill	bill	bill
and	and	and
can	can	can
expect	expect	expect
to	to	to
pay	pay	pay
more	more	more
in	in	in
premiums	premium	premium
than	than	than
they	they	they
would	would	would
under	under	under
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
.	.	.
This	this	This
is	is	is
all	all	all
achieved	achiev	achieved
in	in	in
a	a	a
variety	varieti	variety
of	of	of
ways	way	way
.	.	.
First	first	First
,	,	,
Obamacare	obamacar	Obamacare
s	s	s
income	incom	income
-based	-base	-based
tax	tax	tax
credits	credit	credit
,	,	,
which	which	which
gave	gave	gave
more	more	more
to	to	to
low	low	low
-income	-incom	-income
earners	earner	earner
,	,	,
will	will	will
be	be	be
abolished	abolish	abolished
and	and	and
replaced	replac	replaced
with	with	with
a	a	a
tax	tax	tax
-credit	-credit	-credit
based	base	based
on	on	on
age	age	age
for	for	for
those	those	those
with	with	with
an	an	an
annual	annual	annual
salary	salari	salary
below	below	below
75	75	75
,	,	,
000	000	000
,	,	,
one	one	one
that	that	that
gives	give	give
older	older	older
people	peopl	people
slightly	slight	slightly
more	more	more
.	.	.
Also	also	Also
,	,	,
the	the	the
American	american	American
Health	health	Health
Care	care	Care
Act	act	Act
adjusts	adjust	adjusts
a	a	a
rule	rule	rule
that	that	that
Obamacare	obamacar	Obamacare
had	had	had
in	in	in
place	place	place
to	to	to
protect	protect	protect
older	older	older
people	peopl	people
from	from	from
higher	higher	higher
premiums	premium	premium
.	.	.
This	this	This
rule	rule	rule
takes	take	take
into	into	into
consideration	consider	consideration
that	that	that
the	the	the
elderly	elder	elderly
are	are	are
generally	general	generally
in	in	in
worse	wors	worse
health	health	health
than	than	than
the	the	the
young	young	young
so	so	so
insurers	insur	insurer
are	are	are
only	onli	only
allowed	allow	allowed
to	to	to
charge	charg	charge
an	an	an
older	older	older
person	person	person
about	about	about
three	three	three
times	time	time
what	what	what
they	they	they
would	would	would
charge	charg	charge
a	a	a
younger	younger	younger
person	person	person
.	.	.
Under	under	Under
the	the	the
new	new	new
Republican	republican	Republican
bill	bill	bill
,	,	,
insurers	insur	insurer
would	would	would
be	be	be
able	abl	able
to	to	to
charge	charg	charge
an	an	an
older	older	older
person	person	person
five	five	five
times	time	time
what	what	what
they	they	they
would	would	would
charge	charg	charge
a	a	a
younger	younger	younger
person	person	person
,	,	,
66	66	66
percent	percent	percent
more	more	more
than	than	than
they	they	they
could	could	could
under	under	under
Obamacare	obamacar	Obamacare
.	.	.
As	as	As
a	a	a
result	result	result
,	,	,
the	the	the
Republican	republican	Republican
bill	bill	bill
will	will	will
,	,	,
in	in	in
theory	theori	theory
,	,	,
bring	bring	bring
insurance	insur	insurance
premiums	premium	premium
down	down	down
in	in	in
general	general	general
,	,	,
but	but	but
at	at	at
the	the	the
expense	expens	expense
of	of	of
older	older	older
and	and	and
poorer	poorer	poorer
Americans	american	Americans
.	.	.
Nobody	nobodi	Nobody
knew	knew	knew
health	health	health
care	care	care
would	would	would
be	be	be
so	so	so
complicated	complic	complicated
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Bill	bill	Bill
Clark	clark	Clark
-Pool	-pool	-Pool
Getty	getti	Getty
Images	imag	Images
