Politicians	politician	Politicians
credit	credit	credit
where	where	where
credit	credit	credit
is	is	is
due	due	due
Now	now	Now
,	,	,
as	as	a
far	far	far
as	as	a
Cruz	cruz	Cruz
being	be	being
the	the	the
man	man	man
for	for	for
the	the	the
job	job	job
of	of	of
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
?	?	?

Yeah	yeah	Yeah
,	,	,
not	not	not
so	so	so
much	much	much
.	.	.

He	he	He
s	s	s
a	a	a
smarmy	smarmi	smarmy
man	man	man
who	who	who
will	will	will
say	say	say
or	or	or
do	do	do
anything	anyth	anything
to	to	to
get	get	get
his	his	his
way	way	way
.	.	.

This	this	This
includes	includ	includes
,	,	,
but	but	but
is	is	is
not	not	not
limited	limit	limited
to	to	to
,	,	,
likely	like	likely
not	not	not
even	even	even
being	be	being
as	as	a
religious	religi	religious
as	as	a
he	he	he
says	say	say
he	he	he
is	is	is
,	,	,
or	or	or
as	as	a
constitutional	constitut	constitutional
as	as	a
he	he	he
claims	claim	claim
to	to	to
be	be	be
.	.	.
Cruz	cruz	Cruz
tends	tend	tends
to	to	to
do	do	do
things	thing	thing
for	for	for
show	show	show
,	,	,
and	and	and
no	no	no
greater	greater	greater
example	exampl	example
of	of	of
this	this	this
can	can	can
be	be	be
seen	seen	seen
than	than	than
in	in	in
this	this	this
very	veri	very
commercial	commerci	commercial
where	where	where
he	he	he
puts	put	put
on	on	on
blackface	blackfac	blackface
,	,	,
pardon	pardon	pardon
me	me	me
,	,	,
hunting	hunt	hunting
camo	camo	camo
paint	paint	paint
that	that	that
looks	look	look
remarkably	remark	remarkably
like	like	like
blackface	blackfac	blackface
and	and	and
someone	someon	someone
should	should	should
have	have	have
told	told	told
him	him	him
that	that	that
,	,	,
and	and	and
sits	sit	sits
down	down	down
to	to	to
hold	hold	hold
his	his	his
gun	gun	gun
and	and	and
hunt	hunt	hunt
with	with	with
Robertson	robertson	Robertson
.	.	.
Cruz	cruz	Cruz
is	is	is
all	all	all
like	like	like
,	,	,
Look	look	Look
at	at	at
me	me	me
!	!	!

I	i	I
m	m	m
just	just	just
like	like	like
you	you	you
!	!	!

I	i	I
like	like	like
to	to	to
hunt	hunt	hunt
and	and	and
play	play	play
make	make	make
-believe	-believ	-believe
Rambo	rambo	Rambo
,	,	,
too	too	too
!	!	!

Ignore	ignor	Ignore
the	the	the
fact	fact	fact
that	that	that
I	i	I
m	m	m
insanely	insan	insanely
wealthy	wealthi	wealthy
and	and	and
married	marri	married
to	to	to
Goldman	goldman	Goldman
Sachs	sach	Sachs
!	!	!

Vote	vote	Vote
for	for	for
me	me	me
!	!	!

He	he	He
knows	know	know
exactly	exact	exactly
what	what	what
he	he	he
is	is	is
doing	do	doing
.	.	.

He	he	He
s	s	s
a	a	a
smart	smart	smart
guy	guy	guy
,	,	,
gotta	gotta	gotta
give	give	give
him	him	him
that	that	that
much	much	much
,	,	,
which	which	which
also	also	also
makes	make	make
him	him	him
irrefutably	irrefut	irrefutably
dangerous	danger	dangerous
.	.	.

He	he	He
knows	know	know
how	how	how
to	to	to
play	play	play
the	the	the
game	game	game
,	,	,
get	get	get
what	what	what
he	he	he
wants	want	want
,	,	,
and	and	and
he	he	he
doesn	doesn	doesn
t	t	t
seem	seem	seem
to	to	to
care	care	care
who	who	who
might	might	might
get	get	get
hurt	hurt	hurt
along	along	along
the	the	the
way	way	way
.	.	.
However	howev	However
,	,	,
this	this	this
ad	ad	ad
right	right	right
here	here	here
,	,	,
as	as	a
funny	funni	funny
as	as	a
it	it	it
may	may	may
be	be	be
,	,	,
because	becaus	because
it	it	it
s	s	s
pretty	pretti	pretty
goddamn	goddamn	goddamn
funny	funni	funny
,	,	,
also	also	also
show	show	show
to	to	to
the	the	the
depths	depth	depth
he	he	he
ll	ll	ll
go	go	go
to	to	to
cater	cater	cater
to	to	to
a	a	a
specific	specif	specific
voter	voter	voter
population	popul	population
.	.	.

In	in	In
this	this	this
case	case	case
,	,	,
idiot	idiot	idiot
America	america	America
.	.	.

Video	video	Video
Featured	featur	Featured
image	imag	image
YouTube	youtub	YouTube

