We	we	We
Journal	journal	Journal
Sentinel	sentinel	Sentinel
.	.	.
She	she	She
told	told	told
authorities	author	authority
Alvarado	alvarado	Alvarado
raped	rape	raped
her	her	her
on	on	on
average	averag	average
three	three	three
times	time	time
a	a	a
week	week	week
from	from	from
when	when	when
she	she	she
was	was	wa
14	14	14
until	until	until
she	she	she
was	was	wa
18	18	18
years	year	year
old	old	old
.	.	.

The	the	The
alleged	alleg	alleged
abuse	abus	abuse
continued	continu	continued
even	even	even
after	after	after
she	she	she
gave	gave	gave
birth	birth	birth
to	to	to
his	his	his
child	child	child
.	.	.
The	the	The
woman	woman	woman
told	told	told
police	polic	police
that	that	that
Alvarado	alvarado	Alvarado
allegedly	alleg	allegedly
assaulted	assault	assaulted
her	her	her
when	when	when
her	her	her
mother	mother	mother
,	,	,
Linda	linda	Linda
Alvarado	alvarado	Alvarado
,	,	,
was	was	wa
at	at	at
work	work	work
or	or	or
sleeping	sleep	sleeping
late	late	late
at	at	at
night	night	night
.	.	.
She	she	She
claims	claim	claim
her	her	her
mother	mother	mother
once	onc	once
walked	walk	walked
into	into	into
the	the	the
bedroom	bedroom	bedroom
while	while	while
Alvarado	alvarado	Alvarado
was	was	wa
raping	rape	raping
her	her	her
,	,	,
but	but	but
she	she	she
left	left	left
the	the	the
bedroom	bedroom	bedroom
without	without	without
trying	tri	trying
to	to	to
stop	stop	stop
him	him	him
.	.	.
The	the	The
woman	woman	woman
told	told	told
authorities	author	authority
she	she	she
kept	kept	kept
the	the	the
identity	ident	identity
of	of	of
her	her	her
baby	babi	baby
s	s	s
father	father	father
a	a	a
secret	secret	secret
from	from	from
everyone	everyon	everyone
except	except	except
her	her	her
mother	mother	mother
,	,	,
who	who	who
she	she	she
told	told	told
shortly	short	shortly
after	after	after
the	the	the
child	child	child
was	was	wa
born	born	born
.	.	.
The	the	The
Milwaukee	milwauke	Milwaukee
County	counti	County
Circuit	circuit	Circuit
Court	court	Court
established	establish	established
Alvarado	alvarado	Alvarado
as	as	a
the	the	the
child	child	child
s	s	s
legal	legal	legal
father	father	father
in	in	in
2015	2015	2015
.	.	.
The	the	The
criminal	crimin	criminal
complaint	complaint	complaint
states	state	state
that	that	that
Alvarado	alvarado	Alvarado
believed	believ	believed
a	a	a
positive	posit	positive
paternity	patern	paternity
test	test	test
would	would	would
grant	grant	grant
him	him	him
permission	permiss	permission
to	to	to
remain	remain	remain
in	in	in
the	the	the
country	countri	country
.	.	.
The	the	The
girl	girl	girl
s	s	s
mother	mother	mother
,	,	,
Linda	linda	Linda
Alvarado	alvarado	Alvarado
,	,	,
has	has	ha
also	also	also
been	been	been
charged	charg	charged
with	with	with
misdemeanor	misdemeanor	misdemeanor
child	child	child
neglect	neglect	neglect
.	.	.

She	she	She
was	was	wa
released	releas	released
on	on	on
a	a	a
500	500	500
bond	bond	bond
.	.	.

