Will	will	Will
social	social	social
media	media	medium
.	.	.

But	but	But
Corinne	corinn	Corinne
Geller	geller	Geller
,	,	,
a	a	a
spokesperson	spokesperson	spokesperson
for	for	for
the	the	the
Virginia	virginia	Virginia
State	state	State
Police	polic	Police
,	,	,
says	say	say
that	that	that
no	no	no
such	such	such
stashes	stash	stash
were	were	were
found	found	found
.	.	.

The	the	The
governor	governor	governor
was	was	wa
referring	refer	referring
to	to	to
the	the	the
briefing	brief	briefing
provided	provid	provided
him	him	him
in	in	in
advance	advanc	advance
of	of	of
Saturday	saturday	Saturday
s	s	s
rally	ralli	rally
and	and	and
the	the	the
extra	extra	extra
security	secur	security
measures	measur	measure
being	be	being
taken	taken	taken
by	by	by
local	local	local
and	and	and
state	state	state
police	polic	police
,	,	,
Geller	geller	Geller
tells	tell	tell
Reason	reason	Reason
.	.	.

As	as	As
a	a	a
safety	safeti	safety
precaution	precaut	precaution
in	in	in
advance	advanc	advance
of	of	of
August	august	August
12	12	12
,	,	,
such	such	such
searches	search	search
were	were	were
conducted	conduct	conducted
in	in	in
and	and	and
around	around	around
Emancipation	emancip	Emancipation
and	and	and
McIntire	mcintir	McIntire
Parks	park	Parks
.	.	.

No	no	No
weapons	weapon	weapon
were	were	were
located	locat	located
as	as	a
a	a	a
result	result	result
of	of	of
those	those	those
searches	search	search
.	.	.

The	the	The
Virginia	virginia	Virginia
State	state	State
Police	polic	Police
also	also	also
disputed	disput	disputed
McAuliffe	mcauliff	McAuliffe
s	s	s
claims	claim	claim
that	that	that
Virginia	virginia	Virginia
State	state	State
Police	polic	Police
were	were	were
underequipped	underequip	underequipped
to	to	to
deal	deal	deal
with	with	with
the	the	the
heavily	heavili	heavily
armed	arm	armed
militia	militia	militia
members	member	member
at	at	at
Saturday	saturday	Saturday
s	s	s
rally	ralli	rally
.	.	.

The	the	The
governor	governor	governor
was	was	wa
referencing	referenc	referencing
the	the	the
weapons	weapon	weapon
and	and	and
tactical	tactic	tactical
gear	gear	gear
the	the	the
members	member	member
of	of	of
various	various	various
groups	group	group
attending	attend	attending
the	the	the
rally	ralli	rally
had	had	had
on	on	on
their	their	their
persons	person	person
,	,	,
Geller	geller	Geller
says	say	say
.	.	.

I	i	I
can	can	can
assure	assur	assure
you	you	you
that	that	that
the	the	the
Virginia	virginia	Virginia
State	state	State
Police	polic	Police
personnel	personnel	personnel
were	were	were
equipped	equip	equipped
with	with	with
more	more	more
-than-adequate	-than-adequ	-than-adequate
specialized	special	specialized
tactical	tactic	tactical
and	and	and
protective	protect	protective
gear	gear	gear
for	for	for
the	the	the
purpose	purpos	purpose
of	of	of
fulfilling	fulfil	fulfilling
their	their	their
duties	duti	duty
to	to	to
serve	serv	serve
and	and	and
protect	protect	protect
those	those	those
in	in	in
attendance	attend	attendance
of	of	of
the	the	the
August	august	August
12	12	12
event	event	event
in	in	in
Charlottesville	charlottesvill	Charlottesville
.	.	.

McAuliffe	mcauliff	McAuliffe
claimed	claim	claimed
in	in	in
an	an	an
interview	interview	interview
with	with	with
The	the	The
New	new	New
York	york	York
Times	time	Times
that	that	that
law	law	law
enforcement	enforc	enforcement
arrived	arriv	arrived
to	to	to
find	find	find
a	a	a
line	line	line
of	of	of
militia	militia	militia
members	member	member
who	who	who
had	had	had
better	better	better
equipment	equip	equipment
than	than	than
our	our	our
State	state	State
Police	polic	Police
had	had	had
.	.	.

In	in	In
longer	longer	longer
comments	comment	comment
that	that	that
were	were	were
later	later	later
edited	edit	edited
out	out	out
of	of	of
the	the	the
Times	time	Times
story	stori	story
,	,	,
McAuliffe	mcauliff	McAuliffe
said	said	said
that	that	that
up	up	up
to	to	to
80	80	80
percent	percent	percent
of	of	of
the	the	the
rally	ralli	rally
attendees	attende	attendee
were	were	were
carrying	carri	carrying
semi	semi	semi
-automatic	-automat	-automatic
weapons	weapon	weapon
.	.	.

You	you	You
saw	saw	saw
the	the	the
militia	militia	militia
walking	walk	walking
down	down	down
the	the	the
street	street	street
,	,	,
you	you	you
would	would	would
have	have	have
thought	thought	thought
they	they	they
were	were	were
an	an	an
army	armi	army
,	,	,
he	he	he
said	said	said
.	.	.

Reason	reason	Reason

