There	there	There
unarmed	unarm	unarmed
robbery	robberi	robbery
,	,	,
assault	assault	assault
and	and	and
battery	batteri	battery
with	with	with
a	a	a
dangerous	danger	dangerous
weapon	weapon	weapon
,	,	,
indecent	indec	indecent
assault	assault	assault
and	and	and
battery	batteri	battery
,	,	,
kidnapping	kidnap	kidnapping
and	and	and
witness	wit	witness
intimidation	intimid	intimidation
.	.	.
He	he	He
was	was	wa
deported	deport	deported
to	to	to
Guatemala	guatemala	Guatemala
in	in	in
May	may	May
2014	2014	2014
after	after	after
convictions	convict	conviction
for	for	for
drunken	drunken	drunken
driving	drive	driving
and	and	and
disorderly	disord	disorderly
conduct	conduct	conduct
,	,	,
said	said	said
Neudauer	neudauer	Neudauer
.	.	.
Another	anoth	Another
brother	brother	brother
,	,	,
Adan	adan	Adan
Diaz	diaz	Diaz
,	,	,
32	32	32
,	,	,
and	and	and
Marlon	marlon	Marlon
Josue	josu	Josue
Jarquin	jarquin	Jarquin
-Felipe	-felip	-Felipe
,	,	,
27	27	27
,	,	,
are	are	are
both	both	both
charged	charg	charged
with	with	with
indecent	indec	indecent
assault	assault	assault
and	and	and
battery	batteri	battery
and	and	and
kidnapping	kidnap	kidnapping
.	.	.
All	all	All
four	four	four
suspects	suspect	suspect
are	are	are
from	from	from
Guatemala	guatemala	Guatemala
.	.	.
Jarquin	jarquin	Jarquin
-Felipe	-felip	-Felipe
was	was	wa
deported	deport	deported
back	back	back
to	to	to
his	his	his
homeland	homeland	homeland
in	in	in
April	april	April
2014	2014	2014
,	,	,
according	accord	according
to	to	to
Neudauer	neudauer	Neudauer
.	.	.
Neudauer	neudauer	Neudauer
told	told	told
the	the	the
Herald	herald	Herald
yesterday	yesterday	yesterday
the	the	the
agency	agenc	agency
is	is	is
closely	close	closely
monitoring	monitor	monitoring
the	the	the
cases	case	case
and	and	and
has	has	ha
placed	place	placed
detainers	detain	detainers
on	on	on
all	all	all
four	four	four
illegal	illeg	illegal
immigrants	immigr	immigrant
.	.	.
He	he	He
added	ad	added
that	that	that
Ariel	ariel	Ariel
Diaz	diaz	Diaz
was	was	wa
also	also	also
arrested	arrest	arrested
this	this	this
winter	winter	winter
on	on	on
a	a	a
drunken	drunken	drunken
driving	drive	driving
charge	charg	charge
.	.	.
ICE	ice	ICE
was	was	wa
not	not	not
notified	notifi	notified
of	of	of
that	that	that
case	case	case
,	,	,
he	he	he
added	ad	added
.	.	.
In	in	In
the	the	the
Framingham	framingham	Framingham
case	case	case
,	,	,
the	the	the
victim	victim	victim
s	s	s
boyfriend	boyfriend	boyfriend
was	was	wa
beaten	beaten	beaten
while	while	while
his	his	his
girlfriend	girlfriend	girlfriend
was	was	wa
held	held	held
down	down	down
on	on	on
a	a	a
bed	bed	bed
and	and	and
raped	rape	raped
Sunday	sunday	Sunday
evening	even	evening
,	,	,
authorities	author	authority
say	say	say
.	.	.
The	the	The
still	still	still
-shaken	-shaken	-shaken
boyfriend	boyfriend	boyfriend
told	told	told
the	the	the
Herald	herald	Herald
yesterday	yesterday	yesterday
that	that	that
he	he	he
and	and	and
his	his	his
girlfriend	girlfriend	girlfriend
have	have	have
not	not	not
yet	yet	yet
come	come	come
to	to	to
terms	term	term
with	with	with
the	the	the
horrific	horrif	horrific
assault	assault	assault
.	.	.
Via	via	Via
GP	gp	GP
