Ben	ben	Ben
Justice	justic	Justice
Anthony	anthoni	Anthony
Kennedy	kennedi	Kennedy
defied	defi	defied
the	the	the
Constitution	constitut	Constitution
of	of	of
the	the	the
United	unit	United
States	state	States
to	to	to
unilaterally	unilater	unilaterally
impose	impos	impose
his	his	his
political	polit	political
will	will	will
on	on	on
the	the	the
people	peopl	people
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
and	and	and
he	he	he
does	doe	doe
not	not	not
sit	sit	sit
in	in	in
jail	jail	jail
;	;	;
instead	instead	instead
,	,	,
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
shined	shine	shined
rainbow	rainbow	rainbow
lights	light	light
on	on	on
the	the	the
White	white	White
House	hous	House
to	to	to
signify	signifi	signify
his	his	his
celebration	celebr	celebration
of	of	of
such	such	such
a	a	a
Constitutional	constitut	Constitutional
perversion	pervers	perversion
.	.	.

But	but	But
Kim	kim	Kim
Davis	davi	Davis
,	,	,
who	who	who
refused	refus	refused
to	to	to
abide	abid	abide
by	by	by
that	that	that
Constitutional	constitut	Constitutional
perversion	pervers	perversion
,	,	,
sits	sit	sits
in	in	in
jail	jail	jail
for	for	for
defying	defi	defying
Anthony	anthoni	Anthony
Kennedy	kennedi	Kennedy
and	and	and
Barack	barack	Barack
Obama	obama	Obama
.	.	.
Kim	kim	Kim
Davis	davi	Davis
sits	sit	sits
in	in	in
jail	jail	jail
,	,	,
but	but	but
not	not	not
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
who	who	who
has	has	ha
illegally	illeg	illegally
suspended	suspend	suspended
deportations	deport	deportation
and	and	and
sanctions	sanction	sanction
against	against	against
Iran	iran	Iran
;	;	;
a	a	a
former	former	former
IRS	ir	IRS
executive	execut	executive
who	who	who
deliberately	deliber	deliberately
targeted	target	targeted
conservative	conserv	conservative
nonprofit	nonprofit	nonprofit
groups	group	group
;	;	;
mayors	mayor	mayor
of	of	of
major	major	major
cities	citi	city
around	around	around
the	the	the
United	unit	United
States	state	States
who	who	who
actively	activ	actively
defy	defi	defy
federal	feder	federal
immigration	immigr	immigration
law	law	law
;	;	;
a	a	a
former	former	former
attorney	attorney	attorney
general	general	general
of	of	of
the	the	the
United	unit	United
States	state	States
held	held	held
in	in	in
contempt	contempt	contempt
by	by	by
Congress	congress	Congress
;	;	;
Washington	washington	Washington
D	d	D
.	.	.
C	c	C
.	.	.
clerks	clerk	clerk
who	who	who
buck	buck	buck
court	court	court
orders	order	order
to	to	to
hand	hand	hand
out	out	out
concealed	conceal	concealed
carry	carri	carry
permits	permit	permit
;	;	;
and	and	and
the	the	the
current	current	current
leading	lead	leading
Democratic	democrat	Democratic
Senate	senat	Senate
candidate	candid	candidate
in	in	in
California	california	California
,	,	,
who	who	who
as	as	a
attorney	attorney	attorney
general	general	general
refused	refus	refused
outright	outright	outright
to	to	to
defend	defend	defend
a	a	a
popularly	popular	popularly
-passed	-pass	-passed
proposition	proposit	proposition
in	in	in
favor	favor	favor
of	of	of
traditional	tradit	traditional
marriage	marriag	marriage
,	,	,
among	among	among
others	other	others
.	.	.
If	if	If
absence	absenc	absence
of	of	of
law	law	law
is	is	is
anarchy	anarchi	anarchy
,	,	,
selective	select	selective
enforcement	enforc	enforcement
is	is	is
tyranny	tyranni	tyranny
.	.	.

As	as	As
John	john	John
Adams	adam	Adams
wrote	wrote	wrote
,	,	,
civilization	civil	civilization
requires	requir	requires
a	a	a
government	govern	government
of	of	of
laws	law	law
,	,	,
and	and	and
not	not	not
of	of	of
men	men	men
.	.	.

Selective	select	Selective
enforcement	enforc	enforcement
of	of	of
the	the	the
law	law	law
and	and	and
in	in	in
this	this	this
case	case	case
,	,	,
selective	select	selective
enforcement	enforc	enforcement
of	of	of
the	the	the
law	law	law
against	against	against
those	those	those
who	who	who
stand	stand	stand
with	with	with
natural	natur	natural
law	law	law
perverts	pervert	pervert
law	law	law
into	into	into
a	a	a
club	club	club
to	to	to
be	be	be
wielded	wield	wielded
by	by	by
the	the	the
powerful	power	powerful
against	against	against
the	the	the
powerless	powerless	powerless
.	.	.
Did	did	Did
Davis	davi	Davis
Act	act	Act
Immorally	immor	Immorally
?	?	?

Of	of	Of
course	cours	course
not	not	not
.	.	.

Davis	davi	Davis
goal	goal	goal
is	is	is
to	to	to
stand	stand	stand
up	up	up
against	against	against
the	the	the
injustice	injustic	injustice
of	of	of
the	the	the
law	law	law
itself	itself	itself
.	.	.

The	the	The
fact	fact	fact
that	that	that
the	the	the
government	govern	government
has	has	ha
transformed	transform	transformed
rule	rule	rule
of	of	of
law	law	law
into	into	into
rule	rule	rule
of	of	of
leftist	leftist	leftist
Democrats	democrat	Democrats
means	mean	mean
that	that	that
Davis	davi	Davis
decision	decis	decision
to	to	to
go	go	go
to	to	to
jail	jail	jail
rather	rather	rather
than	than	than
quitting	quit	quitting
is	is	is
actually	actual	actually
heroic	heroic	heroic
.	.	.

She	she	She
didn	didn	didn
t	t	t
need	need	need
to	to	to
object	object	object
to	to	to
handing	hand	handing
out	out	out
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
certificates	certif	certificate
on	on	on
religious	religi	religious
grounds	ground	ground
;	;	;
she	she	she
could	could	could
have	have	have
done	done	done
so	so	so
on	on	on
purely	pure	purely
Constitutional	constitut	Constitutional
,	,	,
rule	rule	rule
of	of	of
law	law	law
grounds	ground	ground
.	.	.

Lawless	lawless	Lawless
orders	order	order
should	should	should
not	not	not
be	be	be
followed	follow	followed
,	,	,
and	and	and
the	the	the
Supreme	suprem	Supreme
Court	court	Court
s	s	s
decision	decis	decision
in	in	in
Obergefell	obergefel	Obergefell
is	is	is
lawless	lawless	lawless
in	in	in
the	the	the
extreme	extrem	extreme
.	.	.

The	the	The
Nuremberg	nuremberg	Nuremberg
Defense	defens	Defense
the	the	the
idea	idea	idea
that	that	that
superior	superior	superior
orders	order	order
must	must	must
be	be	be
followed	follow	followed
was	was	wa
rejected	reject	rejected
in	in	in
the	the	the
Nuremberg	nuremberg	Nuremberg
Principles	principl	Principles
The	the	The
fact	fact	fact
that	that	that
a	a	a
person	person	person
acted	act	acted
pursuant	pursuant	pursuant
to	to	to
order	order	order
of	of	of
his	his	his
Government	govern	Government
or	or	or
of	of	of
a	a	a
superior	superior	superior
does	doe	doe
not	not	not
relieve	reliev	relieve
him	him	him
from	from	from
responsibility	respons	responsibility
under	under	under
international	intern	international
law	law	law
,	,	,
provided	provid	provided
a	a	a
moral	moral	moral
choice	choic	choice
was	was	wa
in	in	in
fact	fact	fact
possible	possibl	possible
to	to	to
him	him	him
.	.	.
Read	read	Read
more	more	more
Breitbart	breitbart	Breitbart

