One	one	One
to	to	to
put	put	put
up	up	up
with	with	with
it	it	it
.	.	.
You	you	You
can	can	can
watch	watch	watch
Haley	haley	Haley
pretty	pretti	pretty
much	much	much
agree	agre	agree
that	that	that
Trump	trump	Trump
is	is	is
a	a	a
liar	liar	liar
in	in	in
the	the	the
video	video	video
below	below	below
Everybody	everybodi	Everybody
knows	know	know
that	that	that
Russia	russia	Russia
meddled	meddl	meddled
in	in	in
our	our	our
elections	elect	election
,	,	,
@nikkihaley	@nikkihaley	@nikkihaley
tells	tell	tell
@DanaBashCNN	@danabashcnn	@DanaBashCNN
#CNNSOTU	#cnnsotu	#CNNSOTU
https://t.co/bwQw7Zx3uH	https://t.co/bwqw7zx3uh	https://t.co/bwQw7Zx3uH
CNN	cnn	CNN
@CNN	@cnn	@CNN
July	juli	July
8	8	8
,	,	,
2017Haley	2017haley	2017Haley
must	must	must
not	not	not
be	be	be
keeping	keep	keeping
tabs	tab	tab
on	on	on
what	what	what
her	her	her
boss	boss	bos
is	is	is
actually	actual	actually
saying	say	saying
,	,	,
because	becaus	because
just	just	just
two	two	two
days	day	day
ago	ago	ago
Trump	trump	Trump
refused	refus	refused
to	to	to
say	say	say
Russia	russia	Russia
was	was	wa
involved	involv	involved
in	in	in
the	the	the
election	elect	election
.	.	.
The	the	The
dishonest	dishonest	dishonest
POTUS	potus	POTUS
said	said	said
I	i	I
think	think	think
it	it	it
could	could	could
very	veri	very
well	well	well
have	have	have
been	been	been
Russia	russia	Russia
,	,	,
but	but	but
I	i	I
think	think	think
it	it	it
could	could	could
well	well	well
have	have	have
been	been	been
other	other	other
countries	countri	country
.	.	.
I	i	I
won	won	won
t	t	t
be	be	be
specific	specif	specific
.	.	.
I	i	I
think	think	think
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
interfere	interfer	interfere
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
been	been	been
happening	happen	happening
for	for	for
a	a	a
long	long	long
time	time	time
.	.	.
When	when	When
Trump	trump	Trump
finds	find	find
out	out	out
that	that	that
Haley	haley	Haley
contradicted	contradict	contradicted
him	him	him
,	,	,
sh	sh	sh
t	t	t
is	is	is
going	go	going
to	to	to
hit	hit	hit
the	the	the
fan	fan	fan
.	.	.
Not	not	Not
only	onli	only
did	did	did
Haley	haley	Haley
blast	blast	blast
Trump	trump	Trump
,	,	,
but	but	but
she	she	she
did	did	did
it	it	it
on	on	on
his	his	his
least	least	least
favorite	favorit	favorite
network	network	network
,	,	,
CNN	cnn	CNN
.	.	.
We	we	We
won	won	won
t	t	t
be	be	be
surprised	surpris	surprised
if	if	if
a	a	a
Twitter	twitter	Twitter
meltdown	meltdown	meltdown
is	is	is
soon	soon	soon
to	to	to
follow	follow	follow
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Sean	sean	Sean
Gallup	gallup	Gallup
Getty	getti	Getty
Images	imag	Images
