Conservatives	conserv	Conservatives
I	i	I
have	have	have
some	some	some
kind	kind	kind
of	of	of
righteous	righteous	righteous
voice	voic	voice
.	.	.
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Alejandro	2017alejandro	2017Alejandro
Villaneuva	villaneuva	Villaneuva
I	i	I
will	will	will
support	support	support
all	all	all
my	my	my
teammates	teammat	teammate
,	,	,
and	and	and
all	all	all
my	my	my
teammates	teammat	teammate
and	and	and
all	all	all
my	my	my
coaches	coach	coach
have	have	have
always	alway	always
supported	support	supported
me	me	me
.	.	.
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017And	2017and	2017And
then	then	then
there	there	there
s	s	s
this	this	this
Villenueva	villenueva	Villenueva
says	say	say
he	he	he
absolutely	absolut	absolutely
would	would	would
be	be	be
OK	ok	OK
if	if	if
teammates	teammat	teammate
kneeled	kneel	kneeled
or	or	or
sat	sat	sat
during	dure	during
the	the	the
anthem	anthem	anthem
.	.	.
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Al	2017al	2017Al
Villanueva	villanueva	Villanueva
says	say	say
some	some	some
players	player	player
who	who	who
have	have	have
been	been	been
kneeling	kneel	kneeling
during	dure	during
anthems	anthem	anthem
have	have	have
approached	approach	approached
him	him	him
after	after	after
before	befor	before
games	game	game
and	and	and
thanked	thank	thanked
him	him	him
for	for	for
his	his	his
service	servic	service
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Al	2017al	2017Al
Villenueva	villenueva	Villenueva
Every	everi	Every
single	singl	single
one	one	one
of	of	of
my	my	my
teammates	teammat	teammate
is	is	is
extremely	extrem	extremely
supportive	support	supportive
and	and	and
extremely	extrem	extremely
patriotic	patriot	patriotic
.	.	.
I	i	I
can	can	can
honestly	honest	honestly
said	said	said
that	that	that
.	.	.
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Al	2017al	2017Al
Villaneuva	villaneuva	Villaneuva
The	the	The
team	team	team
meeting	meet	meeting
that	that	that
we	we	we
had	had	had
on	on	on
Saturday	saturday	Saturday
night	night	night
brought	brought	brought
the	the	the
whole	whole	whole
team	team	team
together	togeth	together
.	.	.
Absolutely	absolut	Absolutely
,	,	,
We	we	We
had	had	had
great	great	great
conversations	convers	conversation
.	.	.
Chris	chris	Chris
Adamski	adamski	Adamski
@C_AdamskiTrib	@c_adamskitrib	@C_AdamskiTrib
September	septemb	September
25	25	25
,	,	,
2017Trump	2017trump	2017Trump
fans	fan	fan
really	realli	really
don	don	don
t	t	t
understand	understand	understand
why	whi	why
people	peopl	people
are	are	are
so	so	so
angry	angri	angry
at	at	at
them	them	them
for	for	for
whining	whine	whining
about	about	about
professional	profession	professional
athletes	athlet	athlete
not	not	not
standing	stand	standing
for	for	for
the	the	the
national	nation	national
anthem	anthem	anthem
.	.	.
The	the	The
jingoism	jingoism	jingoism
is	is	is
dangerously	danger	dangerously
strong	strong	strong
among	among	among
them	them	them
,	,	,
along	along	along
with	with	with
the	the	the
cluelessness	clueless	cluelessness
and	and	and
blind	blind	blind
followership	followership	followership
.	.	.
In	in	In
fact	fact	fact
,	,	,
many	mani	many
of	of	of
them	them	them
are	are	are
on	on	on
the	the	the
above	abov	above
thread	thread	thread
and	and	and
totally	total	totally
,	,	,
utterly	utter	utterly
and	and	and
completely	complet	completely
misunderstanding	misunderstand	misunderstanding
it	it	it
.	.	.
They	they	They
aren	aren	aren
t	t	t
the	the	the
patriots	patriot	patriot
they	they	they
believe	believ	believe
themselves	themselv	themselves
to	to	to
be	be	be
.	.	.
Not	not	Not
even	even	even
close	close	close
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Joe	joe	Joe
Robbins	robbin	Robbins
Getty	getti	Getty
Images	imag	Images
