Senator	senat	Senator
Khan	khan	Khan
family	famili	family
against	against	against
Trump	trump	Trump
s	s	s
childish	childish	childish
,	,	,
classless	classless	classless
tirades	tirad	tirade
.	.	.
They	they	They
re	re	re
right	right	right
,	,	,
but	but	but
,	,	,
predictably	predict	predictably
,	,	,
her	her	her
campaign	campaign	campaign
said	said	said
that	that	that
s	s	s
not	not	not
true	true	true
.	.	.
She	she	She
s	s	s
merely	mere	merely
focusing	focus	focusing
her	her	her
attention	attent	attention
on	on	on
keeping	keep	keeping
her	her	her
seat	seat	seat
,	,	,
and	and	and
Trump	trump	Trump
is	is	is
irrelevant	irrelev	irrelevant
to	to	to
her	her	her
race	race	race
.	.	.
Then	then	Then
they	they	they
dropped	drop	dropped
this	this	this
gem	gem	gem
,	,	,
which	which	which
isn	isn	isn
t	t	t
going	go	going
to	to	to
help	help	help
her	her	her
in	in	in
the	the	the
slightest	slightest	slightest
It	it	It
s	s	s
just	just	just
not	not	not
good	good	good
manners	manner	manner
to	to	to
attack	attack	attack
the	the	the
nominee	nomine	nominee
of	of	of
your	your	your
party	parti	party
.	.	.
Oh	oh	Oh
please	pleas	please
.	.	.
When	when	When
the	the	the
nominee	nomine	nominee
of	of	of
your	your	your
party	parti	party
is	is	is
as	as	a
dark	dark	dark
and	and	and
dangerous	danger	dangerous
as	as	a
one	one	one
Donald	donald	Donald
Trump	trump	Trump
,	,	,
attacking	attack	attacking
him	him	him
may	may	may
well	well	well
be	be	be
the	the	the
only	onli	only
way	way	way
some	some	some
of	of	of
these	these	these
Republicans	republican	Republicans
keep	keep	keep
their	their	their
seats	seat	seat
.	.	.
Ayotte	ayott	Ayotte
is	is	is
one	one	one
of	of	of
three	three	three
Republicans	republican	Republicans
that	that	that
Trump	trump	Trump
has	has	ha
refused	refus	refused
to	to	to
endorse	endors	endorse
,	,	,
and	and	and
he	he	he
bashed	bash	bashed
her	her	her
over	over	over
the	the	the
weekend	weekend	weekend
while	while	while
inexplicably	inexplic	inexplicably
and	and	and
laughably	laughabl	laughably
saying	say	saying
,	,	,
I	i	I
m	m	m
leading	lead	leading
her	her	her
in	in	in
the	the	the
polls	poll	poll
.	.	.
I	i	I
m	m	m
doing	do	doing
very	veri	very
well	well	well
in	in	in
New	new	New
Hampshire	hampshir	Hampshire
.	.	.
Just	just	Just
,	,	,
what	what	what
?	?	?
It	it	It
s	s	s
amazing	amaz	amazing
she	she	she
doesn	doesn	doesn
t	t	t
know	know	know
how	how	how
stupid	stupid	stupid
her	her	her
support	support	support
for	for	for
Trump	trump	Trump
makes	make	make
her	her	her
look	look	look
.	.	.
If	if	If
Trump	trump	Trump
can	can	can
t	t	t
get	get	get
himself	himself	himself
under	under	under
control	control	control
,	,	,
then	then	then
there	there	there
are	are	are
several	sever	several
Republicans	republican	Republicans
that	that	that
are	are	are
done	done	done
.	.	.
Alas	ala	Alas
,	,	,
it	it	it
s	s	s
impossible	imposs	impossible
to	to	to
call	call	call
that	that	that
a	a	a
heartbreaking	heartbreak	heartbreaking
conclusion	conclus	conclusion
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Mark	mark	Mark
Wilson	wilson	Wilson
Getty	getti	Getty
Images	imag	Images
