There	there	There
Justice	justic	Justice
Department	depart	Department
charging	charg	charging
guidelines	guidelin	guideline
.	.	.

Meanwhile	meanwhil	Meanwhile
,	,	,
the	the	the
administration	administr	administration
stonewalled	stonewal	stonewalled
Congress	congress	Congress
,	,	,
reportedly	report	reportedly
threatening	threaten	threatening
an	an	an
informant	inform	informant
who	who	who
wanted	want	wanted
to	to	to
go	go	go
public	public	public
.	.	.
Read	read	Read
more	more	more
here	here	here
Andy	andi	Andy
McCarthyOnce	mccarthyonc	McCarthyOnce
you	you	you
read	read	read
the	the	the
entire	entir	entire
summary	summari	summary
you	you	you
ll	ll	ll
know	know	know
just	just	just
how	how	how
bad	bad	bad
this	this	this
entire	entir	entire
scandal	scandal	scandal
is	is	is
and	and	and
how	how	how
the	the	the
Obama	obama	Obama
administration	administr	administration
covered	cover	covered
it	it	it
all	all	all
up	up	up
.	.	.

