These	these	These
-year-old	-year-old	-year-old
Oswaldo	oswaldo	Oswaldo
Meneses	menes	Meneses
-Arango	-arango	-Arango
,	,	,
is	is	is
a	a	a
legal	legal	legal
resident	resid	resident
from	from	from
Colombia	colombia	Colombia
.	.	.
However	howev	However
,	,	,
the	the	the
other	other	other
three	three	three
Rosalio	rosalio	Rosalio
Valencia	valencia	Valencia
-Hernandez	-hernandez	-Hernandez
,	,	,
49	49	49
;	;	;
Rene	rene	Rene
Contreras	contrera	Contreras
-Ixtla	-ixtla	-Ixtla
,	,	,
39	39	39
;	;	;
and	and	and
Evaristo	evaristo	Evaristo
Chavez	chavez	Chavez
,	,	,
34	34	34
are	are	are
illegal	illeg	illegal
immigrants	immigr	immigrant
from	from	from
Mexico	mexico	Mexico
.	.	.
Police	polic	Police
have	have	have
charged	charg	charged
five	five	five
men	men	men
for	for	for
squatting	squat	squatting
in	in	in
a	a	a
soldier	soldier	soldier
s	s	s
New	new	New
Jersey	jersey	Jersey
home	home	home
.	.	.
They	they	They
found	found	found
them	them	them
on	on	on
Sunday	sunday	Sunday
after	after	after
arresting	arrest	arresting
Carlos	carlo	Carlos
Rosales	rosal	Rosales
-Campos	-campo	-Campos
,	,	,
18	18	18
,	,	,
pictured	pictur	pictured
over	over	over
a	a	a
burglary	burglari	burglary
.	.	.
He	he	He
is	is	is
here	here	here
illegally	illeg	illegally
from	from	from
El	el	El
SalvadorBreak	salvadorbreak	SalvadorBreak
-insPolice	-inspolic	-insPolice
said	said	said
Rosales	rosal	Rosales
-Campos	-campo	-Campos
began	began	began
his	his	his
string	string	string
of	of	of
burglaries	burglari	burglary
on	on	on
Aug	aug	Aug
.	.	.
27	27	27
,	,	,
when	when	when
he	he	he
approached	approach	approached
a	a	a
manager	manag	manager
of	of	of
the	the	the
Jackson	jackson	Jackson
Hole	hole	Hole
Diner	diner	Diner
and	and	and
put	put	put
a	a	a
gun	gun	gun
to	to	to
his	his	his
head	head	head
and	and	and
demanded	demand	demanded
the	the	the
night	night	night
s	s	s
receipts	receipt	receipt
.	.	.
No	no	No
shots	shot	shot
were	were	were
fired	fire	fired
and	and	and
the	the	the
manager	manag	manager
was	was	wa
not	not	not
hurt	hurt	hurt
,	,	,
but	but	but
Rosales	rosal	Rosales
-Campos	-campo	-Campos
got	got	got
away	away	away
with	with	with
more	more	more
than	than	than
1	1	1
,	,	,
000	000	000
in	in	in
cash	cash	cash
,	,	,
police	polic	police
said	said	said
.	.	.
Other	other	Other
incidents	incid	incident
include	includ	include
On	on	On
Sept	sept	Sept
.	.	.
28	28	28
,	,	,
police	polic	police
said	said	said
,	,	,
Rosales	rosal	Rosales
-Campos	-campo	-Campos
stole	stole	stole
the	the	the
cash	cash	cash
register	regist	register
and	and	and
less	less	le
than	than	than
500	500	500
from	from	from
Colpan	colpan	Colpan
Bakery	bakeri	Bakery
on	on	on
James	jame	James
Street	street	Street
.	.	.
He	he	He
is	is	is
accused	accus	accused
of	of	of
stealing	steal	stealing
the	the	the
cash	cash	cash
register	regist	register
and	and	and
less	less	le
than	than	than
100	100	100
from	from	from
Community	communiti	Community
Cleaners	cleaner	Cleaners
on	on	on
Grand	grand	Grand
Avenue	avenu	Avenue
on	on	on
Oct	oct	Oct
.	.	.
2	2	2
.	.	.
On	on	On
Oct	oct	Oct
.	.	.
6	6	6
,	,	,
tobacco	tobacco	tobacco
products	product	product
and	and	and
a	a	a
cash	cash	cash
register	regist	register
were	were	were
taken	taken	taken
from	from	from
Crown	crown	Crown
Fish	fish	Fish
Chicken	chicken	Chicken
on	on	on
West	west	West
Englewood	englewood	Englewood
Avenue	avenu	Avenue
,	,	,
police	polic	police
said	said	said
.	.	.
The	the	The
register	regist	register
had	had	had
less	less	le
than	than	than
500	500	500
in	in	in
it	it	it
.	.	.
On	on	On
Oct	oct	Oct
.	.	.
15	15	15
,	,	,
the	the	the
Jackson	jackson	Jackson
Hole	hole	Hole
Diner	diner	Diner
was	was	wa
burglarized	burglar	burglarized
,	,	,
and	and	and
Rosales	rosal	Rosales
-Campos	-campo	-Campos
was	was	wa
accused	accus	accused
of	of	of
taking	take	taking
a	a	a
500	500	500
laptop	laptop	laptop
and	and	and
tampering	tamper	tampering
with	with	with
the	the	the
cash	cash	cash
register	regist	register
.	.	.
On	on	On
Oct	oct	Oct
.	.	.
21	21	21
,	,	,
he	he	he
allegedly	alleg	allegedly
tried	tri	tried
to	to	to
break	break	break
into	into	into
the	the	the
KNT	knt	KNT
Luncheonette	luncheonett	Luncheonette
on	on	on
West	west	West
Hudson	hudson	Hudson
Avenue	avenu	Avenue
but	but	but
nothing	noth	nothing
was	was	wa
taken	taken	taken
.	.	.
On	on	On
Oct	oct	Oct
.	.	.
29	29	29
,	,	,
he	he	he
allegedly	alleg	allegedly
stole	stole	stole
about	about	about
500	500	500
worth	worth	worth
of	of	of
clothing	cloth	clothing
and	and	and
a	a	a
cash	cash	cash
register	regist	register
with	with	with
100	100	100
from	from	from
Englewood	englewood	Englewood
Athletics	athlet	Athletics
on	on	on
West	west	West
Palisade	palisad	Palisade
Avenue	avenu	Avenue
.	.	.
A	a	A
significant	signific	significant
amount	amount	amount
of	of	of
the	the	the
stolen	stolen	stolen
merchandise	merchandis	merchandise
was	was	wa
recovered	recov	recovered
and	and	and
returned	return	returned
to	to	to
the	the	the
businesses	busi	business
,	,	,
Torell	torel	Torell
said	said	said
.	.	.
Aside	asid	Aside
from	from	from
Chavez	chavez	Chavez
,	,	,
all	all	all
of	of	of
the	the	the
men	men	men
are	are	are
homeless	homeless	homeless
,	,	,
police	polic	police
said	said	said
.	.	.
Evaristo	evaristo	Evaristo
Chavez	chavez	Chavez
,	,	,
34	34	34
and	and	and
Rene	rene	Rene
Contreras	contrera	Contreras
-Ixtla	-ixtla	-Ixtla
,	,	,
39	39	39
,	,	,
are	are	are
in	in	in
the	the	the
country	countri	country
illegally	illeg	illegally
from	from	from
MexicoOswaldo	mexicooswaldo	MexicoOswaldo
Meneses	menes	Meneses
-Arango	-arango	-Arango
,	,	,
47	47	47
,	,	,
is	is	is
the	the	the
only	onli	only
legal	legal	legal
resident	resid	resident
of	of	of
the	the	the
five	five	five
.	.	.
He	he	He
hails	hail	hail
from	from	from
Colombia	colombia	Colombia
.	.	.
However	howev	However
,	,	,
he	he	he
was	was	wa
also	also	also
charged	charg	charged
with	with	with
trespass	trespass	trespass
alongside	alongsid	alongside
illegal	illeg	illegal
Mexican	mexican	Mexican
immigrant	immigr	immigrant
,	,	,
Rosalio	rosalio	Rosalio
Valencia	valencia	Valencia
-Hernandez	-hernandez	-Hernandez
,	,	,
49	49	49
below	below	below
Northjersey	northjersey	Northjersey
.	.	.
com	com	com
reported	report	reported
that	that	that
empty	empti	empty
beer	beer	beer
bottles	bottl	bottle
,	,	,
clothing	cloth	clothing
and	and	and
plastic	plastic	plastic
gloves	glove	glove
could	could	could
be	be	be
seen	seen	seen
in	in	in
the	the	the
yard	yard	yard
of	of	of
the	the	the
single	singl	single
-family	-famili	-family
home	home	home
.	.	.
At	at	At
the	the	the
back	back	back
,	,	,
someone	someon	someone
had	had	had
knocked	knock	knocked
out	out	out
a	a	a
glass	glass	glass
pane	pane	pane
of	of	of
the	the	the
rear	rear	rear
door	door	door
.	.	.
Rosales	rosal	Rosales
-Campos	-campo	-Campos
was	was	wa
charged	charg	charged
with	with	with
armed	arm	armed
robbery	robberi	robbery
,	,	,
second	second	second
-degree	-degre	-degree
possession	possess	possession
of	of	of
a	a	a
weapon	weapon	weapon
with	with	with
intent	intent	intent
to	to	to
use	use	use
against	against	against
a	a	a
person	person	person
,	,	,
second	second	second
-degree	-degre	-degree
illegal	illeg	illegal
handgun	handgun	handgun
possession	possess	possession
,	,	,
six	six	six
counts	count	count
of	of	of
third	third	third
-degree	-degre	-degree
burglary	burglari	burglary
,	,	,
third	third	third
-degree	-degre	-degree
attempted	attempt	attempted
burglary	burglari	burglary
,	,	,
several	sever	several
counts	count	count
of	of	of
theft	theft	theft
,	,	,
fourth	fourth	fourth
-degree	-degre	-degree
possession	possess	possession
of	of	of
a	a	a
fraudulent	fraudul	fraudulent
government	govern	government
I	i	I
.	.	.
D	d	D
.	.	.
and	and	and
one	one	one
count	count	count
fourth	fourth	fourth
-degree	-degre	-degree
criminal	crimin	criminal
trespass	trespass	trespass
.	.	.
Via	via	Via
UK	uk	UK
Daily	daili	Daily
Mail	mail	Mail
