To	to	To
to	to	to
everything	everyth	everything
that	that	that
was	was	wa
said	said	said
.	.	.
You	you	You
literally	liter	literally
said	said	said
all	all	all
those	those	those
things	thing	thing
.	.	.

https://t.co/6VX5AfR7gL	https://t.co/6vx5afr7gl	https://t.co/6VX5AfR7gL
https://t.co/U8LfWdPU7x	https://t.co/u8lfwdpu7x	https://t.co/U8LfWdPU7x
Hillary	hillari	Hillary
Clinton	clinton	Clinton
@HillaryClinton	@hillaryclinton	@HillaryClinton
June	june	June
3	3	3
,	,	,
2016For	2016for	2016For
example	exampl	example
,	,	,
Hillary	hillari	Hillary
said	said	said
during	dure	during
her	her	her
speech	speech	speech
He	he	He
says	say	say
he	he	he
doesn	doesn	doesn
t	t	t
have	have	have
to	to	to
listen	listen	listen
to	to	to
our	our	our
generals	general	general
or	or	or
ambassadors	ambassador	ambassador
,	,	,
because	becaus	because
he	he	he
has	has	ha
quote	quot	quote
a	a	a
very	veri	very
good	good	good
brain	brain	brain
.	.	.

She	she	She
then	then	then
lists	list	list
exactly	exact	exactly
what	what	what
Trump	trump	Trump
said	said	said
TRUMP	trump	TRUMP
I	i	I
m	m	m
speaking	speak	speaking
with	with	with
myself	myself	myself
,	,	,
number	number	number
one	one	one
,	,	,
because	becaus	because
I	i	I
have	have	have
a	a	a
very	veri	very
good	good	good
brain	brain	brain
and	and	and
I	i	I
ve	ve	ve
said	said	said
a	a	a
lot	lot	lot
of	of	of
things	thing	thing
my	my	my
primary	primari	primary
consultant	consult	consultant
is	is	is
myself	myself	myself
And	and	And
there	there	there
are	are	are
far	far	far
too	too	too
many	mani	many
to	to	to
list	list	list
here	here	here
,	,	,
so	so	so
go	go	go
check	check	check
out	out	out
every	everi	every
line	line	line
by	by	by
line	line	line
fact	fact	fact
check	check	check
HERE	here	HERE
.	.	.
Something	someth	Something
tells	tell	tell
me	me	me
as	as	a
the	the	the
election	elect	election
heats	heat	heat
up	up	up
,	,	,
and	and	and
if	if	if
Hillary	hillari	Hillary
is	is	is
the	the	the
Democratic	democrat	Democratic
nominee	nomine	nominee
,	,	,
we	we	we
re	re	re
going	go	going
to	to	to
be	be	be
seeing	see	seeing
a	a	a
lot	lot	lot
more	more	more
of	of	of
this	this	this
,	,	,
and	and	and
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
f	f	f
cking	cking	cking
awesome	awesom	awesome
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Spencer	spencer	Spencer
Platt	platt	Platt
Elijah	elijah	Elijah
Nouvelage	nouvelag	Nouvelage
Getty	getti	Getty
Images	imag	Images

