Considering	consid	Considering
leader	leader	leader
.	.	.
.	.	.
@megynkelly	@megynkelli	@megynkelly
Vladimir	vladimir	Vladimir
Putin	putin	Putin
was	was	wa
very	veri	very
personable	person	personable
when	when	when
the	the	the
cameras	camera	camera
were	were	were
off	off	off
https://t.co/1iV3WKNgLC	https://t.co/1iv3wknglc	https://t.co/1iV3WKNgLC
pic.twitter.com/TbNhjDzDDd	pic.twitter.com/tbnhjdzddd	pic.twitter.com/TbNhjDzDDd
TODAY	today	TODAY
@TODAYshow	@todayshow	@TODAYshow
June	june	June
4	4	4
,	,	,
2017Twitter	2017twitter	2017Twitter
users	user	user
questioned	question	questioned
Kelly	kelli	Kelly
s	s	s
praise	prais	praise
of	of	of
the	the	the
murderous	murder	murderous
thug	thug	thug
.	.	.
I	i	I
m	m	m
glad	glad	glad
an	an	an
autocratic	autocrat	autocratic
murdering	murder	murdering
despot	despot	despot
was	was	wa
nice	nice	nice
to	to	to
you	you	you
,	,	,
@megynkelly	@megynkelli	@megynkelly
cool	cool	cool
beans	bean	bean
,	,	,
one	one	one
Twitter	twitter	Twitter
user	user	user
said	said	said
.	.	.
I	i	I
m	m	m
glad	glad	glad
an	an	an
autocratic	autocrat	autocratic
murderering	murder	murderering
despot	despot	despot
was	was	wa
nice	nice	nice
to	to	to
you	you	you
,	,	,
@megynkelly	@megynkelli	@megynkelly
cool	cool	cool
beans	bean	bean
Por	por	Por
Sum	sum	Sum
Zingis	zingi	Zingis
On	on	On
Me	me	Me
@edrhew	@edrhew	@edrhew
June	june	June
4	4	4
,	,	,
2017	2017	2017
Thugs	thug	Thugs
can	can	can
be	be	be
personable	person	personable
.	.	.
Focus	focus	Focus
,	,	,
Blondie	blondi	Blondie
,	,	,
another	anoth	another
Twitter	twitter	Twitter
user	user	user
wrote	wrote	wrote
.	.	.
Thugs	thug	Thugs
can	can	can
be	be	be
personable	person	personable
.	.	.
Focus	focus	Focus
,	,	,
Blondie	blondi	Blondie
.	.	.
?	?	?
?	?	?
?	?	?
Trina	trina	Trina
@RedVinoPlease	@redvinopleas	@RedVinoPlease
June	june	June
4	4	4
,	,	,
2017	2017	2017
So	so	So
is	is	is
Satan	satan	Satan
.	.	.
So	so	So
is	is	is
Satan	satan	Satan
Donovan	donovan	Donovan
Burnett	burnett	Burnett
@DBurnettShow	@dburnettshow	@DBurnettShow
June	june	June
4	4	4
,	,	,
2017	2017	2017
Stop	stop	Stop
normalizing	normal	normalizing
him	him	him
.	.	.
Putin	putin	Putin
is	is	is
a	a	a
murderer	murder	murderer
!	!	!
His	his	His
personality	person	personality
is	is	is
fake	fake	fake
.	.	.
This	this	This
is	is	is
one	one	one
of	of	of
the	the	the
most	most	most
ridiculous	ridicul	ridiculous
tweets	tweet	tweet
I've	i'v	I've
read	read	read
in	in	in
a	a	a
long	long	long
time	time	time
.	.	.
Stop	stop	Stop
normalizing	normal	normalizing
him	him	him
!	!	!
P	p	P
.	.	.
Jeanne	jeann	Jeanne
DiJoseph	dijoseph	DiJoseph
@PJeannie	@pjeanni	@PJeannie
June	june	June
4	4	4
,	,	,
2017	2017	2017
Just	just	Just
stop	stop	stop
.	.	.
Megyn	megyn	Megyn
,	,	,
just	just	just
stop	stop	stop
.	.	.
You're	you'r	You're
ridiculous	ridicul	ridiculous
.	.	.
pic.twitter.com/KpiVYj98xY	pic.twitter.com/kpivyj98xi	pic.twitter.com/KpiVYj98xY
banegirl	banegirl	banegirl
@TheRealBaneGirl	@therealbanegirl	@TheRealBaneGirl
June	june	June
4	4	4
,	,	,
2017	2017	2017
What	what	What
a	a	a
gullible	gullibl	gullible
headline	headlin	headline
.	.	.
I'm	i'm	I'm
sure	sure	sure
,	,	,
he's	he	he's
running	run	running
the	the	the
largest	largest	largest
,	,	,
most	most	most
sophisticated	sophist	sophisticated
propaganda	propaganda	propaganda
machine	machin	machine
on	on	on
Earth	earth	Earth
.	.	.
What	what	What
a	a	a
gullible	gullibl	gullible
headline	headlin	headline
.	.	.
Emily	emili	Emily
Timm	timm	Timm
@timm_emily	@timm_emili	@timm_emily
June	june	June
4	4	4
,	,	,
2017	2017	2017
So	so	So
was	was	wa
Ted	ted	Ted
Bundy	bundi	Bundy
.	.	.
So	so	So
was	was	wa
Ted	ted	Ted
Bundy	bundi	Bundy
.	.	.
Trenta	trenta	Trenta
Poppins	poppin	Poppins
@MaPoStormborn	@mapostormborn	@MaPoStormborn
June	june	June
4	4	4
,	,	,
2017	2017	2017
Embarrassing	embarrass	Embarrassing
.	.	.
This	this	This
is	is	is
just	just	just
embarrassing	embarrass	embarrassing
.	.	.
Dawn	dawn	Dawn
McCallan	mccallan	McCallan
@DawnMacc	@dawnmacc	@DawnMacc
June	june	June
4	4	4
,	,	,
2017How	2017how	2017How
personable	person	personable
?	?	?
How	how	How
personable	person	personable
?	?	?
Like	like	Like
locker	locker	locker
room	room	room
Trump	trump	Trump
personable	person	personable
?	?	?
Or	or	Or
like	like	like
Lucifer	lucif	Lucifer
,	,	,
Dark	dark	Dark
Lord	lord	Lord
of	of	of
the	the	the
Netherworld	netherworld	Netherworld
personable	person	personable
?	?	?
?	?	?
?	?	?
?	?	?
Jr	jr	Jr
A	a	A
.	.	.
@Skitzo72	@skitzo72	@Skitzo72
June	june	June
4	4	4
,	,	,
2017Such	2017such	2017Such
a	a	a
charming	charm	charming
fellow	fellow	fellow
that	that	that
Putin	putin	Putin
is	is	is
.	.	.
Malaysia	malaysia	Malaysia
airliner	airlin	airliner
shot	shot	shot
down	down	down
Ukraine	ukrain	Ukraine
.	.	.
Yeah	yeah	Yeah
Megyn	megyn	Megyn
,	,	,
Putin	putin	Putin
is	is	is
a	a	a
charming	charm	charming
fellow	fellow	fellow
.	.	.
pic.twitter.com/wTCRUirb1D	pic.twitter.com/wtcruirb1d	pic.twitter.com/wTCRUirb1D
Stephen	stephen	Stephen
James	jame	James
@JSCveritas	@jscverita	@JSCveritas
June	june	June
4	4	4
,	,	,
2017	2017	2017
a	a	a
disgrace	disgrac	disgrace
.	.	.
It's	it	It's
a	a	a
disgrace	disgrac	disgrace
that	that	that
you	you	you
act	act	act
like	like	like
this	this	this
murderous	murder	murderous
enemy	enemi	enemy
of	of	of
civil	civil	civil
society	societi	society
is	is	is
just	just	just
some	some	some
nice	nice	nice
guy	guy	guy
you	you	you
had	had	had
to	to	to
tea	tea	tea
.	.	.
Salome	salom	Salome
Strangelove	strangelov	Strangelove
@salstrange	@salstrang	@salstrange
June	june	June
4	4	4
,	,	,
2017	2017	2017
Murderers	murder	Murderers
and	and	and
criminals	crimin	criminal
.	.	.
So	so	So
are	are	are
a	a	a
lot	lot	lot
of	of	of
murderers	murder	murderer
and	and	and
criminals	crimin	criminal
ChristineP	christinep	ChristineP
@christine13160	@christine13160	@christine13160
June	june	June
4	4	4
,	,	,
2017	2017	2017
Nice	nice	Nice
job	job	job
buddying	buddi	buddying
up	up	up
to	to	to
a	a	a
tyrant	tyrant	tyrant
.	.	.
Putin	putin	Putin
instilled	instil	instilled
his	his	his
puppet	puppet	puppet
as	as	a
POTUS	potus	POTUS
and	and	and
frequently	frequent	frequently
has	has	ha
his	his	his
opponents	oppon	opponent
murdered	murder	murdered
but	but	but
what	what	what
a	a	a
charmer	charmer	charmer
!	!	!
Nice	nice	Nice
job	job	job
buddying	buddi	buddying
up	up	up
to	to	to
a	a	a
tyrant	tyrant	tyrant
,	,	,
@NBC	@nbc	@NBC
.	.	.
Eric	eric	Eric
Lane	lane	Lane
@ericlane	@ericlan	@ericlane
June	june	June
4	4	4
,	,	,
2017The	2017the	2017The
added	ad	added
bonus	bonus	bonus
is	is	is
that	that	that
he	he	he
didn	didn	didn
t	t	t
murder	murder	murder
anyone	anyon	anyone
.	.	.
Added	ad	Added
bonus	bonus	bonus
he	he	he
didn't	didn't	didn't
poison	poison	poison
anyone	anyon	anyone
.	.	.
RickChance	rickchanc	RickChance
@Chancedefiant	@chancedefi	@Chancedefiant
June	june	June
4	4	4
,	,	,
2017	2017	2017
A	a	A
murderous	murder	murderous
dictator	dictat	dictator
.	.	.
Unm	unm	Unm
wow	wow	wow
,	,	,
so	so	so
now	now	now
we	we	we
Are	are	Are
personalizing	person	personalizing
a	a	a
murderous	murder	murderous
dictator	dictat	dictator
?	?	?
So	so	So
much	much	much
for	for	for
journalistic	journalist	journalistic
integrity	integr	integrity
.	.	.
Dawn	dawn	Dawn
McCallan	mccallan	McCallan
@DawnMacc	@dawnmacc	@DawnMacc
June	june	June
4	4	4
,	,	,
2017	2017	2017
So	so	So
was	was	wa
Hitler	hitler	Hitler
.	.	.
Yeah	yeah	Yeah
.	.	.
So	so	So
was	was	wa
Hitler	hitler	Hitler
Reality	realiti	Reality
@foamie75	@foamie75	@foamie75
June	june	June
4	4	4
,	,	,
2017Putin	2017putin	2017Putin
has	has	ha
a	a	a
high	high	high
body	bodi	body
count	count	count
.	.	.
Says	say	Says
a	a	a
former	former	former
Fox	fox	Fox
mouthpiece	mouthpiec	mouthpiece
about	about	about
the	the	the
leader	leader	leader
of	of	of
a	a	a
hostile	hostil	hostile
foreign	foreign	foreign
country	countri	country
whose	whose	whose
opposition	opposit	opposition
leaders	leader	leader
and	and	and
journalists	journalist	journalist
KEEP	keep	KEEP
ENDING	end	ENDING
UP	up	UP
DEAD	dead	DEAD
.	.	.
?	?	?
DisceAutDiscede	disceautdisced	DisceAutDiscede
@disceautdisced1	@disceautdisced1	@disceautdisced1
June	june	June
4	4	4
,	,	,
2017So	2017so	2017So
personable	person	personable
.	.	.
Unless	unless	Unless
you	you	you
are	are	are
a	a	a
journalist	journalist	journalist
or	or	or
a	a	a
govt	govt	govt
dissenter	dissent	dissenter
.	.	.
Then	then	Then
you	you	you
need	need	need
to	to	to
avoid	avoid	avoid
eating	eat	eating
anything	anyth	anything
and	and	and
balconies	balconi	balcony
.	.	.
#CovertCovfefe	#covertcovfef	#CovertCovfefe
@johnnymags	@johnnymag	@johnnymags
June	june	June
4	4	4
,	,	,
2017Putin	2017putin	2017Putin
tried	tri	tried
to	to	to
defend	defend	defend
his	his	his
earlier	earlier	earlier
remarks	remark	remark
to	to	to
Kelly	kelli	Kelly
in	in	in
which	which	which
he	he	he
claimed	claim	claimed
that	that	that
patriotic	patriot	patriotic
hackers	hacker	hacker
could	could	could
have	have	have
interfered	interf	interfered
in	in	in
the	the	the
2016	2016	2016
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
.	.	.
Putin	putin	Putin
insisted	insist	insisted
that	that	that
the	the	the
hackers	hacker	hacker
could	could	could
have	have	have
come	come	come
from	from	from
anywhere	anywher	anywhere
and	and	and
then	then	then
they	they	they
could	could	could
have	have	have
shifted	shift	shifted
the	the	the
blame	blame	blame
to	to	to
make	make	make
it	it	it
look	look	look
like	like	like
Russia	russia	Russia
was	was	wa
behind	behind	behind
the	the	the
hacking	hack	hacking
.	.	.
Trump	trump	Trump
,	,	,
Russia	russia	Russia
s	s	s
pick	pick	pick
for	for	for
president	presid	president
,	,	,
openly	open	openly
called	call	called
for	for	for
Russians	russian	Russians
to	to	to
hack	hack	hack
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
email	email	email
account	account	account
.	.	.
I	i	I
will	will	will
tell	tell	tell
you	you	you
this	this	this
,	,	,
Russia	russia	Russia
If	if	If
you	you	you
re	re	re
listening	listen	listening
,	,	,
I	i	I
hope	hope	hope
you	you	you
re	re	re
able	abl	able
to	to	to
find	find	find
the	the	the
30	30	30
,	,	,
000	000	000
emails	email	email
that	that	that
are	are	are
missing	miss	missing
,	,	,
Trump	trump	Trump
said	said	said
at	at	at
a	a	a
news	news	news
conference	confer	conference
in	in	in
Florida	florida	Florida
at	at	at
the	the	the
time	time	time
.	.	.
I	i	I
think	think	think
you	you	you
will	will	will
probably	probabl	probably
be	be	be
rewarded	reward	rewarded
mightily	mightili	mightily
by	by	by
our	our	our
press	press	press
.	.	.
We	we	We
re	re	re
sure	sure	sure
it	it	it
s	s	s
all	all	all
just	just	just
a	a	a
coinky	coinki	coinky
dink	dink	dink
,	,	,
though	though	though
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
