Here	here	Here
and	and	and
there	there	there
was	was	wa
no	no	no
follow	follow	follow
up	up	up
.	.	.
I	i	I
was	was	wa
asked	ask	asked
to	to	to
attend	attend	attend
the	the	the
meeting	meet	meeting
by	by	by
an	an	an
acquaintance	acquaint	acquaintance
,	,	,
but	but	but
was	was	wa
not	not	not
told	told	told
the	the	the
name	name	name
of	of	of
the	the	the
person	person	person
I	i	I
would	would	would
be	be	be
meeting	meet	meeting
with	with	with
beforehand	beforehand	beforehand
.	.	.
The	the	The
New	new	New
York	york	York
Times	time	Times
then	then	then
offered	offer	offered
what	what	what
they	they	they
said	said	said
was	was	wa
a	a	a
different	differ	different
account	account	account
of	of	of
Trump	trump	Trump
Jr	jr	Jr
.	.	.
s	s	s
original	origin	original
story	stori	story
Mr	mr	Mr
.	.	.
Trump	trump	Trump
s	s	s
version	version	version
of	of	of
the	the	the
meeting	meet	meeting
changed	chang	changed
Sunday	sunday	Sunday
,	,	,
when	when	when
three	three	three
advisers	advis	adviser
to	to	to
the	the	the
White	white	White
House	hous	House
briefed	brief	briefed
on	on	on
the	the	the
meeting	meet	meeting
and	and	and
two	two	two
others	other	others
with	with	with
knowledge	knowledg	knowledge
of	of	of
it	it	it
told	told	told
The	the	The
Times	time	Times
that	that	that
Mr	mr	Mr
.	.	.
Trump	trump	Trump
met	met	met
Ms	ms	Ms
.	.	.
Veselnitskaya	veselnitskaya	Veselnitskaya
after	after	after
she	she	she
promised	promis	promised
to	to	to
provide	provid	provide
damaging	damag	damaging
information	inform	information
on	on	on
Mrs	mrs	Mrs
.	.	.
Clinton	clinton	Clinton
.	.	.
Mr	mr	Mr
.	.	.
Trump	trump	Trump
acknowledged	acknowledg	acknowledged
on	on	on
Sunday	sunday	Sunday
that	that	that
Ms	ms	Ms
.	.	.
Veselnitskaya	veselnitskaya	Veselnitskaya
offered	offer	offered
him	him	him
information	inform	information
on	on	on
Mrs	mrs	Mrs
.	.	.
Clinton	clinton	Clinton
but	but	but
that	that	that
her	her	her
statements	statement	statement
made	made	made
no	no	no
sense	sens	sense
and	and	and
the	the	the
information	inform	information
was	was	wa
not	not	not
meaningful	meaning	meaningful
.	.	.
Finally	final	Finally
,	,	,
at	at	at
the	the	the
BOTTOM	bottom	BOTTOM
of	of	of
the	the	the
story	stori	story
in	in	in
small	small	small
italic	ital	italic
print	print	print
,	,	,
the	the	the
NYT	nyt	NYT
s	s	s
printed	print	printed
a	a	a
tiny	tini	tiny
retraction	retract	retraction
,	,	,
stating	state	stating
that	that	that
they	they	they
misled	misl	misled
their	their	their
readers	reader	reader
Correction	correct	Correction
July	juli	July
9	9	9
,	,	,
2017	2017	2017
An	an	An
earlier	earlier	earlier
version	version	version
of	of	of
this	this	this
article	articl	article
misquoted	misquot	misquoted
a	a	a
statement	statement	statement
by	by	by
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
about	about	about
a	a	a
meeting	meet	meeting
with	with	with
a	a	a
Russian	russian	Russian
lawyer	lawyer	lawyer
.	.	.
He	he	He
said	said	said
the	the	the
meeting	meet	meeting
mostly	most	mostly
focused	focus	focused
on	on	on
the	the	the
topic	topic	topic
of	of	of
adoption	adopt	adoption
,	,	,
which	which	which
was	was	wa
not	not	not
a	a	a
campaign	campaign	campaign
issue	issu	issue
.	.	.
He	he	He
did	did	did
not	not	not
say	say	say
it	it	it
was	was	wa
a	a	a
campaign	campaign	campaign
issue	issu	issue
.	.	.
