According	accord	According
Alternatively	altern	Alternatively
,	,	,
the	the	the
same	same	same
beliefs	belief	belief
are	are	are
found	found	found
in	in	in
the	the	the
secular	secular	secular
organized	organ	organized
labor	labor	labor
movement	movement	movement
.	.	.

In	in	In
particular	particular	particular
,	,	,
the	the	the
International	intern	International
Worker	worker	Worker
s	s	s
Union	union	Union
s	s	s
motto	motto	motto
,	,	,
An	an	An
injury	injuri	injury
to	to	to
one	one	one
is	is	is
an	an	an
injury	injuri	injury
to	to	to
all	all	all
,	,	,
encapsulates	encapsul	encapsulates
Sanders	sander	Sanders
belief	belief	belief
system	system	system
as	as	a
he	he	he
has	has	ha
described	describ	described
it	it	it
.	.	.
This	this	This
is	is	is
all	all	all
happening	happen	happening
against	against	against
Trump	trump	Trump
s	s	s
threats	threat	threat
to	to	to
Sanders	sander	Sanders
and	and	and
his	his	his
supporters	support	supporter
.	.	.

While	while	While
at	at	at
the	the	the
same	same	same
time	time	time
,	,	,
the	the	the
Republican	republican	Republican
primary	primari	primary
front	front	front
-runner	-runner	-runner
and	and	and
his	his	his
supporters	support	supporter
escalate	escal	escalate
their	their	their
violent	violent	violent
tactics	tactic	tactic
against	against	against
protestors	protestor	protestors
.	.	.
Here	here	Here
s	s	s
a	a	a
video	video	video
of	of	of
Burn	burn	Burn
s	s	s
opening	open	opening
address	address	address
.	.	.

The	the	The
relevant	relev	relevant
comments	comment	comment
begin	begin	begin
five	five	five
minutes	minut	minute
into	into	into
the	the	the
speech	speech	speech
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
video	video	video
screenshot	screenshot	screenshot
via	via	via
YouTube	youtub	YouTube

