Music	music	Music
which	which	which
were	were	were
often	often	often
times	time	time
Islamophobic	islamophob	Islamophobic
and	and	and
anti	anti	anti
-black	-black	-black
,	,	,
could	could	could
have	have	have
devastating	devast	devastating
consequences	consequ	consequence
on	on	on
the	the	the
country	countri	country
.	.	.
He	he	He
said	said	said
The	the	The
fear	fear	fear
is	is	is
that	that	that
his	his	his
statements	statement	statement
would	would	would
take	take	take
people	peopl	people
who	who	who
would	would	would
never	never	never
even	even	even
admit	admit	admit
to	to	to
having	have	having
those	those	those
seeds	seed	seed
of	of	of
hate	hate	hate
in	in	in
them	them	them
,	,	,
and	and	and
water	water	water
those	those	those
seeds	seed	seed
,	,	,
and	and	and
then	then	then
those	those	those
people	peopl	people
would	would	would
say	say	say
things	thing	thing
they	they	they
wouldn	wouldn	wouldn
t	t	t
even	even	even
imagine	imagin	imagine
saying	say	saying
,	,	,
and	and	and
then	then	then
it	it	it
became	becam	became
the	the	the
norm	norm	norm
.	.	.
You	you	You
can	can	can
watch	watch	watch
Simmons	simmon	Simmons
interview	interview	interview
below	below	below
ad3media	ad3media	ad3media
campaign	campaign	campaign
1215	1215	1215
Simmons	simmon	Simmons
has	has	ha
spoken	spoken	spoken
out	out	out
about	about	about
Trump	trump	Trump
s	s	s
racism	racism	racism
before	befor	before
.	.	.
Although	although	Although
he	he	he
may	may	may
have	have	have
been	been	been
trying	tri	trying
to	to	to
be	be	be
kind	kind	kind
to	to	to
Trump	trump	Trump
during	dure	during
the	the	the
Fortune	fortun	Fortune
interview	interview	interview
,	,	,
he	he	he
was	was	wa
much	much	much
more	more	more
blunt	blunt	blunt
in	in	in
a	a	a
September	septemb	September
interview	interview	interview
with	with	with
CNN	cnn	CNN
Money	money	Money
.	.	.
Simmons	simmon	Simmons
told	told	told
CNN	cnn	CNN
Donald	donald	Donald
has	has	ha
said	said	said
racist	racist	racist
things	thing	thing
for	for	for
30	30	30
years	year	year
.	.	.
White	white	White
supremacy	supremaci	supremacy
,	,	,
he	he	he
s	s	s
the	the	the
epitome	epitom	epitome
of	of	of
it	it	it
.	.	.
He	he	He
represents	repres	represents
the	the	the
image	imag	image
of	of	of
white	white	white
supremacy	supremaci	supremacy
more	more	more
than	than	than
any	ani	any
candidate	candid	candidate
I	i	I
ve	ve	ve
seen	seen	seen
.	.	.
Having	have	Having
been	been	been
Trump	trump	Trump
s	s	s
friend	friend	friend
for	for	for
several	sever	several
decades	decad	decade
,	,	,
there	there	there
s	s	s
no	no	no
one	one	one
better	better	better
to	to	to
expose	expos	expose
who	who	who
Trump	trump	Trump
really	realli	really
is	is	is
.	.	.
Hopefully	hope	Hopefully
,	,	,
America	america	America
is	is	is
listening	listen	listening
.	.	.
Trump	trump	Trump
s	s	s
offensive	offens	offensive
campaign	campaign	campaign
behavior	behavior	behavior
isn	isn	isn
t	t	t
an	an	an
act	act	act
for	for	for
entertainment	entertain	entertainment
or	or	or
shock	shock	shock
value	valu	value
it	it	it
s	s	s
who	who	who
he	he	he
really	realli	really
is	is	is
,	,	,
and	and	and
it	it	it
s	s	s
the	the	the
kind	kind	kind
of	of	of
President	presid	President
he	he	he
would	would	would
be	be	be
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
and	and	and
Frazer	frazer	Frazer
Harrison	harrison	Harrison
Getty	getti	Getty
Images	imag	Images
