Meanwhile	meanwhil	Meanwhile
enforcement	enforc	enforcement
officer	offic	officer
,	,	,
obstruction	obstruct	obstruction
of	of	of
the	the	the
due	due	due
administration	administr	administration
of	of	of
justice	justic	justice
,	,	,
interference	interfer	interference
with	with	with
interstate	interst	interstate
commerce	commerc	commerce
by	by	by
extortion	extort	extortion
,	,	,
and	and	and
interstate	interst	interstate
travel	travel	travel
in	in	in
aid	aid	aid
of	of	of
extortion	extort	extortion
.	.	.
Here	here	Here
is	is	is
the	the	the
true	true	true
story	stori	story
of	of	of
the	the	the
Bundy	bundi	Bundy
Ranch	ranch	Ranch
standoff	standoff	standoff
and	and	and
why	whi	why
they	they	they
re	re	re
fighting	fight	fighting
back	back	back
against	against	against
the	the	the
Federal	feder	Federal
government	govern	government
Here	here	Here
is	is	is
the	the	the
intense	intens	intense
,	,	,
graphic	graphic	graphic
video	video	video
that	that	that
shows	show	show
the	the	the
Federal	feder	Federal
agents	agent	agent
tazing	taze	tazing
the	the	the
protestors	protestor	protestors
,	,	,
including	includ	including
a	a	a
pregnant	pregnant	pregnant
woman	woman	woman
https://youtu.be/LhJ6H9vlEDAAccording	https://youtu.be/lhj6h9vledaaccord	https://youtu.be/LhJ6H9vlEDAAccording
to	to	to
a	a	a
press	press	press
release	releas	release
by	by	by
the	the	the
Justice	justic	Justice
Department	depart	Department
pause	paus	pause
for	for	for
laughter	laughter	laughter
Cliven	cliven	Cliven
D	d	D
.	.	.
Bundy	bundi	Bundy
,	,	,
69	69	69
,	,	,
of	of	of
Bunkerville	bunkervill	Bunkerville
,	,	,
Nev	nev	Nev
.	.	.
,	,	,
Ryan	ryan	Ryan
C	c	C
.	.	.
Bundy	bundi	Bundy
,	,	,
43	43	43
,	,	,
of	of	of
Mesquite	mesquit	Mesquite
,	,	,
Nev	nev	Nev
.	.	.
,	,	,
Ammon	ammon	Ammon
E	e	E
.	.	.
Bundy	bundi	Bundy
,	,	,
40	40	40
,	,	,
of	of	of
Emmet	emmet	Emmet
,	,	,
Idaho	idaho	Idaho
,	,	,
Ryan	ryan	Ryan
W	w	W
.	.	.
Payne	payn	Payne
,	,	,
32	32	32
,	,	,
of	of	of
Anaconda	anaconda	Anaconda
,	,	,
Mont	mont	Mont
.	.	.
,	,	,
and	and	and
Peter	peter	Peter
T	t	T
.	.	.
Santilli	santilli	Santilli
,	,	,
Jr	jr	Jr
.	.	.
,	,	,
50	50	50
,	,	,
of	of	of
Cincinnati	cincinnati	Cincinnati
,	,	,
Ohio	ohio	Ohio
,	,	,
are	are	are
charged	charg	charged
with	with	with
one	one	one
count	count	count
of	of	of
conspiracy	conspiraci	conspiracy
to	to	to
commit	commit	commit
an	an	an
offense	offens	offense
against	against	against
the	the	the
United	unit	United
States	state	States
,	,	,
one	one	one
count	count	count
of	of	of
conspiracy	conspiraci	conspiracy
to	to	to
impede	imped	impede
or	or	or
injure	injur	injure
a	a	a
federal	feder	federal
officer	offic	officer
,	,	,
four	four	four
counts	count	count
of	of	of
using	use	using
and	and	and
carrying	carri	carrying
a	a	a
firearm	firearm	firearm
in	in	in
relation	relat	relation
to	to	to
a	a	a
crime	crime	crime
of	of	of
violence	violenc	violence
,	,	,
two	two	two
counts	count	count
of	of	of
assault	assault	assault
on	on	on
a	a	a
federal	feder	federal
officer	offic	officer
,	,	,
two	two	two
counts	count	count
of	of	of
threatening	threaten	threatening
a	a	a
federal	feder	federal
law	law	law
enforcement	enforc	enforcement
officer	offic	officer
,	,	,
three	three	three
counts	count	count
of	of	of
obstruction	obstruct	obstruction
of	of	of
the	the	the
due	due	due
administration	administr	administration
of	of	of
justice	justic	justice
,	,	,
two	two	two
counts	count	count
of	of	of
interference	interfer	interference
with	with	with
interstate	interst	interstate
commerce	commerc	commerce
by	by	by
extortion	extort	extortion
,	,	,
and	and	and
one	one	one
count	count	count
of	of	of
interstate	interst	interstate
travel	travel	travel
in	in	in
aid	aid	aid
of	of	of
extortion	extort	extortion
.	.	.
The	the	The
indictment	indict	indictment
also	also	also
alleges	alleg	alleges
five	five	five
counts	count	count
of	of	of
criminal	crimin	criminal
forfeiture	forfeitur	forfeiture
which	which	which
upon	upon	upon
conviction	convict	conviction
would	would	would
require	requir	require
forfeiture	forfeitur	forfeiture
of	of	of
property	properti	property
derived	deriv	derived
from	from	from
the	the	the
proceeds	proceed	proceeds
of	of	of
the	the	the
crimes	crime	crime
totaling	total	totaling
at	at	at
least	least	least
3	3	3
million	million	million
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
firearms	firearm	firearm
and	and	and
ammunition	ammunit	ammunition
possessed	possess	possessed
and	and	and
used	use	used
on	on	on
April	april	April
12	12	12
,	,	,
2014	2014	2014
.	.	.
Here	here	Here
is	is	is
exactly	exact	exactly
why	whi	why
Barack	barack	Barack
Hussein	hussein	Hussein
Obama	obama	Obama
Soetoro	soetoro	Soetoro
Soebarkah	soebarkah	Soebarkah
brought	brought	brought
in	in	in
constitution	constitut	constitution
-violating	-violat	-violating
,	,	,
asset	asset	asset
forfeiture	forfeitur	forfeiture
criminal	crimin	criminal
and	and	and
terrorist	terrorist	terrorist
-tied	-ti	-tied
Loretta	loretta	Loretta
Lynch	lynch	Lynch
as	as	a
his	his	his
Attorney	attorney	Attorney
General	general	General
.	.	.
Please	pleas	Please
don	don	don
t	t	t
forget	forget	forget
the	the	the
Democrat	democrat	Democrat
and	and	and
Republican	republican	Republican
senators	senat	senator
who	who	who
helped	help	helped
confirm	confirm	confirm
her	her	her
because	becaus	because
they	they	they
are	are	are
just	just	just
as	as	a
complicit	complicit	complicit
.	.	.
No	no	No
crime	crime	crime
of	of	of
violence	violenc	violence
occurred	occur	occurred
at	at	at
Bundy	bundi	Bundy
Ranch	ranch	Ranch
,	,	,
except	except	except
for	for	for
the	the	the
crimes	crime	crime
of	of	of
federal	feder	federal
agencies	agenc	agency
who	who	who
destroyed	destroy	destroyed
the	the	the
property	properti	property
of	of	of
Cliven	cliven	Cliven
Bundy	bundi	Bundy
and	and	and
his	his	his
family	famili	family
.	.	.
There	there	There
were	were	were
attempts	attempt	attempt
to	to	to
corral	corral	corral
people	peopl	people
into	into	into
First	first	First
Amendment	amend	Amendment
Zones	zone	Zones
,	,	,
which	which	which
is	is	is
unlawful	unlaw	unlawful
and	and	and
tazing	taze	tazing
individuals	individu	individual
who	who	who
were	were	were
exercising	exercis	exercising
their	their	their
free	free	free
speech	speech	speech
,	,	,
but	but	but
there	there	there
was	was	wa
no	no	no
violence	violenc	violence
committed	commit	committed
by	by	by
the	the	the
Bundys	bundi	Bundys
or	or	or
the	the	the
protesters	protest	protester
.	.	.
The	the	The
rule	rule	rule
of	of	of
law	law	law
has	has	ha
been	been	been
reaffirmed	reaffirm	reaffirmed
with	with	with
these	these	these
charges	charg	charge
,	,	,
said	said	said
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
Bogden	bogden	Bogden
.	.	.
Persons	person	Persons
who	who	who
use	use	use
force	forc	force
and	and	and
violence	violenc	violence
against	against	against
federal	feder	federal
law	law	law
enforcement	enforc	enforcement
officers	offic	officer
who	who	who
are	are	are
enforcing	enforc	enforcing
court	court	court
orders	order	order
,	,	,
and	and	and
nearly	near	nearly
causing	caus	causing
catastrophic	catastroph	catastrophic
loss	loss	loss
of	of	of
life	life	life
or	or	or
injury	injuri	injury
to	to	to
others	other	others
,	,	,
will	will	will
be	be	be
brought	brought	brought
to	to	to
justice	justic	justice
.	.	.
Who	who	Who
used	use	used
force	forc	force
?	?	?
Who	who	Who
used	use	used
violence	violenc	violence
?	?	?
Here	here	Here
is	is	is
Ammon	ammon	Ammon
Bundy	bundi	Bundy
showing	show	showing
where	where	where
he	he	he
was	was	wa
tazed	taze	tazed
by	by	by
Federal	feder	Federal
Agents	agent	Agents
and	and	and
arrested	arrest	arrested
for	for	for
,	,	,
according	accord	according
to	to	to
Bundy	bundi	Bundy
taking	take	taking
pictures	pictur	picture
in	in	in
a	a	a
pubic	pubic	pubic
place	place	place
Did	did	Did
the	the	the
court	court	court
order	order	order
demand	demand	demand
that	that	that
cattle	cattl	cattle
be	be	be
slaughtered	slaughter	slaughtered
?	?	?
Did	did	Did
the	the	the
court	court	court
order	order	order
that	that	that
snipers	sniper	sniper
be	be	be
put	put	put
into	into	into
place	place	place
and	and	and
an	an	an
army	armi	army
of	of	of
hundreds	hundr	hundred
of	of	of
armed	arm	armed
federal	feder	federal
agents	agent	agent
surround	surround	surround
American	american	American
citizens	citizen	citizen
?	?	?
Again	again	Again
,	,	,
who	who	who
was	was	wa
using	use	using
force	forc	force
?	?	?
Who	who	Who
committed	commit	committed
acts	act	act
of	of	of
violence	violenc	violence
?	?	?
Was	was	Was
it	it	it
not	not	not
the	the	the
DC	dc	DC
government	govern	government
acting	act	acting
in	in	in
violation	violat	violation
of	of	of
the	the	the
Constitution	constitut	Constitution
s	s	s
requirement	requir	requirement
regarding	regard	regarding
ownership	ownership	ownership
and	and	and
control	control	control
of	of	of
land	land	land
?	?	?
I	i	I
think	think	think
it	it	it
was	was	wa
.	.	.
According	accord	According
to	to	to
the	the	the
DOJ	doj	DOJ
release	releas	release
,	,	,
the	the	the
maximum	maximum	maximum
penalties	penalti	penalty
for	for	for
the	the	the
charges	charg	charge
issued	issu	issued
are	are	are
Conspiracy	conspiraci	Conspiracy
to	to	to
Commit	commit	Commit
an	an	an
Offense	offens	Offense
Against	against	Against
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
5	5	5
years	year	year
,	,	,
250	250	250
,	,	,
000	000	000
fineConspiracy	fineconspiraci	fineConspiracy
to	to	to
Impede	imped	Impede
and	and	and
Injure	injur	Injure
a	a	a
Federal	feder	Federal
Law	law	Law
Enforcement	enforc	Enforcement
Officer	offic	Officer
6	6	6
years	year	year
,	,	,
250	250	250
,	,	,
000	000	000
fineAssault	fineassault	fineAssault
on	on	on
a	a	a
Federal	feder	Federal
Law	law	Law
Enforcement	enforc	Enforcement
Officer	offic	Officer
20	20	20
years	year	year
,	,	,
250	250	250
,	,	,
000	000	000
fineThreatening	finethreaten	fineThreatening
a	a	a
Federal	feder	Federal
Law	law	Law
Enforcement	enforc	Enforcement
Officer	offic	Officer
10	10	10
years	year	year
,	,	,
250	250	250
,	,	,
000	000	000
fineUse	fineus	fineUse
and	and	and
Carry	carri	Carry
of	of	of
a	a	a
Firearm	firearm	Firearm
in	in	in
Relation	relat	Relation
to	to	to
a	a	a
Crime	crime	Crime
of	of	of
Violence	violenc	Violence
5	5	5
years	year	year
minimum	minimum	minimum
and	and	and
consecutiveObstruction	consecutiveobstruct	consecutiveObstruction
of	of	of
the	the	the
Due	due	Due
Administration	administr	Administration
of	of	of
Justice	justic	Justice
10	10	10
years	year	year
,	,	,
250	250	250
,	,	,
000	000	000
fineInterference	fineinterfer	fineInterference
with	with	with
Interstate	interst	Interstate
Commerce	commerc	Commerce
by	by	by
Extortion	extort	Extortion
20	20	20
years	year	year
,	,	,
250	250	250
,	,	,
000	000	000
fineInterstate	fineinterst	fineInterstate
Travel	travel	Travel
in	in	in
Aid	aid	Aid
of	of	of
Extortion	extort	Extortion
20	20	20
years	year	year
,	,	,
250	250	250
,	,	,
000	000	000
fineEditor	fineeditor	fineEditor
s	s	s
Note	note	Note
If	if	If
convicted	convict	convicted
on	on	on
all	all	all
counts	count	count
,	,	,
these	these	these
men	men	men
could	could	could
face	face	face
up	up	up
to	to	to
96	96	96
years	year	year
in	in	in
prison	prison	prison
and	and	and
or	or	or
up	up	up
to	to	to
1	1	1
.	.	.
75	75	75
million	million	million
in	in	in
fines	fine	fine
.	.	.
Would	would	Would
a	a	a
conviction	convict	conviction
on	on	on
all	all	all
counts	count	count
and	and	and
maximum	maximum	maximum
sentence	sentenc	sentence
really	realli	really
surprise	surpris	surprise
anyone	anyon	anyone
?	?	?
This	this	This
indictment	indict	indictment
sends	send	sends
a	a	a
resounding	resound	resounding
message	messag	message
to	to	to
those	those	those
who	who	who
wish	wish	wish
to	to	to
participate	particip	participate
in	in	in
violent	violent	violent
acts	act	act
that	that	that
our	our	our
resolve	resolv	resolve
to	to	to
pursue	pursu	pursue
them	them	them
and	and	and
enforce	enforc	enforce
the	the	the
law	law	law
remains	remain	remains
unwavering	unwav	unwavering
,	,	,
said	said	said
Special	special	Special
Agent	agent	Agent
in	in	in
Charge	charg	Charge
Bucheit	bucheit	Bucheit
.	.	.
No	no	No
,	,	,
the	the	the
indictment	indict	indictment
sends	send	sends
a	a	a
message	messag	message
that	that	that
DC	dc	DC
is	is	is
engaged	engag	engaged
in	in	in
a	a	a
tyrannical	tyrann	tyrannical
overthrow	overthrow	overthrow
of	of	of
the	the	the
Constitution	constitut	Constitution
and	and	and
will	will	will
put	put	put
men	men	men
in	in	in
jail	jail	jail
on	on	on
trumped	trump	trumped
up	up	up
charges	charg	charge
when	when	when
all	all	all
they	they	they
were	were	were
doing	do	doing
was	was	wa
seeking	seek	seeking
to	to	to
expose	expos	expose
the	the	the
criminals	crimin	criminal
and	and	and
uphold	uphold	uphold
the	the	the
Constitution	constitut	Constitution
.	.	.
Today	today	Today
marks	mark	mark
a	a	a
tremendous	tremend	tremendous
step	step	step
toward	toward	toward
ending	end	ending
more	more	more
than	than	than
20	20	20
years	year	year
of	of	of
law	law	law
breaking	break	breaking
,	,	,
said	said	said
Bureau	bureau	Bureau
of	of	of
Land	land	Land
Management	manag	Management
Director	director	Director
Neil	neil	Neil
Kornze	kornz	Kornze
.	.	.
The	the	The
nation	nation	nation
s	s	s
public	public	public
lands	land	land
belong	belong	belong
to	to	to
all	all	all
Americans	american	Americans
.	.	.
Twenty	twenti	Twenty
years	year	year
of	of	of
lawbreaking	lawbreak	lawbreaking
?	?	?
Mr	mr	Mr
.	.	.
Kornze	kornz	Kornze
,	,	,
law	law	law
breaking	break	breaking
continues	continu	continues
under	under	under
the	the	the
current	current	current
administration	administr	administration
just	just	just
as	as	a
it	it	it
has	has	ha
for	for	for
well	well	well
over	over	over
150	150	150
years	year	year
in	in	in
this	this	this
country	countri	country
.	.	.
When	when	When
will	will	will
you	you	you
be	be	be
prosecuting	prosecut	prosecuting
your	your	your
own	own	own
DOJ	doj	DOJ
,	,	,
whose	whose	whose
Bureau	bureau	Bureau
of	of	of
Alcohol	alcohol	Alcohol
,	,	,
Tobacco	tobacco	Tobacco
and	and	and
Firearms	firearm	Firearms
has	has	ha
criminally	crimin	criminally
engaged	engag	engaged
in	in	in
the	the	the
trafficking	traffick	trafficking
of	of	of
thousands	thousand	thousand
of	of	of
weapons	weapon	weapon
across	across	across
the	the	the
Mexican	mexican	Mexican
border	border	border
and	and	and
into	into	into
the	the	the
hands	hand	hand
of	of	of
Mexican	mexican	Mexican
cartels	cartel	cartel
,	,	,
which	which	which
resulted	result	resulted
in	in	in
the	the	the
deaths	death	death
of	of	of
two	two	two
federal	feder	federal
agents	agent	agent
,	,	,
hundreds	hundr	hundred
of	of	of
Mexicans	mexican	Mexicans
and	and	and
who	who	who
knows	know	know
how	how	how
many	mani	many
others	other	others
?	?	?
No	no	No
,	,	,
my	my	my
friends	friend	friend
,	,	,
this	this	this
is	is	is
not	not	not
about	about	about
bringing	bring	bringing
law	law	law
breaking	break	breaking
to	to	to
an	an	an
end	end	end
.	.	.
It	it	It
s	s	s
about	about	about
those	those	those
engaged	engag	engaged
in	in	in
crime	crime	crime
at	at	at
the	the	the
DC	dc	DC
level	level	level
attempting	attempt	attempting
to	to	to
silence	silenc	silence
those	those	those
who	who	who
are	are	are
exposing	expos	exposing
their	their	their
crimes	crime	crime
.	.	.
At	at	At
least	least	least
one	one	one
federal	feder	federal
judge	judg	judge
understood	understood	understood
the	the	the
law	law	law
breaking	break	breaking
of	of	of
the	the	the
Bureau	bureau	Bureau
of	of	of
Land	land	Land
Management	manag	Management
and	and	and
in	in	in
his	his	his
opinion	opinion	opinion
of	of	of
United	unit	United
States	state	States
v	v	v
.	.	.
Estate	estat	Estate
of	of	of
Hage	hage	Hage
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Court	court	Court
Judge	judg	Judge
Robert	robert	Robert
C	c	C
.	.	.
Jones	jone	Jones
revealed	reveal	revealed
the	the	the
criminal	crimin	criminal
actions	action	action
of	of	of
the	the	the
BLM	blm	BLM
against	against	against
Nevada	nevada	Nevada
rancher	rancher	rancher
E	e	E
.	.	.
Wayne	wayn	Wayne
Hage	hage	Hage
.	.	.
Judge	judg	Judge
Jones	jone	Jones
held	held	held
government	govern	government
officials	offici	official
in	in	in
contempt	contempt	contempt
and	and	and
referred	refer	referred
the	the	the
issued	issu	issued
to	to	to
Eric	eric	Eric
Holder	holder	Holder
s	s	s
office	offic	office
.	.	.
We	we	We
all	all	all
know	know	know
what	what	what
happened	happen	happened
nothing	noth	nothing
.	.	.
Kit	kit	Kit
Daniels	daniel	Daniels
reported	report	reported
For	for	For
over	over	over
20	20	20
years	year	year
,	,	,
the	the	the
Bureau	bureau	Bureau
of	of	of
Land	land	Land
Management	manag	Management
engaged	engag	engaged
in	in	in
a	a	a
literal	liter	literal
,	,	,
intentional	intent	intentional
conspiracy	conspiraci	conspiracy
against	against	against
Nevada	nevada	Nevada
ranchers	rancher	rancher
to	to	to
force	forc	force
them	them	them
out	out	out
of	of	of
business	busi	business
,	,	,
according	accord	according
to	to	to
a	a	a
federal	feder	federal
judge	judg	judge
whose	whose	whose
court	court	court
opinion	opinion	opinion
exposes	expos	expose
the	the	the
BLM	blm	BLM
s	s	s
true	true	true
intent	intent	intent
against	against	against
rancher	rancher	rancher
Cliven	cliven	Cliven
Bundy	bundi	Bundy
.	.	.
BLM	blm	BLM
agents	agent	agent
who	who	who
impounded	impound	impounded
Cliven	cliven	Cliven
Bundy	bundi	Bundy
s	s	s
cattle	cattl	cattle
.	.	.
Based	base	Based
upon	upon	upon
E	e	E
.	.	.
Wayne	wayn	Wayne
Hage	hage	Hage
s	s	s
declaration	declar	declaration
that	that	that
he	he	he
refused	refus	refused
to	to	to
waive	waiv	waive
his	his	his
rights	right	right
a	a	a
declaration	declar	declaration
that	that	that
did	did	did
not	not	not
purport	purport	purport
to	to	to
change	chang	change
the	the	the
substance	substanc	substance
of	of	of
the	the	the
grazing	graze	grazing
permit	permit	permit
renewal	renew	renewal
for	for	for
which	which	which
he	he	he
was	was	wa
applying	appli	applying
,	,	,
and	and	and
which	which	which
had	had	had
no	no	no
plausible	plausibl	plausible
legal	legal	legal
effect	effect	effect
other	other	other
than	than	than
to	to	to
superfluously	superflu	superfluously
assert	assert	assert
non	non	non
-waiver	-waiver	-waiver
of	of	of
rights	right	right
the	the	the
Government	govern	Government
denied	deni	denied
him	him	him
a	a	a
renewal	renew	renewal
grazing	graze	grazing
permit	permit	permit
based	base	based
upon	upon	upon
its	it	it
frankly	frank	frankly
nonsensical	nonsens	nonsensical
position	posit	position
that	that	that
such	such	such
an	an	an
assertion	assert	assertion
of	of	of
rights	right	right
meant	meant	meant
that	that	that
the	the	the
application	applic	application
had	had	had
not	not	not
been	been	been
properly	proper	properly
completed	complet	completed
,	,	,
Judge	judg	Judge
Jones	jone	Jones
wrote	wrote	wrote
.	.	.
After	after	After
the	the	the
BLM	blm	BLM
denied	deni	denied
his	his	his
renewal	renew	renewal
grazing	graze	grazing
permit	permit	permit
for	for	for
this	this	this
reason	reason	reason
by	by	by
letter	letter	letter
,	,	,
the	the	the
Hages	hage	Hages
indicated	indic	indicated
that	that	that
they	they	they
would	would	would
take	take	take
the	the	the
issue	issu	issue
to	to	to
court	court	court
,	,	,
and	and	and
they	they	they
sued	su	sued
the	the	the
Government	govern	Government
in	in	in
the	the	the
CFC	cfc	CFC
Court	court	Court
of	of	of
Federal	feder	Federal
Claims	claim	Claims
.	.	.
And	and	And
at	at	at
that	that	that
point	point	point
,	,	,
Jones	jone	Jones
explained	explain	explained
,	,	,
the	the	the
BLM	blm	BLM
refused	refus	refused
to	to	to
consider	consid	consider
any	ani	any
further	further	further
applications	applic	application
from	from	from
Hage	hage	Hage
.	.	.
The	the	The
entire	entir	entire
chain	chain	chain
of	of	of
events	event	event
is	is	is
the	the	the
result	result	result
of	of	of
the	the	the
Government	govern	Government
s	s	s
arbitrary	arbitrari	arbitrary
denial	denial	denial
of	of	of
E	e	E
.	.	.
Wayne	wayn	Wayne
Hage	hage	Hage
s	s	s
renewal	renew	renewal
permit	permit	permit
for	for	for
1993	1993	1993
2003	2003	2003
,	,	,
and	and	and
the	the	the
effects	effect	effect
of	of	of
this	this	this
due	due	due
process	process	process
violation	violat	violation
are	are	are
continuing	continu	continuing
,	,	,
he	he	he
stated	state	stated
.	.	.
This	this	This
behavior	behavior	behavior
shocks	shock	shock
the	the	the
conscience	conscienc	conscience
of	of	of
the	the	the
Court	court	Court
and	and	and
provides	provid	provides
a	a	a
sufficient	suffici	sufficient
basis	basi	basis
for	for	for
a	a	a
finding	find	finding
of	of	of
irreparable	irrepar	irreparable
harm	harm	harm
to	to	to
support	support	support
the	the	the
injunction	injunct	injunction
described	describ	described
at	at	at
the	the	the
end	end	end
of	of	of
this	this	this
Order	order	Order
,	,	,
It	it	It
s	s	s
shocking	shock	shocking
because	becaus	because
these	these	these
men	men	men
should	should	should
have	have	have
been	been	been
upholding	uphold	upholding
the	the	the
law	law	law
,	,	,
but	but	but
instead	instead	instead
,	,	,
turned	turn	turned
against	against	against
the	the	the
American	american	American
people	peopl	people
and	and	and
acted	act	acted
in	in	in
a	a	a
criminal	crimin	criminal
fashion	fashion	fashion
.	.	.
Read	read	Read
the	the	the
indictment	indict	indictment
below	below	below
Federal	feder	Federal
indictment	indict	indictment
against	against	against
Cliven	cliven	Cliven
Bundy	bundi	Bundy
and	and	and
othersVia	othersvia	othersVia
Freedom	freedom	Freedom
Outposth	outposth	Outposth
t	t	t
DC	dc	DC
Clothesline	clotheslin	Clothesline
