House	hous	House
Trump	trump	Trump
s	s	s
obvious	obvious	obvious
and	and	and
repeated	repeat	repeated
bigotry	bigotri	bigotry
.	.	.
Speaking	speak	Speaking
with	with	with
the	the	the
Charlie	charli	Charlie
Sykes	syke	Sykes
radio	radio	radio
show	show	show
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Ryan	ryan	Ryan
said	said	said
of	of	of
the	the	the
racist	racist	racist
tweeting	tweet	tweeting
Look	look	Look
,	,	,
anti	anti	anti
-Semitic	-semit	-Semitic
images	imag	image
have	have	have
no	no	no
place	place	place
in	in	in
a	a	a
presidential	presidenti	presidential
campaign	campaign	campaign
.	.	.
Ryan	ryan	Ryan
went	went	went
on	on	on
to	to	to
condemn	condemn	condemn
the	the	the
tweet	tweet	tweet
as	as	a
anti	anti	anti
-semitic	-semit	-semitic
and	and	and
ridiculous	ridicul	ridiculous
,	,	,
while	while	while
criticizing	critic	criticizing
Trump	trump	Trump
s	s	s
activities	activ	activity
overall	overal	overall
,	,	,
and	and	and
saying	say	saying
the	the	the
volume	volum	volume
of	of	of
ridiculousness	ridicul	ridiculousness
was	was	wa
that	that	that
he	he	he
couldn	couldn	couldn
t	t	t
stop	stop	stop
to	to	to
comment	comment	comment
on	on	on
every	everi	every
crazy	crazi	crazy
thing	thing	thing
Trump	trump	Trump
does	doe	doe
If	if	If
I	i	I
had	had	had
to	to	to
stop	stop	stop
everything	everyth	everything
to	to	to
comment	comment	comment
on	on	on
every	everi	every
ridiculous	ridicul	ridiculous
tweet	tweet	tweet
sent	sent	sent
out	out	out
by	by	by
this	this	this
campaign	campaign	campaign
,	,	,
I	i	I
wouldn	wouldn	wouldn
t	t	t
have	have	have
time	time	time
to	to	to
do	do	do
anything	anyth	anything
.	.	.
I	i	I
really	realli	really
believe	believ	believe
he	he	he
s	s	s
gotta	gotta	gotta
clean	clean	clean
up	up	up
the	the	the
way	way	way
his	his	his
new	new	new
media	media	medium
works	work	work
.	.	.
Here	here	Here
is	is	is
a	a	a
transcript	transcript	transcript
of	of	of
the	the	the
entire	entir	entire
exchange	exchang	exchange
,	,	,
via	via	via
Media	media	Media
Matters	matter	Matters
CHARLIE	charli	CHARLIE
SYKES	syke	SYKES
HOST	host	HOST
I	i	I
have	have	have
to	to	to
ask	ask	ask
you	you	you
about	about	about
this	this	this
,	,	,
the	the	the
headline	headlin	headline
on	on	on
The	the	The
Huffington	huffington	Huffington
Post	post	Post
right	right	right
now	now	now
is	is	is
,	,	,
GOP	gop	GOP
Leaders	leader	Leaders
Totally	total	Totally
Ignored	ignor	Ignored
Donald	donald	Donald
Trump	trump	Trump
s	s	s
Anti	anti	Anti
-Semitic	-semit	-Semitic
Clinton	clinton	Clinton
Tweet	tweet	Tweet
.	.	.
The	the	The
image	imag	image
,	,	,
which	which	which
Trump	trump	Trump
later	later	later
took	took	took
down	down	down
,	,	,
showed	show	showed
the	the	the
Democratic	democrat	Democratic
presidential	presidenti	presidential
candidate	candid	candidate
s	s	s
face	face	face
next	next	next
to	to	to
a	a	a
star	star	star
of	of	of
David	david	David
that	that	that
read	read	read
,	,	,
most	most	most
corrupt	corrupt	corrupt
candidate	candid	candidate
ever	ever	ever
.	.	.
The	the	The
anti	anti	anti
-defamation	-defam	-defamation
league	leagu	league
denounced	denounc	denounced
the	the	the
tweet	tweet	tweet
.	.	.
Clinton	clinton	Clinton
called	call	called
it	it	it
blatantly	blatant	blatantly
anti	anti	anti
-Semitic	-semit	-Semitic
.	.	.
Your	your	Your
reaction	reaction	reaction
to	to	to
Donald	donald	Donald
Trump	trump	Trump
s	s	s
use	use	use
of	of	of
that	that	that
image	imag	image
?	?	?
SPEAKER	speaker	SPEAKER
PAUL	paul	PAUL
RYAN	ryan	RYAN
Look	look	Look
,	,	,
anti	anti	anti
-Semitic	-semit	-Semitic
images	imag	image
have	have	have
no	no	no
place	place	place
in	in	in
a	a	a
presidential	presidenti	presidential
campaign	campaign	campaign
.	.	.
Candidates	candid	Candidates
should	should	should
know	know	know
that	that	that
.	.	.
The	the	The
tweet	tweet	tweet
has	has	ha
been	been	been
deleted	delet	deleted
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
what	what	what
flunky	flunki	flunky
put	put	put
this	this	this
up	up	up
there	there	there
.	.	.
They	they	They
obviously	obvious	obviously
have	have	have
to	to	to
fix	fix	fix
that	that	that
.	.	.
We	we	We
have	have	have
to	to	to
get	get	get
back	back	back
to	to	to
the	the	the
issues	issu	issue
that	that	that
matter	matter	matter
to	to	to
the	the	the
public	public	public
.	.	.
I	i	I
was	was	wa
doing	do	doing
the	the	the
Kenosha	kenosha	Kenosha
parade	parad	parade
,	,	,
the	the	the
Marine	marin	Marine
parade	parad	parade
,	,	,
grilling	grill	grilling
brats	brat	brat
with	with	with
volunteers	volunt	volunteer
and	and	and
families	famili	family
,	,	,
if	if	if
I	i	I
had	had	had
to	to	to
stop	stop	stop
everything	everyth	everything
and	and	and
comment	comment	comment
to	to	to
a	a	a
ridiculous	ridicul	ridiculous
tweet	tweet	tweet
sent	sent	sent
out	out	out
by	by	by
this	this	this
campaign	campaign	campaign
I	i	I
would	would	would
have	have	have
no	no	no
time	time	time
for	for	for
anything	anyth	anything
else	els	else
.	.	.
SYKES	syke	SYKES
Yeah	yeah	Yeah
,	,	,
well	well	well
,	,	,
this	this	this
is	is	is
like	like	like
the	the	the
fifth	fifth	fifth
time	time	time
though	though	though
that	that	that
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
you	you	you
are	are	are
supporting	support	supporting
let	let	let
me	me	me
remind	remind	remind
you	you	you
.	.	.
RYAN	ryan	RYAN
I	i	I
know	know	know
,	,	,
you	you	you
have	have	have
reminded	remind	reminded
me	me	me
this	this	this
.	.	.
SYKES	syke	SYKES
I	i	I
know	know	know
.	.	.
But	but	But
has	has	ha
tweeted	tweet	tweeted
something	someth	something
that	that	that
at	at	at
some	some	some
point	point	point
does	doe	doe
Reince	reinc	Reince
Priebus	priebus	Priebus
or	or	or
somebody	somebodi	somebody
else	els	else
need	need	need
to	to	to
get	get	get
him	him	him
on	on	on
the	the	the
phone	phone	phone
and	and	and
say	say	say
,	,	,
Mr	mr	Mr
.	.	.
Trump	trump	Trump
you	you	you
have	have	have
got	got	got
to	to	to
stop	stop	stop
tweeting	tweet	tweeting
these	these	these
things	thing	thing
.	.	.
These	these	These
things	thing	thing
are	are	are
no	no	no
longer	longer	longer
accidents	accid	accident
.	.	.
RYAN	ryan	RYAN
Yeah	yeah	Yeah
,	,	,
I	i	I
really	realli	really
believe	believ	believe
he	he	he
needs	need	need
to	to	to
clean	clean	clean
up	up	up
the	the	the
way	way	way
his	his	his
new	new	new
media	media	medium
works	work	work
.	.	.
Most	most	Most
importantly	import	importantly
,	,	,
as	as	a
you	you	you
know	know	know
,	,	,
one	one	one
of	of	of
the	the	the
few	few	few
times	time	time
I	i	I
spoke	spoke	spoke
out	out	out
against	against	against
him	him	him
during	dure	during
the	the	the
primary	primari	primary
very	veri	very
forcefully	forc	forcefully
was	was	wa
in	in	in
this	this	this
area	area	area
.	.	.
When	when	When
he	he	he
failed	fail	failed
to	to	to
disavow	disavow	disavow
supremacists	supremacist	supremacist
,	,	,
white	white	white
supremacists	supremacist	supremacist
.	.	.
So	so	So
look	look	look
,	,	,
I	i	I
think	think	think
this	this	this
is	is	is
really	realli	really
really	realli	really
clear	clear	clear
,	,	,
the	the	the
point	point	point
is	is	is
,	,	,
I	i	I
think	think	think
he	he	he
needs	need	need
to	to	to
clean	clean	clean
this	this	this
up	up	up
.	.	.
My	my	My
understanding	understand	understanding
this	this	this
was	was	wa
done	done	done
by	by	by
staff	staff	staff
not	not	not
by	by	by
he	he	he
himself	himself	himself
.	.	.
More	more	More
importantly	import	importantly
they	they	they
got	got	got
to	to	to
clean	clean	clean
this	this	this
thing	thing	thing
up	up	up
.	.	.
Well	well	Well
,	,	,
Paul	paul	Paul
Ryan	ryan	Ryan
is	is	is
right	right	right
there	there	there
.	.	.
He	he	He
can	can	can
t	t	t
keep	keep	keep
up	up	up
with	with	with
every	everi	every
racist	racist	racist
thing	thing	thing
Trump	trump	Trump
does	doe	doe
.	.	.
After	after	After
all	all	all
,	,	,
Trump	trump	Trump
and	and	and
or	or	or
his	his	his
campaign	campaign	campaign
staffers	staffer	staffer
tweet	tweet	tweet
insanely	insan	insanely
bigoted	bigot	bigoted
things	thing	thing
in	in	in
one	one	one
variety	varieti	variety
or	or	or
another	anoth	another
on	on	on
an	an	an
almost	almost	almost
daily	daili	daily
basis	basi	basis
at	at	at
this	this	this
point	point	point
.	.	.
It	it	It
s	s	s
like	like	like
David	david	David
Duke	duke	Duke
himself	himself	himself
is	is	is
running	run	running
that	that	that
campaign	campaign	campaign
.	.	.
However	howev	However
,	,	,
the	the	the
thing	thing	thing
that	that	that
Ryan	ryan	Ryan
needs	need	need
to	to	to
do	do	do
is	is	is
this	this	this
publicly	public	publicly
rescind	rescind	rescind
his	his	his
endorsement	endors	endorsement
of	of	of
Donald	donald	Donald
Trump	trump	Trump
.	.	.
He	he	He
s	s	s
clearly	clear	clearly
a	a	a
bigot	bigot	bigot
of	of	of
the	the	the
first	first	first
order	order	order
,	,	,
and	and	and
therefore	therefor	therefore
has	has	ha
absolutely	absolut	absolutely
NO	no	NO
BUSINESS	busi	BUSINESS
being	be	being
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
This	this	This
isn	isn	isn
t	t	t
about	about	about
cleaning	clean	cleaning
up	up	up
social	social	social
media	media	medium
.	.	.
It	it	It
s	s	s
about	about	about
clear	clear	clear
,	,	,
deliberate	deliber	deliberate
,	,	,
and	and	and
obvious	obvious	obvious
bigotry	bigotri	bigotry
.	.	.
Paul	paul	Paul
Ryan	ryan	Ryan
and	and	and
the	the	the
rest	rest	rest
of	of	of
the	the	the
GOP	gop	GOP
know	know	know
this	this	this
,	,	,
but	but	but
instead	instead	instead
they	they	they
keep	keep	keep
pushing	push	pushing
for	for	for
a	a	a
literal	liter	literal
bigoted	bigot	bigoted
fascist	fascist	fascist
to	to	to
become	becom	become
the	the	the
next	next	next
leader	leader	leader
of	of	of
the	the	the
free	free	free
world	world	world
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Win	win	Win
McNamee	mcname	McNamee
Getty	getti	Getty
Images	imag	Images
