Only	onli	Only
environmentalist	environmentalist	environmentalist
even	even	even
though	though	though
Arkansas	arkansa	Arkansas
was	was	wa
an	an	an
environmental	environment	environmental
disaster	disast	disaster
during	dure	during
his	his	his
tenure	tenur	tenure
as	as	a
governor	governor	governor
.	.	.

Mr	mr	Mr
.	.	.
Clinton	clinton	Clinton
,	,	,
that	that	that
was	was	wa
a	a	a
very	veri	very
nice	nice	nice
,	,	,
flowery	floweri	flowery
little	littl	little
speech	speech	speech
,	,	,
but	but	but
we	we	we
have	have	have
to	to	to
start	start	start
reading	read	reading
the	the	the
records	record	record
and	and	and
not	not	not
the	the	the
lips	lip	lip
,	,	,
said	said	said
Harkin	harkin	Harkin
,	,	,
who	who	who
went	went	went
on	on	on
to	to	to
point	point	point
out	out	out
that	that	that
Arkansas	arkansa	Arkansas
was	was	wa
rated	rate	rated
last	last	last
in	in	in
environmental	environment	environmental
policy	polici	policy
during	dure	during
his	his	his
governorship	governorship	governorship
.	.	.
Here	here	Here
s	s	s
video	video	video
of	of	of
the	the	the
interaction	interact	interaction
Harkin	harkin	Harkin
also	also	also
said	said	said
that	that	that
Clinton	clinton	Clinton
s	s	s
Environmental	environment	Environmental
Protection	protect	Protection
Agency	agenc	Agency
was	was	wa
a	a	a
joke	joke	joke
and	and	and
that	that	that
it	it	it
was	was	wa
loaded	load	loaded
with	with	with
representatives	repres	representative
of	of	of
the	the	the
biggest	biggest	biggest
polluter	pollut	polluter
in	in	in
Arkansas	arkansa	Arkansas
.	.	.

That	that	That
polluter	pollut	polluter
was	was	wa
Tyson	tyson	Tyson
Foods	food	Foods
,	,	,
a	a	a
powerful	power	powerful
political	polit	political
backer	backer	backer
of	of	of
Clinton	clinton	Clinton
that	that	that
contaminated	contamin	contaminated
the	the	the
drinking	drink	drinking
water	water	water
supply	suppli	supply
of	of	of
more	more	more
than	than	than
300	300	300
,	,	,
000	000	000
people	peopl	people
with	with	with
roughly	rough	roughly
500	500	500
,	,	,
000	000	000
tons	ton	ton
of	of	of
chicken	chicken	chicken
waste	wast	waste
that	that	that
was	was	wa
dumped	dump	dumped
into	into	into
streams	stream	stream
.	.	.

The	the	The
presence	presenc	presence
of	of	of
fecal	fecal	fecal
bacteria	bacteria	bacteria
in	in	in
the	the	the
water	water	water
caused	caus	caused
entire	entir	entire
towns	town	town
near	near	near
Tyson	tyson	Tyson
plants	plant	plant
to	to	to
be	be	be
plagued	plagu	plagued
by	by	by
chronic	chronic	chronic
dysentery	dysenteri	dysentery
and	and	and
salmonella	salmonella	salmonella
.	.	.
In	in	In
one	one	one
case	case	case
,	,	,
it	it	it
took	took	took
Clinton	clinton	Clinton
17	17	17
months	month	month
after	after	after
being	be	being
notified	notifi	notified
by	by	by
health	health	health
inspectors	inspector	inspector
that	that	that
a	a	a
Tyson	tyson	Tyson
plant	plant	plant
was	was	wa
leaking	leak	leaking
1	1	1
million	million	million
gallons	gallon	gallon
of	of	of
sewage	sewag	sewage
into	into	into
a	a	a
town	town	town
s	s	s
water	water	water
supply	suppli	supply
to	to	to
take	take	take
any	ani	any
action	action	action
.	.	.
This	this	This
turned	turn	turned
into	into	into
a	a	a
major	major	major
issue	issu	issue
in	in	in
the	the	the
1992	1992	1992
campaign	campaign	campaign
,	,	,
and	and	and
not	not	not
just	just	just
for	for	for
Clinton	clinton	Clinton
s	s	s
opponents	oppon	opponent
.	.	.
After	after	After
Clinton	clinton	Clinton
won	won	won
his	his	his
party	parti	party
s	s	s
nomination	nomin	nomination
,	,	,
CNN	cnn	CNN
sent	sent	sent
a	a	a
reporter	report	reporter
to	to	to
Arkansas	arkansa	Arkansas
to	to	to
examine	examin	examine
just	just	just
how	how	how
bad	bad	bad
the	the	the
environmental	environment	environmental
situation	situat	situation
was	was	wa
.	.	.
Here	here	Here
s	s	s
video	video	video
of	of	of
the	the	the
lengthy	lengthi	lengthy
report	report	report
The	the	The
report	report	report
found	found	found
that	that	that
state	state	state
agencies	agenc	agency
were	were	were
aware	awar	aware
that	that	that
3	3	3
,	,	,
700	700	700
miles	mile	mile
of	of	of
Arkansas	arkansa	Arkansas
waterways	waterway	waterway
were	were	were
at	at	at
risk	risk	risk
of	of	of
being	be	being
destroyed	destroy	destroyed
by	by	by
agricultural	agricultur	agricultural
source	sourc	source
pollution	pollut	pollution
and	and	and
that	that	that
it	it	it
took	took	took
Clinton	clinton	Clinton
until	until	until
1990	1990	1990
to	to	to
create	creat	create
a	a	a
task	task	task
force	forc	force
to	to	to
address	address	address
the	the	the
problem	problem	problem
.	.	.
One	one	One
scientist	scientist	scientist
who	who	who
focused	focus	focused
on	on	on
the	the	the
quality	qualiti	quality
of	of	of
Arkansas	arkansa	Arkansas
water	water	water
expressed	express	expressed
his	his	his
belief	belief	belief
to	to	to
CNN	cnn	CNN
that	that	that
the	the	the
only	onli	only
reason	reason	reason
Clinton	clinton	Clinton
formed	form	formed
the	the	the
task	task	task
force	forc	force
was	was	wa
because	becaus	because
of	of	of
his	his	his
presidential	presidenti	presidential
aspirations	aspir	aspiration
.	.	.

I	i	I
think	think	think
there	there	there
is	is	is
a	a	a
direct	direct	direct
connection	connect	connection
between	between	between
the	the	the
current	current	current
emphasis	emphasi	emphasis
on	on	on
animal	anim	animal
waste	wast	waste
and	and	and
runoff	runoff	runoff
and	and	and
his	his	his
bid	bid	bid
for	for	for
the	the	the
presidency	presid	presidency
,	,	,
said	said	said
hydrologist	hydrologist	hydrologist
Skip	skip	Skip
Halterman	halterman	Halterman
.	.	.
Clinton	clinton	Clinton
is	is	is
also	also	also
criticized	critic	criticized
by	by	by
CNN	cnn	CNN
for	for	for
giving	give	giving
a	a	a
third	third	third
of	of	of
the	the	the
seats	seat	seat
on	on	on
the	the	the
task	task	task
force	forc	force
to	to	to
members	member	member
of	of	of
the	the	the
poultry	poultri	poultry
industry	industri	industry
that	that	that
was	was	wa
a	a	a
major	major	major
source	sourc	source
of	of	of
political	polit	political
contributions	contribut	contribution
for	for	for
Clinton	clinton	Clinton
.	.	.

Via	via	Via
WFB	wfb	WFB

