Here	here	Here
mocked	mock	mocked
liberal	liber	liberal
news	news	news
network	network	network
CNN	cnn	CNN
on	on	on
a	a	a
school	school	school
field	field	field
trip	trip	trip
to	to	to
CNN	cnn	CNN
s	s	s
Atlanta	atlanta	Atlanta
headquarters	headquart	headquarters
but	but	but
the	the	the
boy	boy	boy
s	s	s
parents	parent	parent
think	think	think
the	the	the
school	school	school
violated	violat	violated
the	the	the
First	first	First
Amendment	amend	Amendment
by	by	by
making	make	making
their	their	their
son	son	son
take	take	take
it	it	it
off	off	off
.	.	.
Nancy	nanci	Nancy
and	and	and
Stan	stan	Stan
Jester	jester	Jester
,	,	,
of	of	of
Dekalb	dekalb	Dekalb
,	,	,
are	are	are
both	both	both
local	local	local
elected	elect	elected
officials	offici	official
,	,	,
she	she	she
a	a	a
county	counti	county
commissioner	commission	commissioner
and	and	and
he	he	he
is	is	is
a	a	a
member	member	member
of	of	of
the	the	the
local	local	local
school	school	school
board	board	board
.	.	.
Their	their	Their
son	son	son
,	,	,
seventh	seventh	seventh
-grader	-grader	-grader
Jaxon	jaxon	Jaxon
,	,	,
wore	wore	wore
a	a	a
shirt	shirt	shirt
mocking	mock	mocking
the	the	the
CNN	cnn	CNN
logo	logo	logo
as	as	a
FNN	fnn	FNN
with	with	with
the	the	the
caption	caption	caption
,	,	,
Fake	fake	Fake
News	news	News
Network	network	Network
.	.	.
A	a	A
teacher	teacher	teacher
asked	ask	asked
him	him	him
to	to	to
remove	remov	remove
it	it	it
before	befor	before
the	the	the
tour	tour	tour
,	,	,
but	but	but
the	the	the
school	school	school
has	has	ha
since	sinc	since
apologized	apolog	apologized
to	to	to
the	the	the
Jesters	jester	Jesters
.	.	.
However	howev	However
,	,	,
the	the	the
parents	parent	parent
want	want	want
an	an	an
apology	apolog	apology
for	for	for
Jaxon	jaxon	Jaxon
because	becaus	because
,	,	,
they	they	they
say	say	say
,	,	,
the	the	the
whole	whole	whole
thing	thing	thing
was	was	wa
his	his	his
idea	idea	idea
and	and	and
he	he	he
has	has	ha
the	the	the
right	right	right
to	to	to
free	free	free
speech	speech	speech
.	.	.
This	this	This
year	year	year
when	when	when
the	the	the
CNN	cnn	CNN
tour	tour	tour
was	was	wa
announced	announc	announced
,	,	,
my	my	my
7th	7th	7th
grade	grade	grade
son	son	son
Jaxon	jaxon	Jaxon
asked	ask	asked
me	me	me
if	if	if
he	he	he
could	could	could
purchase	purchas	purchase
an	an	an
FNN	fnn	FNN
-Fake	-fake	-Fake
News	news	News
Network	network	Network
shirt	shirt	shirt
to	to	to
wear	wear	wear
for	for	for
his	his	his
field	field	field
trip	trip	trip
,	,	,
Stan	stan	Stan
Jester	jester	Jester
wrote	wrote	wrote
in	in	in
a	a	a
blog	blog	blog
post	post	post
.	.	.
As	as	As
an	an	an
advocate	advoc	advocate
for	for	for
the	the	the
First	first	First
Amendment	amend	Amendment
,	,	,
I	i	I
agreed	agre	agreed
to	to	to
his	his	his
request	request	request
.	.	.
Jester	jester	Jester
continued	continu	continued
His	his	His
mother	mother	mother
cautioned	caution	cautioned
him	him	him
that	that	that
he	he	he
might	might	might
cause	caus	cause
a	a	a
controversy	controversi	controversy
and	and	and
needed	need	needed
to	to	to
be	be	be
prepared	prepar	prepared
for	for	for
that	that	that
.	.	.
He	he	He
was	was	wa
fully	fulli	fully
aware	awar	aware
of	of	of
the	the	the
implications	implic	implication
of	of	of
his	his	his
decision	decis	decision
and	and	and
made	made	made
the	the	the
affirmative	affirm	affirmative
choice	choic	choice
to	to	to
wear	wear	wear
his	his	his
shirt	shirt	shirt
.	.	.
The	the	The
boy	boy	boy
s	s	s
father	father	father
wrote	wrote	wrote
that	that	that
he	he	he
is	is	is
disappointed	disappoint	disappointed
by	by	by
the	the	the
hypocrisy	hypocrisi	hypocrisy
of	of	of
the	the	the
decision	decis	decision
to	to	to
make	make	make
his	his	his
son	son	son
change	chang	change
his	his	his
shirt	shirt	shirt
.	.	.
Some	some	Some
students	student	student
are	are	are
celebrated	celebr	celebrated
when	when	when
they	they	they
make	make	make
a	a	a
controversial	controversi	controversial
display	display	display
during	dure	during
the	the	the
National	nation	National
Anthem	anthem	Anthem
.	.	.
My	my	My
student	student	student
was	was	wa
forced	forc	forced
to	to	to
remove	remov	remove
his	his	his
shirt	shirt	shirt
because	becaus	because
someone	someon	someone
didn	didn	didn
t	t	t
like	like	like
it	it	it
.	.	.
I	i	I
defend	defend	defend
speech	speech	speech
and	and	and
expression	express	expression
,	,	,
even	even	even
if	if	if
I	i	I
disagree	disagre	disagree
,	,	,
or	or	or
it	it	it
makes	make	make
me	me	me
uncomfortable	uncomfort	uncomfortable
,	,	,
he	he	he
wrote	wrote	wrote
.	.	.
AJC	ajc	AJC
S	s	S
LIBERAL	liber	LIBERAL
MAUREEN	maureen	MAUREEN
DOWNEY	downey	DOWNEY
GIVES	give	GIVES
HER	her	HER
TWO	two	TWO
CENTS	cent	CENTS
WORTH	worth	WORTH
The	the	The
Atlanta	atlanta	Atlanta
Journal	journal	Journal
-Constitution	-constitut	-Constitution
s	s	s
Maureen	maureen	Maureen
Downey	downey	Downey
wrote	wrote	wrote
a	a	a
column	column	column
asking	ask	asking
,	,	,
Was	was	Was
a	a	a
Dekalb	dekalb	Dekalb
board	board	board
member	member	member
wrong	wrong	wrong
to	to	to
allow	allow	allow
son	son	son
to	to	to
wear	wear	wear
insulting	insult	insulting
T	t	T
-shirt	-shirt	-shirt
to	to	to
CNN	cnn	CNN
tour	tour	tour
?	?	?
At	at	At
the	the	the
end	end	end
of	of	of
her	her	her
column	column	column
,	,	,
Downey	downey	Downey
declared	declar	declared
that	that	that
,	,	,
As	as	As
a	a	a
parent	parent	parent
who	who	who
has	has	ha
chaperoned	chaperon	chaperoned
a	a	a
lot	lot	lot
of	of	of
field	field	field
trips	trip	trip
,	,	,
I	i	I
would	would	would
avoid	avoid	avoid
sending	send	sending
my	my	my
child	child	child
off	off	off
with	with	with
an	an	an
attitude	attitud	attitude
or	or	or
attire	attir	attire
that	that	that
could	could	could
create	creat	create
problems	problem	problem
not	not	not
only	onli	only
for	for	for
teachers	teacher	teacher
,	,	,
but	but	but
parent	parent	parent
chaperones	chaperon	chaperone
,	,	,
most	most	most
of	of	of
whom	whom	whom
take	take	take
off	off	off
work	work	work
to	to	to
give	give	give
their	their	their
time	time	time
.	.	.
READ	read	READ
MORE	more	MORE
FOX	fox	FOX
NEWS	news	NEWS
