Rudy	rudi	Rudy
.	.	.
So	so	So
President	presid	President
Obama	obama	Obama
s	s	s
presence	presenc	presence
would	would	would
have	have	have
been	been	been
a	a	a
major	major	major
distraction	distract	distraction
and	and	and
would	would	would
have	have	have
kept	kept	kept
first	first	first
responders	respond	responder
from	from	from
doing	do	doing
their	their	their
jobs	job	job
to	to	to
help	help	help
those	those	those
in	in	in
need	need	need
.	.	.
But	but	But
that	that	that
doesn	doesn	doesn
t	t	t
mean	mean	mean
President	presid	President
Obama	obama	Obama
has	has	ha
done	done	done
nothing	noth	nothing
like	like	like
Republicans	republican	Republicans
would	would	would
have	have	have
us	us	u
believe	believ	believe
.	.	.
Gov	gov	Gov
.	.	.
Edwards	edward	Edwards
said	said	said
on	on	on
that	that	that
point	point	point
I	i	I
do	do	do
want	want	want
you	you	you
to	to	to
know	know	know
,	,	,
and	and	and
your	your	your
viewers	viewer	viewer
to	to	to
know	know	know
,	,	,
that	that	that
within	within	within
hours	hour	hour
of	of	of
me	me	me
making	make	making
a	a	a
request	request	request
for	for	for
a	a	a
federal	feder	federal
declaration	declar	declaration
I	i	I
got	got	got
it	it	it
from	from	from
the	the	the
president	presid	president
.	.	.
He	he	He
called	call	called
me	me	me
.	.	.
I	i	I
want	want	want
you	you	you
to	to	to
know	know	know
that	that	that
I	i	I
ve	ve	ve
been	been	been
speaking	speak	speaking
to	to	to
Valerie	valeri	Valerie
Jarrett	jarrett	Jarrett
just	just	just
about	about	about
every	everi	every
day	day	day
.	.	.
He	he	He
dispatched	dispatch	dispatched
the	the	the
FEMA	fema	FEMA
administrator	administr	administrator
to	to	to
meet	meet	meet
with	with	with
me	me	me
for	for	for
an	an	an
entire	entir	entire
day	day	day
.	.	.
Today	today	Today
I	i	I
had	had	had
the	the	the
Homeland	homeland	Homeland
Security	secur	Security
Secretary	secretari	Secretary
Jeh	jeh	Jeh
Johnson	johnson	Johnson
.	.	.
We	we	We
ve	ve	ve
also	also	also
had	had	had
the	the	the
four	four	four
-star	-star	-star
general	general	general
who	who	who
runs	run	run
all	all	all
of	of	of
the	the	the
guard	guard	guard
for	for	for
the	the	the
country	countri	country
here	here	here
today	today	today
.	.	.
And	and	And
that	that	that
s	s	s
in	in	in
addition	addit	addition
to	to	to
FEMA	fema	FEMA
workers	worker	worker
who	who	who
have	have	have
been	been	been
embedded	embed	embedded
in	in	in
the	the	the
state	state	state
in	in	in
preparation	prepar	preparation
for	for	for
the	the	the
relief	relief	relief
effort	effort	effort
.	.	.
President	presid	President
Bush	bush	Bush
was	was	wa
not	not	not
so	so	so
much	much	much
criticized	critic	criticized
for	for	for
not	not	not
visiting	visit	visiting
as	as	a
much	much	much
as	as	a
he	he	he
was	was	wa
criticized	critic	criticized
for	for	for
not	not	not
being	be	being
prepared	prepar	prepared
and	and	and
not	not	not
doing	do	doing
enough	enough	enough
to	to	to
help	help	help
the	the	the
victims	victim	victim
in	in	in
the	the	the
wake	wake	wake
of	of	of
Hurricane	hurrican	Hurricane
Katrina	katrina	Katrina
,	,	,
a	a	a
storm	storm	storm
that	that	that
took	took	took
the	the	the
lives	live	life
of	of	of
nearly	near	nearly
2	2	2
,	,	,
000	000	000
people	peopl	people
.	.	.
FEMA	fema	FEMA
was	was	wa
completely	complet	completely
disorganized	disorgan	disorganized
under	under	under
Bush	bush	Bush
s	s	s
watch	watch	watch
.	.	.
But	but	But
President	presid	President
Obama	obama	Obama
has	has	ha
been	been	been
on	on	on
top	top	top
of	of	of
this	this	this
latest	latest	latest
disaster	disast	disaster
in	in	in
Louisiana	louisiana	Louisiana
since	sinc	since
the	the	the
beginning	begin	beginning
.	.	.
So	so	So
Giuliani	giuliani	Giuliani
is	is	is
out	out	out
of	of	of
line	line	line
for	for	for
criticizing	critic	criticizing
President	presid	President
Obama	obama	Obama
.	.	.
And	and	And
he	he	he
is	is	is
out	out	out
of	of	of
line	line	line
for	for	for
criticizing	critic	criticizing
Bel	bel	Bel
Edwards	edward	Edwards
for	for	for
making	make	making
a	a	a
reasonable	reason	reasonable
request	request	request
of	of	of
Trump	trump	Trump
.	.	.
Louisiana	louisiana	Louisiana
needs	need	need
help	help	help
,	,	,
not	not	not
photo	photo	photo
-ops	-op	-ops
.	.	.
Trump	trump	Trump
visited	visit	visited
a	a	a
Republican	republican	Republican
dominated	domin	dominated
area	area	area
to	to	to
make	make	make
it	it	it
look	look	look
like	like	like
he	he	he
was	was	wa
universally	univers	universally
welcomed	welcom	welcomed
in	in	in
the	the	the
state	state	state
when	when	when
it	it	it
is	is	is
clear	clear	clear
that	that	that
he	he	he
wasn	wasn	wasn
t	t	t
.	.	.
President	presid	President
Obama	obama	Obama
s	s	s
presence	presenc	presence
would	would	would
have	have	have
only	onli	only
hindered	hinder	hindered
the	the	the
rescue	rescu	rescue
and	and	and
recovery	recoveri	recovery
effort	effort	effort
.	.	.
And	and	And
you	you	you
know	know	know
Republicans	republican	Republicans
would	would	would
have	have	have
whined	whine	whined
about	about	about
that	that	that
if	if	if
he	he	he
had	had	had
visited	visit	visited
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
