Ben	ben	Ben
6th	6th	6th
in	in	in
Iowa	iowa	Iowa
,	,	,
his	his	his
campaign	campaign	campaign
chairman	chairman	chairman
Robert	robert	Robert
Dees	dee	Dees
was	was	wa
talking	talk	talking
to	to	to
reporters	report	reporter
.	.	.
Normally	normal	Normally
this	this	this
would	would	would
be	be	be
a	a	a
good	good	good
thing	thing	thing
,	,	,
but	but	but
Dees	dee	Dees
happens	happen	happens
to	to	to
be	be	be
a	a	a
raging	rage	raging
homophobe	homophob	homophobe
and	and	and
the	the	the
questions	question	question
happened	happen	happened
to	to	to
be	be	be
about	about	about
gay	gay	gay
soldiers	soldier	soldier
.	.	.
Speaking	speak	Speaking
with	with	with
radio	radio	radio
host	host	host
Alan	alan	Alan
Colmes	colm	Colmes
,	,	,
Dees	dee	Dees
was	was	wa
insistent	insist	insistent
that	that	that
gay	gay	gay
people	peopl	people
cannot	cannot	cannot
be	be	be
allowed	allow	allowed
to	to	to
be	be	be
open	open	open
about	about	about
their	their	their
sexual	sexual	sexual
orientation	orient	orientation
or	or	or
risk	risk	risk
destroying	destroy	destroying
the	the	the
entire	entir	entire
military	militari	military
.	.	.
Well	well	Well
the	the	the
ultimate	ultim	ultimate
test	test	test
for	for	for
military	militari	military
effectiveness	effect	effectiveness
is	is	is
readiness	readi	readiness
,	,	,
it	it	it
s	s	s
cohesion	cohes	cohesion
,	,	,
and	and	and
anything	anyth	anything
that	that	that
detracts	detract	detracts
from	from	from
that	that	that
is	is	is
important	import	important
.	.	.
Dr	dr	Dr
.	.	.
Carson	carson	Carson
often	often	often
says	say	say
it	it	it
s	s	s
important	import	important
for	for	for
people	peopl	people
to	to	to
have	have	have
rights	right	right
in	in	in
accordance	accord	accordance
with	with	with
life	life	life
,	,	,
liberty	liberti	liberty
,	,	,
and	and	and
the	the	the
pursuit	pursuit	pursuit
of	of	of
happiness	happi	happiness
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
,	,	,
but	but	but
no	no	no
particular	particular	particular
group	group	group
ought	ought	ought
to	to	to
have	have	have
extra	extra	extra
rights	right	right
.	.	.
Why	whi	Why
would	would	would
the	the	the
right	right	right
to	to	to
be	be	be
yourself	yourself	yourself
be	be	be
considered	consid	considered
an	an	an
extra	extra	extra
right	right	right
?	?	?
Dees	dee	Dees
explains	explain	explains
Where	where	Where
the	the	the
extra	extra	extra
rights	right	right
come	come	come
in	in	in
is	is	is
when	when	when
the	the	the
gays	gay	gay
in	in	in
the	the	the
military	militari	military
become	becom	become
somewhat	somewhat	somewhat
militaristic	militarist	militaristic
to	to	to
the	the	the
detriment	detriment	detriment
of	of	of
unit	unit	unit
cohesion	cohes	cohesion
,	,	,
he	he	he
said	said	said
.	.	.
Dees	dee	Dees
added	ad	added
that	that	that
a	a	a
question	question	question
to	to	to
be	be	be
considered	consid	considered
in	in	in
determining	determin	determining
policy	polici	policy
toward	toward	toward
gay	gay	gay
people	peopl	people
in	in	in
the	the	the
military	militari	military
was	was	wa
,	,	,
whether	whether	whether
they	they	they
,	,	,
in	in	in
the	the	the
military	militari	military
,	,	,
flaunt	flaunt	flaunt
it	it	it
and	and	and
disrupt	disrupt	disrupt
cohesion	cohes	cohesion
.	.	.
Heaven	heaven	Heaven
forbid	forbid	forbid
soldiers	soldier	soldier
become	becom	become
too	too	too
militaristic	militarist	militaristic
in	in	in
the	the	the
military	militari	military
.	.	.
However	howev	However
,	,	,
Dees	dee	Dees
was	was	wa
not	not	not
talking	talk	talking
about	about	about
fighting	fight	fighting
.	.	.
He	he	He
was	was	wa
worried	worri	worried
that	that	that
gay	gay	gay
people	peopl	people
would	would	would
use	use	use
their	their	their
secret	secret	secret
weapon	weapon	weapon
Flaunting	flaunt	Flaunting
their	their	their
gayness	gay	gayness
.	.	.
What	what	What
makes	make	make
Dees	dee	Dees
statements	statement	statement
so	so	so
cringeworthy	cringeworthi	cringeworthy
is	is	is
that	that	that
he	he	he
isn	isn	isn
t	t	t
just	just	just
an	an	an
idiot	idiot	idiot
,	,	,
he	he	he
s	s	s
an	an	an
idiot	idiot	idiot
who	who	who
used	use	used
to	to	to
be	be	be
a	a	a
general	general	general
in	in	in
the	the	the
military	militari	military
.	.	.
As	as	As
such	such	such
,	,	,
he	he	he
might	might	might
have	have	have
bothered	bother	bothered
to	to	to
read	read	read
up	up	up
on	on	on
the	the	the
military	militari	military
s	s	s
own	own	own
research	research	research
into	into	into
how	how	how
gay	gay	gay
people	peopl	people
effect	effect	effect
a	a	a
unit	unit	unit
s	s	s
cohesion	cohes	cohesion
.	.	.
All	all	All
the	the	the
way	way	way
back	back	back
in	in	in
2010	2010	2010
,	,	,
the	the	the
Pentagon	pentagon	Pentagon
was	was	wa
telling	tell	telling
the	the	the
president	presid	president
and	and	and
the	the	the
nation	nation	nation
that	that	that
repealing	repeal	repealing
don	don	don
t	t	t
ask	ask	ask
,	,	,
don	don	don
t	t	t
tell	tell	tell
and	and	and
letting	let	letting
gay	gay	gay
people	peopl	people
serve	serv	serve
openly	open	openly
did	did	did
nothing	noth	nothing
but	but	but
bring	bring	bring
the	the	the
military	militari	military
in	in	in
line	line	line
with	with	with
where	where	where
the	the	the
country	countri	country
already	alreadi	already
was	was	wa
.	.	.
The	the	The
general	general	general
lesson	lesson	lesson
we	we	we
take	take	take
from	from	from
transformational	transform	transformational
experiences	experi	experience
in	in	in
history	histori	history
is	is	is
that	that	that
in	in	in
matters	matter	matter
of	of	of
personnel	personnel	personnel
change	chang	change
within	within	within
the	the	the
military	militari	military
,	,	,
predictions	predict	prediction
and	and	and
surveys	survey	survey
tend	tend	tend
to	to	to
overestimate	overestim	overestimate
negative	negat	negative
consequences	consequ	consequence
,	,	,
and	and	and
underestimate	underestim	underestimate
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
s	s	s
ability	abil	ability
to	to	to
adapt	adapt	adapt
and	and	and
incorporate	incorpor	incorporate
within	within	within
it	it	it
ranks	rank	rank
the	the	the
diversity	divers	diversity
that	that	that
is	is	is
reflective	reflect	reflective
of	of	of
American	american	American
society	societi	society
at	at	at
large	larg	large
,	,	,
the	the	the
report	report	report
concluded	conclud	concluded
.	.	.
Going	go	Going
further	further	further
This	this	This
report	report	report
confirms	confirm	confirms
that	that	that
by	by	by
every	everi	every
measure	measur	measure
from	from	from
unit	unit	unit
cohesion	cohes	cohesion
to	to	to
recruitment	recruit	recruitment
and	and	and
retention	retent	retention
to	to	to
family	famili	family
readiness	readi	readiness
we	we	we
can	can	can
transition	transit	transition
to	to	to
a	a	a
new	new	new
policy	polici	policy
in	in	in
a	a	a
responsible	respons	responsible
manner	manner	manner
that	that	that
ensures	ensur	ensures
our	our	our
military	militari	military
strength	strength	strength
and	and	and
national	nation	national
security	secur	security
,	,	,
Obama	obama	Obama
said	said	said
in	in	in
a	a	a
written	written	written
statement	statement	statement
.	.	.
Secretary	secretari	Secretary
of	of	of
Defense	defens	Defense
Robert	robert	Robert
Gates	gate	Gates
and	and	and
the	the	the
Joint	joint	Joint
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
Chairman	chairman	Chairman
Adm	adm	Adm
.	.	.
Mike	mike	Mike
Mullen	mullen	Mullen
were	were	were
also	also	also
strongly	strong	strongly
in	in	in
favor	favor	favor
of	of	of
dropping	drop	dropping
the	the	the
ludicrous	ludicr	ludicrous
DADT	dadt	DADT
policy	polici	policy
.	.	.
Since	sinc	Since
its	it	it
dissolution	dissolut	dissolution
,	,	,
the	the	the
military	militari	military
hasn	hasn	hasn
t	t	t
crumbled	crumbl	crumbled
.	.	.
Nobody	nobodi	Nobody
is	is	is
flaunting	flaunt	flaunting
anything	anyth	anything
.	.	.
The	the	The
military	militari	military
continues	continu	continues
to	to	to
be	be	be
one	one	one
of	of	of
the	the	the
strongest	strongest	strongest
and	and	and
best	best	best
trained	train	trained
fighting	fight	fighting
forces	forc	force
in	in	in
the	the	the
world	world	world
.	.	.
Dees	dee	Dees
is	is	is
certainly	certain	certainly
living	live	living
in	in	in
a	a	a
fantasy	fantasi	fantasy
world	world	world
,	,	,
but	but	but
it	it	it
s	s	s
hard	hard	hard
to	to	to
expect	expect	expect
much	much	much
who	who	who
decided	decid	decided
to	to	to
ride	ride	ride
Ben	ben	Ben
Carson	carson	Carson
s	s	s
coat	coat	coat
tails	tail	tail
all	all	all
the	the	the
way	way	way
to	to	to
a	a	a
massive	massiv	massive
loss	loss	loss
in	in	in
the	the	the
very	veri	very
first	first	first
primary	primari	primary
and	and	and
an	an	an
inevitable	inevit	inevitable
campaign	campaign	campaign
suspension	suspens	suspension
.	.	.
Carson	carson	Carson
s	s	s
track	track	track
record	record	record
on	on	on
talking	talk	talking
about	about	about
gay	gay	gay
Americans	american	Americans
isn	isn	isn
t	t	t
much	much	much
better	better	better
.	.	.
During	dure	During
his	his	his
brief	brief	brief
moment	moment	moment
in	in	in
the	the	the
national	nation	national
spotlight	spotlight	spotlight
,	,	,
he	he	he
once	onc	once
floated	float	floated
the	the	the
idea	idea	idea
that	that	that
prison	prison	prison
rape	rape	rape
turns	turn	turn
people	peopl	people
gay	gay	gay
.	.	.
Much	much	Much
of	of	of
Carson	carson	Carson
s	s	s
campaign	campaign	campaign
has	has	ha
been	been	been
predicated	predic	predicated
on	on	on
the	the	the
idea	idea	idea
that	that	that
he	he	he
is	is	is
above	abov	above
the	the	the
fray	fray	fray
.	.	.
He	he	He
s	s	s
consistently	consist	consistently
pleaded	plead	pleaded
with	with	with
his	his	his
fellow	fellow	fellow
candidates	candid	candidate
and	and	and
the	the	the
nation	nation	nation
more	more	more
generally	general	generally
to	to	to
stop	stop	stop
the	the	the
mudslinging	mudsling	mudslinging
.	.	.
It	it	It
s	s	s
an	an	an
admirable	admir	admirable
goal	goal	goal
which	which	which
happens	happen	happens
to	to	to
be	be	be
total	total	total
malarkey	malarkey	malarkey
.	.	.
Carson	carson	Carson
has	has	ha
never	never	never
had	had	had
a	a	a
problem	problem	problem
with	with	with
going	go	going
after	after	after
liberals	liber	liberal
,	,	,
gay	gay	gay
people	peopl	people
,	,	,
Muslims	muslim	Muslims
,	,	,
or	or	or
any	ani	any
other	other	other
group	group	group
he	he	he
feels	feel	feel
doesn	doesn	doesn
t	t	t
align	align	align
with	with	with
his	his	his
worldview	worldview	worldview
.	.	.
Gay	gay	Gay
people	peopl	people
can	can	can
t	t	t
serve	serv	serve
in	in	in
the	the	the
military	militari	military
.	.	.
Muslims	muslim	Muslims
can	can	can
t	t	t
be	be	be
president	presid	president
.	.	.
Liberals	liber	Liberals
can	can	can
t	t	t
well	well	well
do	do	do
anything	anyth	anything
.	.	.
In	in	In
the	the	the
end	end	end
,	,	,
the	the	the
only	onli	only
group	group	group
of	of	of
people	peopl	people
who	who	who
seem	seem	seem
safe	safe	safe
in	in	in
Carson	carson	Carson
s	s	s
America	america	America
are	are	are
conservative	conserv	conservative
Christians	christian	Christians
like	like	like
himself	himself	himself
.	.	.
How	how	How
brave	brave	brave
.	.	.
Feature	featur	Feature
image	imag	image
via	via	via
Fox	fox	Fox
News	news	News
screengrab	screengrab	screengrab
