Anyone	anyon	Anyone
them	them	them
to	to	to
be	be	be
happy	happi	happy
and	and	and
grateful	grate	grateful
for	for	for
being	be	being
allowed	allow	allowed
to	to	to
live	live	live
in	in	in
Austria	austria	Austria
and	and	and
attend	attend	attend
school	school	school
,	,	,
adding	ad	adding
that	that	that
they	they	they
were	were	were
integrating	integr	integrating
themselves	themselv	themselves
very	veri	very
well	well	well
.	.	.
Police	polic	Police
have	have	have
now	now	now
confirmed	confirm	confirmed
they	they	they
are	are	are
investigating	investig	investigating
allegations	alleg	allegation
of	of	of
sexual	sexual	sexual
assault	assault	assault
,	,	,
grievous	grievous	grievous
bodily	bodili	bodily
harm	harm	harm
and	and	and
threats	threat	threat
.	.	.
The	the	The
allegations	alleg	allegation
go	go	go
back	back	back
to	to	to
last	last	last
November	novemb	November
,	,	,
and	and	and
involve	involv	involve
verbal	verbal	verbal
abuse	abus	abuse
and	and	and
suggestive	suggest	suggestive
comments	comment	comment
as	as	a
well	well	well
as	as	a
physical	physic	physical
violence	violenc	violence
in	in	in
which	which	which
the	the	the
girls	girl	girl
say	say	say
they	they	they
were	were	were
groped	grope	groped
and	and	and
fondled	fondl	fondled
.	.	.
The	the	The
attacks	attack	attack
got	got	got
more	more	more
serious	serious	serious
as	as	a
time	time	time
went	went	went
by	by	by
.	.	.
The	the	The
14	14	14
-year-old	-year-old	-year-old
said	said	said
that	that	that
she	she	she
was	was	wa
often	often	often
hit	hit	hit
by	by	by
a	a	a
15	15	15
-year-old	-year-old	-year-old
from	from	from
Afghanistan	afghanistan	Afghanistan
,	,	,
including	includ	including
an	an	an
incident	incid	incident
where	where	where
she	she	she
was	was	wa
hit	hit	hit
so	so	so
badly	bad	badly
from	from	from
behind	behind	behind
that	that	that
she	she	she
smashed	smash	smashed
her	her	her
head	head	head
onto	onto	onto
the	the	the
desk	desk	desk
.	.	.
She	she	She
was	was	wa
attacked	attack	attacked
again	again	again
on	on	on
Wednesday	wednesday	Wednesday
by	by	by
the	the	the
same	same	same
boy	boy	boy
,	,	,
who	who	who
smashed	smash	smashed
her	her	her
against	against	against
a	a	a
locker	locker	locker
so	so	so
hard	hard	hard
that	that	that
the	the	the
police	polic	police
were	were	were
called	call	called
.	.	.
They	they	They
took	took	took
the	the	the
victim	victim	victim
and	and	and
the	the	the
accused	accus	accused
to	to	to
the	the	the
station	station	station
.	.	.
After	after	After
hearing	hear	hearing
of	of	of
her	her	her
ordeal	ordeal	ordeal
,	,	,
police	polic	police
then	then	then
expanded	expand	expanded
the	the	the
investigation	investig	investigation
.	.	.
Local	local	Local
education	educ	education
officials	offici	official
in	in	in
Salzburg	salzburg	Salzburg
have	have	have
said	said	said
the	the	the
incidents	incid	incident
are	are	are
being	be	being
dealt	dealt	dealt
with	with	with
very	veri	very
seriously	serious	seriously
and	and	and
that	that	that
it	it	it
will	will	will
appoint	appoint	appoint
a	a	a
coordinator	coordin	coordinator
to	to	to
oversee	overse	oversee
all	all	all
school	school	school
-age	-age	-age
asylum	asylum	asylum
seekers	seeker	seeker
and	and	and
their	their	their
teachers	teacher	teacher
.	.	.
Via	via	Via
Pamela	pamela	Pamela
Gellar	gellar	Gellar
