When	when	When
sticks	stick	stick
,	,	,
for	for	for
them	them	them
.	.	.
All	all	All
too	too	too
often	often	often
in	in	in
society	societi	society
,	,	,
women	women	woman
s	s	s
voices	voic	voice
are	are	are
placed	place	placed
on	on	on
the	the	the
back	back	back
burner	burner	burner
.	.	.
This	this	This
happens	happen	happens
in	in	in
the	the	the
home	home	home
,	,	,
it	it	it
happens	happen	happens
in	in	in
the	the	the
workplace	workplac	workplace
,	,	,
and	and	and
in	in	in
happens	happen	happens
in	in	in
politics	polit	politics
.	.	.
And	and	And
yes	yes	yes
,	,	,
women	women	woman
,	,	,
who	who	who
don	don	don
t	t	t
help	help	help
each	each	each
other	other	other
are	are	are
of	of	of
detriment	detriment	detriment
to	to	to
not	not	not
only	onli	only
those	those	those
in	in	in
their	their	their
immediate	immedi	immediate
surroundings	surround	surroundings
,	,	,
but	but	but
in	in	in
all	all	all
of	of	of
society	societi	society
.	.	.
Women	women	Women
can	can	can
sometimes	sometim	sometimes
find	find	find
themselves	themselv	themselves
trying	tri	trying
with	with	with
all	all	all
their	their	their
might	might	might
to	to	to
compete	compet	compete
in	in	in
a	a	a
male	male	male
-dominated	-domin	-dominated
world	world	world
,	,	,
and	and	and
while	while	while
men	men	men
pat	pat	pat
themselves	themselv	themselves
on	on	on
the	the	the
back	back	back
regularly	regular	regularly
help	help	help
each	each	each
other	other	other
rise	rise	rise
up	up	up
,	,	,
women	women	woman
don	don	don
t	t	t
often	often	often
have	have	have
that	that	that
luxury	luxuri	luxury
,	,	,
because	becaus	because
they	they	they
are	are	are
working	work	working
hard	hard	hard
on	on	on
themselves	themselv	themselves
.	.	.
That	that	That
s	s	s
why	whi	why
feminism	femin	feminism
is	is	is
important	import	important
.	.	.
That	that	That
s	s	s
why	whi	why
what	what	what
Madeleine	madelein	Madeleine
Albright	albright	Albright
said	said	said
is	is	is
true	true	true
,	,	,
and	and	and
that	that	that
s	s	s
why	whi	why
women	women	woman
everywhere	everywher	everywhere
need	need	need
to	to	to
make	make	make
sure	sure	sure
we	we	we
are	are	are
making	make	making
all	all	all
women	women	woman
inclusive	inclus	inclusive
in	in	in
the	the	the
workplace	workplac	workplace
,	,	,
in	in	in
politics	polit	politics
,	,	,
and	and	and
in	in	in
society	societi	society
.	.	.
So	so	So
,	,	,
Bure	bure	Bure
,	,	,
while	while	while
your	your	your
concerns	concern	concern
are	are	are
heard	heard	heard
,	,	,
they	they	they
are	are	are
unfounded	unfound	unfounded
.	.	.
You	you	You
are	are	are
more	more	more
than	than	than
allowed	allow	allowed
to	to	to
be	be	be
pro	pro	pro
-life	-life	-life
and	and	and
still	still	still
advocate	advoc	advocate
for	for	for
other	other	other
women	women	woman
to	to	to
be	be	be
heard	heard	heard
and	and	and
seen	seen	seen
as	as	a
well	well	well
.	.	.
And	and	And
no	no	no
,	,	,
Madeleine	madelein	Madeleine
Albright	albright	Albright
doesn	doesn	doesn
t	t	t
actually	actual	actually
want	want	want
people	peopl	people
to	to	to
go	go	go
to	to	to
hell	hell	hell
.	.	.
It	it	It
s	s	s
a	a	a
figure	figur	figure
of	of	of
speech	speech	speech
.	.	.
Video	video	Video
Featured	featur	Featured
image	imag	image
from	from	from
Raw	raw	Raw
Story	stori	Story
YouTube	youtub	YouTube
