Thank	thank	Thank
s	s	s
a	a	a
money	money	money
-making	-make	-making
industry	industri	industry
,	,	,
OK	ok	OK
?	?	?

It	it	It
s	s	s
a	a	a
hoax	hoax	hoax
,	,	,
a	a	a
lot	lot	lot
of	of	of
it	it	it
.	.	.

And	and	And
look	look	look
,	,	,
I	i	I
want	want	want
clean	clean	clean
air	air	air
and	and	and
I	i	I
want	want	want
clean	clean	clean
water	water	water
.	.	.

That	that	That
s	s	s
my	my	my
global	global	global
I	i	I
want	want	want
clean	clean	clean
,	,	,
clean	clean	clean
crystal	crystal	crystal
water	water	water
and	and	and
I	i	I
want	want	want
clean	clean	clean
air	air	air
.	.	.

And	and	And
we	we	we
can	can	can
do	do	do
that	that	that
,	,	,
but	but	but
we	we	we
don	don	don
t	t	t
have	have	have
to	to	to
destroy	destroy	destroy
our	our	our
businesses	busi	business
,	,	,
we	we	we
don	don	don
t	t	t
have	have	have
to	to	to
destroy	destroy	destroy
our	our	our
And	and	And
by	by	by
the	the	the
way	way	way
,	,	,
China	china	China
isn	isn	isn
t	t	t
abiding	abid	abiding
by	by	by
anything	anyth	anything
.	.	.

They	they	They
re	re	re
buying	buy	buying
all	all	all
of	of	of
our	our	our
coal	coal	coal
;	;	;
we	we	we
can	can	can
t	t	t
use	use	use
coal	coal	coal
anymore	anymor	anymore
essentially	essenti	essentially
.	.	.

They	they	They
re	re	re
buying	buy	buying
our	our	our
coal	coal	coal
and	and	and
they	they	they
re	re	re
using	use	using
it	it	it
.	.	.

Now	now	Now
when	when	when
you	you	you
talk	talk	talk
about	about	about
the	the	the
planet	planet	planet
,	,	,
it	it	it
s	s	s
so	so	so
big	big	big
out	out	out
there	there	there
we	we	we
re	re	re
here	here	here
,	,	,
they	they	they
re	re	re
there	there	there
,	,	,
it	it	it
s	s	s
like	like	like
they	they	they
re	re	re
our	our	our
next	next	next
door	door	door
neighbor	neighbor	neighbor
,	,	,
right	right	right
,	,	,
in	in	in
terms	term	term
of	of	of
the	the	the
universe	univers	universe
.	.	.
The	the	The
draft	draft	draft
of	of	of
the	the	the
National	nation	National
Security	secur	Security
Strategy	strategi	Strategy
makes	make	make
this	this	this
approach	approach	approach
policy	polici	policy
,	,	,
emphasizing	emphas	emphasizing
national	nation	national
security	secur	security
and	and	and
economic	econom	economic
growth	growth	growth
over	over	over
climate	climat	climate
change	chang	change
.	.	.
President	presid	President
Obama	obama	Obama
made	made	made
climate	climat	climate
change	chang	change
,	,	,
and	and	and
the	the	the
burdensome	burdensom	burdensome
regulations	regul	regulation
that	that	that
accompany	accompani	accompany
its	it	it
focus	focus	focus
,	,	,
a	a	a
primary	primari	primary
focus	focus	focus
of	of	of
his	his	his
administration	administr	administration
,	,	,
including	includ	including
in	in	in
his	his	his
National	nation	National
Security	secur	Security
Strategy	strategi	Strategy
released	releas	released
in	in	in
2015	2015	2015
.	.	.

W	w	W
e	e	e
are	are	are
working	work	working
toward	toward	toward
an	an	an
ambitious	ambiti	ambitious
new	new	new
global	global	global
climate	climat	climate
change	chang	change
agreement	agreement	agreement
to	to	to
shape	shape	shape
standards	standard	standard
for	for	for
prevention	prevent	prevention
,	,	,
preparedness	prepared	preparedness
,	,	,
and	and	and
response	respons	response
over	over	over
the	the	the
next	next	next
decade	decad	decade
,	,	,
that	that	that
report	report	report
said	said	said
.	.	.
Watch	watch	Watch
Barack	barack	Barack
Obama	obama	Obama
explain	explain	explain
how	how	how
climate	climat	climate
change	chang	change
is	is	is
national	nation	national
security	secur	security
threat	threat	threat
By	by	By
contrast	contrast	contrast
,	,	,
President	presid	President
Trump	trump	Trump
s	s	s
National	nation	National
Security	secur	Security
Strategy	strategi	Strategy
will	will	will
focus	focus	focus
on	on	on
conventional	convent	conventional
and	and	and
immediate	immedi	immediate
national	nation	national
security	secur	security
risks	risk	risk
.	.	.

The	the	The
draft	draft	draft
says	say	say
,	,	,
in	in	in
part	part	part
North	north	North
Korea	korea	Korea
seeks	seek	seek
the	the	the
capability	capabl	capability
to	to	to
kill	kill	kill
millions	million	million
of	of	of
Americans	american	Americans
with	with	with
nuclear	nuclear	nuclear
weapons	weapon	weapon
.	.	.

Iran	iran	Iran
supports	support	support
terrorist	terrorist	terrorist
groups	group	group
and	and	and
openly	open	openly
calls	call	call
for	for	for
our	our	our
destruction	destruct	destruction
.	.	.

Jihadist	jihadist	Jihadist
terrorist	terrorist	terrorist
organizations	organ	organization
such	such	such
as	as	a
ISIS	isi	ISIS
and	and	and
al	al	al
Qaeda	qaeda	Qaeda
are	are	are
determined	determin	determined
to	to	to
attack	attack	attack
the	the	the
United	unit	United
States	state	States
and	and	and
radicalize	radic	radicalize
Americans	american	Americans
with	with	with
their	their	their
hateful	hate	hateful
ideology	ideolog	ideology
.	.	.

States	state	States
and	and	and
non	non	non
-state	-state	-state
actors	actor	actor
undermine	undermin	undermine
social	social	social
order	order	order
with	with	with
drug	drug	drug
and	and	and
human	human	human
trafficking	traffick	trafficking
networks	network	network
,	,	,
which	which	which
drive	drive	drive
violent	violent	violent
crimes	crime	crime
and	and	and
cause	caus	cause
thousands	thousand	thousand
of	of	of
American	american	American
deaths	death	death
each	each	each
year	year	year
.	.	.

Strengthening	strengthen	Strengthening
control	control	control
over	over	over
our	our	our
borders	border	border
and	and	and
immigration	immigr	immigration
system	system	system
is	is	is
central	central	central
to	to	to
national	nation	national
security	secur	security
,	,	,
economic	econom	economic
prosperity	prosper	prosperity
,	,	,
and	and	and
the	the	the
rule	rule	rule
of	of	of
law	law	law
.	.	.

Terrorists	terrorist	Terrorists
,	,	,
drug	drug	drug
traffickers	traffick	trafficker
,	,	,
and	and	and
criminal	crimin	criminal
cartels	cartel	cartel
exploit	exploit	exploit
porous	porous	porous
borders	border	border
and	and	and
threaten	threaten	threaten
U	u	U
.	.	.
S	s	S
.	.	.
security	secur	security
and	and	and
public	public	public
safety	safeti	safety
.	.	.

These	these	These
actors	actor	actor
adapt	adapt	adapt
quickly	quick	quickly
to	to	to
outpace	outpac	outpace
our	our	our
defenses	defens	defense
.	.	.
As	as	As
for	for	for
climate	climat	climate
change	chang	change
,	,	,
the	the	the
draft	draft	draft
report	report	report
says	say	say
The	the	The
United	unit	United
States	state	States
will	will	will
remain	remain	remain
a	a	a
global	global	global
leader	leader	leader
in	in	in
reducing	reduc	reducing
traditional	tradit	traditional
pollution	pollut	pollution
,	,	,
as	as	a
well	well	well
as	as	a
greenhouse	greenhous	greenhouse
gases	gase	gas
,	,	,
while	while	while
growing	grow	growing
its	it	it
economy	economi	economy
.	.	.

This	this	This
achievement	achiev	achievement
,	,	,
which	which	which
can	can	can
serve	serv	serve
as	as	a
model	model	model
to	to	to
other	other	other
countries	countri	country
,	,	,
flows	flow	flow
from	from	from
innovation	innov	innovation
,	,	,
technology	technolog	technology
breakthroughs	breakthrough	breakthrough
,	,	,
and	and	and
energy	energi	energy
efficiency	effici	efficiency
gains	gain	gain
not	not	not
from	from	from
onerous	oner	onerous
regulation	regul	regulation
.	.	.

FOX	fox	FOX
News	news	News
reported	report	reported
on	on	on
the	the	the
NOAA	noaa	NOAA
intentional	intent	intentional
manipulation	manipul	manipulation
of	of	of
data	data	data
that	that	that
was	was	wa
given	given	given
to	to	to
President	presid	President
Obama	obama	Obama
and	and	and
other	other	other
world	world	world
leaders	leader	leader
prior	prior	prior
to	to	to
the	the	the
2015	2015	2015
Paris	pari	Paris
Climate	climat	Climate
summit	summit	summit
where	where	where
Western	western	Western
nations	nation	nation
agreed	agre	agreed
to	to	to
spend	spend	spend
billions	billion	billion
to	to	to
combat	combat	combat
phony	phoni	phony
climate	climat	climate
change	chang	change

