Ahead	ahead	Ahead
if	if	if
Fox	fox	Fox
News	news	News
was	was	wa
the	the	the
right	right	right
place	place	place
for	for	for
her	her	her
,	,	,
the	the	the
universe	univers	universe
came	came	came
and	and	and
sort	sort	sort
of	of	of
shone	shone	shone
a	a	a
light	light	light
and	and	and
it	it	it
was	was	wa
clear	clear	clear
to	to	to
me	me	me
what	what	what
I	i	I
wanted	want	wanted
to	to	to
do	do	do
.	.	.

DeGeneres	degener	DeGeneres
asked	ask	asked
if	if	if
any	ani	any
of	of	of
Trump	trump	Trump
s	s	s
infamous	infam	infamous
tweets	tweet	tweet
targeted	target	targeted
at	at	at
Kelly	kelli	Kelly
were	were	were
particularly	particular	particularly
what	what	what
motivated	motiv	motivated
her	her	her
move	move	move
,	,	,
but	but	but
Kelly	kelli	Kelly
said	said	said
it	it	it
was	was	wa
more	more	more
than	than	than
just	just	just
the	the	the
tweets	tweet	tweet
The	the	The
country	countri	country
s	s	s
so	so	so
divided	divid	divided
right	right	right
now	now	now
and	and	and
it	it	it
s	s	s
so	so	so
political	polit	political
.	.	.

It	it	It
s	s	s
like	like	like
politics	polit	politics
has	has	ha
become	becom	become
like	like	like
race	race	race
,	,	,
you	you	you
can	can	can
t	t	t
discuss	discuss	discus
it	it	it
at	at	at
all	all	all
.	.	.

Degeneres	degener	Degeneres
,	,	,
who	who	who
is	is	is
known	known	known
for	for	for
being	be	being
funny	funni	funny
,	,	,
only	onli	only
appeared	appear	appeared
to	to	to
laugh	laugh	laugh
twice	twice	twice
during	dure	during
the	the	the
entire	entir	entire
segment	segment	segment
.	.	.

The	the	The
first	first	first
time	time	time
was	was	wa
when	when	when
Kelly	kelli	Kelly
wasn	wasn	wasn
t	t	t
honest	honest	honest
with	with	with
the	the	the
audience	audienc	audience
when	when	when
she	she	she
claimed	claim	claimed
her	her	her
ratings	rate	rating
at	at	at
FOX	fox	FOX
went	went	went
up	up	up
after	after	after
she	she	she
disrespected	disrespect	disrespected
the	the	the
President	presid	President
.	.	.

See	see	See
chart	chart	chart
below	below	below
from	from	from
Oct	oct	Oct
.	.	.

13	13	13
,	,	,
2016	2016	2016
,	,	,
following	follow	following
her	her	her
full	full	full
-blown	-blown	-blown
feud	feud	feud
with	with	with
then	then	then
-candidate	-candid	-candidate
Donald	donald	Donald
Trump	trump	Trump
The	the	The
second	second	second
time	time	time
was	was	wa
when	when	when
she	she	she
made	made	made
Kelly	kelli	Kelly
look	look	look
like	like	like
a	a	a
complete	complet	complete
jackass	jackass	jackass
by	by	by
suiting	suit	suiting
her	her	her
up	up	up
in	in	in
a	a	a
sumo	sumo	sumo
wrestler	wrestler	wrestler
costume	costum	costume
,	,	,
to	to	to
which	which	which
Megyn	megyn	Megyn
responded	respond	responded
in	in	in
a	a	a
very	veri	very
awkward	awkward	awkward
and	and	and
NOT	not	NOT
funny	funni	funny
way	way	way
.	.	.

Watch	watch	Watch

