Dan	dan	Dan
serious	serious	serious
question	question	question
of	of	of
whether	whether	whether
it	it	it
is	is	is
against	against	against
the	the	the
law	law	law
.	.	.
If	if	If
any	ani	any
other	other	other
citizen	citizen	citizen
had	had	had
said	said	said
this	this	this
about	about	about
a	a	a
Presidential	presidenti	Presidential
candidate	candid	candidate
,	,	,
would	would	would
the	the	the
Secret	secret	Secret
Service	servic	Service
be	be	be
investigating	investig	investigating
?	?	?
Candidate	candid	Candidate
Trump	trump	Trump
will	will	will
undoubtedly	undoubt	undoubtedly
issue	issu	issue
an	an	an
explanation	explan	explanation
;	;	;
some	some	some
of	of	of
his	his	his
surrogates	surrog	surrogate
are	are	are
already	alreadi	already
engaged	engag	engaged
in	in	in
trying	tri	trying
to	to	to
gloss	gloss	gloss
it	it	it
over	over	over
,	,	,
but	but	but
once	onc	once
the	the	the
words	word	word
are	are	are
out	out	out
there	there	there
they	they	they
cannot	cannot	cannot
be	be	be
taken	taken	taken
back	back	back
.	.	.
That	that	That
is	is	is
what	what	what
inciting	incit	inciting
violence	violenc	violence
means	mean	mean
.	.	.
Rather	rather	Rather
is	is	is
absolutely	absolut	absolutely
right	right	right
.	.	.
Had	had	Had
anyone	anyon	anyone
else	els	else
but	but	but
Donald	donald	Donald
Trump	trump	Trump
said	said	said
this	this	this
,	,	,
they	they	they
would	would	would
have	have	have
been	been	been
arrested	arrest	arrested
and	and	and
thoroughly	thorough	thoroughly
interrogated	interrog	interrogated
,	,	,
no	no	no
questions	question	question
asked	ask	asked
.	.	.
And	and	And
Trump	trump	Trump
is	is	is
already	alreadi	already
making	make	making
up	up	up
excuses	excus	excuse
.	.	.
It	it	It
was	was	wa
a	a	a
joke	joke	joke
.	.	.
He	he	He
meant	meant	meant
more	more	more
bodyguards	bodyguard	bodyguard
and	and	and
armed	arm	armed
citizens	citizen	citizen
.	.	.
He	he	He
meant	meant	meant
protecting	protect	protecting
the	the	the
Second	second	Second
Amendment	amend	Amendment
in	in	in
the	the	the
Court	court	Court
.	.	.
Yadda	yadda	Yadda
yadda	yadda	yadda
yadda	yadda	yadda
.	.	.
More	more	More
excuses	excus	excuse
from	from	from
the	the	the
candidate	candid	candidate
that	that	that
tells	tell	tell
it	it	it
like	like	like
it	it	it
is	is	is
.	.	.
For	for	For
the	the	the
people	peopl	people
who	who	who
like	like	like
Trump	trump	Trump
because	becaus	because
he	he	he
speaks	speak	speaks
his	his	his
mind	mind	mind
,	,	,
they	they	they
certainly	certain	certainly
have	have	have
to	to	to
make	make	make
excuses	excus	excuse
for	for	for
what	what	what
he	he	he
says	say	say
all	all	all
the	the	the
time	time	time
.	.	.
It	it	It
s	s	s
time	time	time
the	the	the
other	other	other
media	media	medium
heads	head	head
follow	follow	follow
Rather	rather	Rather
and	and	and
break	break	break
this	this	this
objectivity	object	objectivity
that	that	that
stops	stop	stop
them	them	them
from	from	from
criticizing	critic	criticizing
Trump	trump	Trump
when	when	when
he	he	he
says	say	say
something	someth	something
stupid	stupid	stupid
.	.	.
For	for	For
too	too	too
long	long	long
the	the	the
media	media	medium
has	has	ha
allowed	allow	allowed
him	him	him
to	to	to
get	get	get
away	away	away
with	with	with
his	his	his
insane	insan	insane
rhetoric	rhetor	rhetoric
.	.	.
Featured	featur	Featured
image	imag	image
Kirk	kirk	Kirk
Irwin	irwin	Irwin
Getty	getti	Getty
Images	imag	Images
