David	david	David
it	it	it
s	s	s
a	a	a
moment	moment	moment
Letterman	letterman	Letterman
says	say	say
should	should	should
have	have	have
disqualified	disqualifi	disqualified
Trump	trump	Trump
and	and	and
made	made	made
him	him	him
a	a	a
pariah	pariah	pariah
in	in	in
our	our	our
society	societi	society
.	.	.
I	i	I
can	can	can
remember	rememb	remember
him	him	him
doing	do	doing
an	an	an
impression	impress	impression
,	,	,
behind	behind	behind
a	a	a
podium	podium	podium
,	,	,
of	of	of
a	a	a
reporter	report	reporter
for	for	for
the	the	the
New	new	New
York	york	York
Times	time	Times
who	who	who
has	has	ha
a	a	a
congenital	congenit	congenital
disorder	disord	disorder
,	,	,
and	and	and
then	then	then
I	i	I
thought	thought	thought
,	,	,
if	if	if
this	this	this
was	was	wa
somebody	somebodi	somebody
else	els	else
if	if	if
this	this	this
was	was	wa
a	a	a
member	member	member
of	of	of
your	your	your
family	famili	family
or	or	or
a	a	a
next	next	next
-door	-door	-door
neighbor	neighbor	neighbor
,	,	,
a	a	a
guy	guy	guy
at	at	at
work	work	work
you	you	you
would	would	would
immediately	immedi	immediately
distance	distanc	distance
yourself	yourself	yourself
from	from	from
that	that	that
person	person	person
.	.	.
And	and	And
that	that	that
s	s	s
what	what	what
I	i	I
thought	thought	thought
would	would	would
happen	happen	happen
.	.	.
Because	becaus	Because
if	if	if
you	you	you
can	can	can
do	do	do
that	that	that
in	in	in
a	a	a
national	nation	national
forum	forum	forum
,	,	,
that	that	that
says	say	say
to	to	to
me	me	me
that	that	that
you	you	you
are	are	are
a	a	a
damaged	damag	damaged
human	human	human
being	be	being
.	.	.
If	if	If
you	you	you
can	can	can
do	do	do
that	that	that
,	,	,
and	and	and
not	not	not
apologize	apolog	apologize
,	,	,
you	you	you
re	re	re
a	a	a
person	person	person
to	to	to
be	be	be
shunned	shun	shunned
.	.	.
Letterman	letterman	Letterman
then	then	then
suggested	suggest	suggested
that	that	that
Trump	trump	Trump
is	is	is
behaving	behav	behaving
so	so	so
badly	bad	badly
that	that	that
he	he	he
should	should	should
get	get	get
his	his	his
head	head	head
examined	examin	examined
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
anything	anyth	anything
about	about	about
politics	polit	politics
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
anything	anyth	anything
about	about	about
trade	trade	trade
agreements	agreement	agreement
.	.	.
I	i	I
don	don	don
t	t	t
know	know	know
anything	anyth	anything
about	about	about
China	china	China
devaluing	devalu	devaluing
the	the	the
yuan	yuan	yuan
.	.	.
But	but	But
if	if	if
you	you	you
see	see	see
somebody	somebodi	somebody
who	who	who
s	s	s
not	not	not
behaving	behav	behaving
like	like	like
any	ani	any
other	other	other
human	human	human
you	you	you
ve	ve	ve
known	known	known
,	,	,
that	that	that
means	mean	mean
something	someth	something
.	.	.
They	they	They
need	need	need
an	an	an
appointment	appoint	appointment
with	with	with
a	a	a
psychiatrist	psychiatrist	psychiatrist
.	.	.
They	they	They
need	need	need
a	a	a
diagnosis	diagnosi	diagnosis
and	and	and
they	they	they
need	need	need
a	a	a
prescription	prescript	prescription
.	.	.
Indeed	inde	Indeed
,	,	,
Trump	trump	Trump
s	s	s
mental	mental	mental
health	health	health
has	has	ha
been	been	been
a	a	a
great	great	great
concern	concern	concern
to	to	to
many	mani	many
people	peopl	people
.	.	.
Even	even	Even
Dr	dr	Dr
.	.	.
Drew	drew	Drew
and	and	and
board	board	board
-certified	-certifi	-certified
psychiatrist	psychiatrist	psychiatrist
and	and	and
Fox	fox	Fox
pundit	pundit	pundit
Charles	charl	Charles
Krauthammer	krauthamm	Krauthammer
have	have	have
weighed	weigh	weighed
in	in	in
on	on	on
the	the	the
subject	subject	subject
.	.	.
But	but	But
regardless	regardless	regardless
of	of	of
why	whi	why
Trump	trump	Trump
is	is	is
acting	act	acting
the	the	the
way	way	way
he	he	he
is	is	is
,	,	,
the	the	the
point	point	point
is	is	is
that	that	that
it	it	it
is	is	is
far	far	far
from	from	from
presidential	presidenti	presidential
and	and	and
should	should	should
disqualify	disqualifi	disqualify
him	him	him
from	from	from
ever	ever	ever
holding	hold	holding
the	the	the
office	offic	office
.	.	.
America	america	America
does	doe	doe
not	not	not
need	need	need
a	a	a
president	presid	president
who	who	who
is	is	is
easily	easili	easily
provoked	provok	provoked
,	,	,
especially	especi	especially
when	when	when
he	he	he
will	will	will
have	have	have
the	the	the
nuclear	nuclear	nuclear
codes	code	code
.	.	.
We	we	We
need	need	need
a	a	a
president	presid	president
who	who	who
is	is	is
good	good	good
at	at	at
working	work	working
with	with	with
others	other	others
and	and	and
has	has	ha
a	a	a
calm	calm	calm
steady	steadi	steady
hand	hand	hand
.	.	.
That	that	That
person	person	person
is	is	is
not	not	not
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Salon	salon	Salon
