MSNBC	msnbc	MSNBC
conception	concept	conception
by	by	by
stopping	stop	stopping
sperm	sperm	sperm
from	from	from
reaching	reach	reaching
an	an	an
egg	egg	egg
.	.	.
According	accord	According
to	to	to
Columbia	columbia	Columbia
University	univers	University
,	,	,
Birth	birth	Birth
control	control	control
pills	pill	pill
prevent	prevent	prevent
pregnancy	pregnanc	pregnancy
through	through	through
several	sever	several
mechanisms	mechan	mechanism
,	,	,
mainly	main	mainly
by	by	by
stopping	stop	stopping
ovulation	ovul	ovulation
.	.	.

If	if	If
no	no	no
egg	egg	egg
is	is	is
released	releas	released
,	,	,
there	there	there
is	is	is
nothing	noth	nothing
to	to	to
be	be	be
fertilized	fertil	fertilized
by	by	by
sperm	sperm	sperm
,	,	,
and	and	and
the	the	the
woman	woman	woman
cannot	cannot	cannot
get	get	get
pregnant	pregnant	pregnant
.	.	.
So	so	So
once	onc	once
again	again	again
,	,	,
Hawkins	hawkin	Hawkins
is	is	is
wrong	wrong	wrong
.	.	.

But	but	But
she	she	she
repeated	repeat	repeated
her	her	her
claims	claim	claim
again	again	again
after	after	after
Reid	reid	Reid
asked	ask	asked
her	her	her
to	to	to
clarify	clarifi	clarify
her	her	her
remarks	remark	remark
,	,	,
and	and	and
Hawkins	hawkin	Hawkins
confirmed	confirm	confirmed
once	onc	once
and	and	and
for	for	for
all	all	all
that	that	that
anti	anti	anti
-choice	-choic	-choice
conservatives	conserv	conservative
want	want	want
to	to	to
ban	ban	ban
birth	birth	birth
control	control	control
as	as	a
well	well	well
as	as	a
abortion	abort	abortion
.	.	.

In	in	In
my	my	my
ideal	ideal	ideal
world	world	world
,	,	,
yes	yes	yes
.	.	.

But	but	But
I	i	I
don	don	don
t	t	t
think	think	think
that	that	that
s	s	s
something	someth	something
we	we	we
re	re	re
working	work	working
towards	toward	towards
in	in	in
the	the	the
pro	pro	pro
-life	-life	-life
movement	movement	movement
.	.	.

In	in	In
the	the	the
pro	pro	pro
-life	-life	-life
movement	movement	movement
we	we	we
re	re	re
working	work	working
towards	toward	towards
abolishing	abolish	abolishing
abortion	abort	abortion
.	.	.

That	that	That
s	s	s
why	whi	why
we	we	we
want	want	want
Planned	plan	Planned
Parenthood	parenthood	Parenthood
s	s	s
money	money	money
to	to	to
go	go	go
to	to	to
health	health	health
centers	center	center
which	which	which
don	don	don
t	t	t
do	do	do
contraception	contracept	contraception
.	.	.

By	by	By
taking	take	taking
money	money	money
away	away	away
from	from	from
Planned	plan	Planned
Parenthood	parenthood	Parenthood
,	,	,
millions	million	million
of	of	of
women	women	woman
would	would	would
have	have	have
less	less	le
access	access	access
to	to	to
birth	birth	birth
control	control	control
that	that	that
would	would	would
prevent	prevent	prevent
unwanted	unwant	unwanted
pregnancies	pregnanc	pregnancy
and	and	and
abortions	abort	abortion
.	.	.

We	we	We
ve	ve	ve
gotten	gotten	gotten
some	some	some
real	real	real
clarity	clariti	clarity
,	,	,
Reid	reid	Reid
commented	comment	commented
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
segment	segment	segment
.	.	.

I	i	I
think	think	think
the	the	the
American	american	American
people	peopl	people
have	have	have
gotten	gotten	gotten
quite	quit	quite
a	a	a
bit	bit	bit
of	of	of
clarity	clariti	clarity
on	on	on
what	what	what
your	your	your
movement	movement	movement
wants	want	want
to	to	to
do	do	do
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
VidMe	vidm	VidMe
.	.	.
And	and	And
if	if	if
conservatives	conserv	conservative
like	like	like
Hawkins	hawkin	Hawkins
get	get	get
their	their	their
way	way	way
,	,	,
Donald	donald	Donald
Trump	trump	Trump
and	and	and
Republicans	republican	Republicans
in	in	in
Congress	congress	Congress
will	will	will
strip	strip	strip
women	women	woman
of	of	of
their	their	their
reproductive	reproduct	reproductive
rights	right	right
.	.	.

And	and	And
women	women	woman
won	won	won
t	t	t
be	be	be
marching	march	marching
in	in	in
Washington	washington	Washington
in	in	in
defense	defens	defense
of	of	of
their	their	their
rights	right	right
next	next	next
time	time	time
.	.	.

They	they	They
ll	ll	ll
declare	declar	declare
war	war	war
on	on	on
Washington	washington	Washington
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture

