This	this	This
people	peopl	people
are	are	are
prescribed	prescrib	prescribed
medical	medic	medical
marijuana	marijuana	marijuana
.	.	.

As	as	As
much	much	much
progress	progress	progress
as	as	a
has	has	ha
been	been	been
made	made	made
in	in	in
efforts	effort	effort
to	to	to
legalize	legal	legalize
medical	medic	medical
marijuana	marijuana	marijuana
have	have	have
been	been	been
,	,	,
there	there	there
is	is	is
still	still	still
a	a	a
long	long	long
way	way	way
to	to	to
go	go	go
.	.	.

27	27	27
states	state	state
still	still	still
have	have	have
yet	yet	yet
to	to	to
legalize	legal	legalize
medical	medic	medical
marijuana	marijuana	marijuana
.	.	.

If	if	If
the	the	the
CDC	cdc	CDC
were	were	were
to	to	to
find	find	find
enough	enough	enough
evidence	evid	evidence
to	to	to
come	come	come
out	out	out
in	in	in
support	support	support
for	for	for
the	the	the
legalization	legal	legalization
of	of	of
medical	medic	medical
marijuana	marijuana	marijuana
as	as	a
a	a	a
way	way	way
to	to	to
curb	curb	curb
opioid	opioid	opioid
prescriptions	prescript	prescription
,	,	,
it	it	it
would	would	would
be	be	be
a	a	a
huge	huge	huge
win	win	win
for	for	for
medical	medic	medical
marijuana	marijuana	marijuana
advocates	advoc	advocate
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
elizabethwarren	elizabethwarren	elizabethwarren
.	.	.
com	com	com

