Paul	paul	Paul
take	take	take
their	their	their
place	place	place
.	.	.
When	when	When
politicians	politician	politician
insult	insult	insult
Muslims	muslim	Muslims
,	,	,
whether	whether	whether
abroad	abroad	abroad
or	or	or
our	our	our
fellow	fellow	fellow
citizens	citizen	citizen
,	,	,
when	when	when
a	a	a
mosque	mosqu	mosque
is	is	is
vandalized	vandal	vandalized
,	,	,
or	or	or
a	a	a
kid	kid	kid
is	is	is
called	call	called
names	name	name
,	,	,
that	that	that
doesn	doesn	doesn
t	t	t
make	make	make
us	us	u
safer	safer	safer
.	.	.
That	that	That
s	s	s
not	not	not
telling	tell	telling
it	it	it
like	like	like
it	it	it
is	is	is
.	.	.
It	it	It
s	s	s
just	just	just
wrong	wrong	wrong
.	.	.
It	it	It
diminishes	diminish	diminishes
us	us	u
in	in	in
the	the	the
eyes	eye	eye
of	of	of
the	the	the
world	world	world
.	.	.
It	it	It
makes	make	make
it	it	it
harder	harder	harder
to	to	to
achieve	achiev	achieve
our	our	our
goals	goal	goal
.	.	.
And	and	And
it	it	it
betrays	betray	betrays
who	who	who
we	we	we
are	are	are
as	as	a
a	a	a
country	countri	country
.	.	.
President	presid	President
Obama	obama	Obama
received	receiv	received
a	a	a
well	well	well
-deserved	-deserv	-deserved
standing	stand	standing
ovation	ovat	ovation
for	for	for
that	that	that
small	small	small
piece	piec	piece
of	of	of
political	polit	political
sanity	saniti	sanity
.	.	.
So	so	So
why	whi	why
is	is	is
Ryan	ryan	Ryan
so	so	so
mad	mad	mad
?	?	?
Well	well	Well
,	,	,
he	he	he
says	say	say
that	that	that
agrees	agre	agrees
with	with	with
President	presid	President
Obama	obama	Obama
,	,	,
saying	say	saying
that	that	that
Putting	put	Putting
a	a	a
religious	religi	religious
test	test	test
on	on	on
anybody	anybodi	anybody
coming	come	coming
to	to	to
this	this	this
country	countri	country
is	is	is
wrong	wrong	wrong
,	,	,
but	but	but
goes	goe	go
on	on	on
to	to	to
say	say	say
that	that	that
President	presid	President
Obama	obama	Obama
is	is	is
wrong	wrong	wrong
for	for	for
commenting	comment	commenting
on	on	on
the	the	the
politics	polit	politics
of	of	of
the	the	the
Republican	republican	Republican
Party	parti	Party
.	.	.
I	i	I
think	think	think
it	it	it
sort	sort	sort
of	of	of
degrades	degrad	degrades
the	the	the
presidency	presid	presidency
to	to	to
then	then	then
talk	talk	talk
about	about	about
primary	primari	primary
politics	polit	politics
in	in	in
the	the	the
other	other	other
party	parti	party
,	,	,
during	dure	during
primaries	primari	primary
.	.	.
That	that	That
s	s	s
not	not	not
what	what	what
presidents	presid	president
ought	ought	ought
to	to	to
be	be	be
talking	talk	talking
about	about	about
in	in	in
State	state	State
of	of	of
the	the	the
Union	union	Union
addresses	address	address
,	,	,
Ryan	ryan	Ryan
said	said	said
.	.	.
Speaking	speak	Speaking
up	up	up
for	for	for
our	our	our
values	valu	value
and	and	and
speaking	speak	speaking
up	up	up
for	for	for
our	our	our
beliefs	belief	belief
is	is	is
one	one	one
thing	thing	thing
.	.	.
But	but	But
kind	kind	kind
of	of	of
wading	wade	wading
into	into	into
the	the	the
primary	primari	primary
politics	polit	politics
of	of	of
the	the	the
other	other	other
party	parti	party
is	is	is
just	just	just
not	not	not
really	realli	really
what	what	what
presidents	presid	president
ought	ought	ought
to	to	to
do	do	do
.	.	.
If	if	If
this	this	this
were	were	were
a	a	a
normal	normal	normal
primary	primari	primary
election	elect	election
,	,	,
Ryan	ryan	Ryan
might	might	might
have	have	have
a	a	a
point	point	point
.	.	.
However	howev	However
,	,	,
this	this	this
is	is	is
not	not	not
a	a	a
normal	normal	normal
election	elect	election
and	and	and
Trump	trump	Trump
is	is	is
hurting	hurt	hurting
the	the	the
United	unit	United
States	state	States
without	without	without
actually	actual	actually
being	be	being
in	in	in
any	ani	any
office	offic	office
.	.	.
Trump	trump	Trump
was	was	wa
even	even	even
called	call	called
out	out	out
during	dure	during
the	the	the
Republican	republican	Republican
response	respons	response
when	when	when
governor	governor	governor
of	of	of
South	south	South
Carolina	carolina	Carolina
,	,	,
Nikki	nikki	Nikki
Haley	haley	Haley
said	said	said
,	,	,
Some	some	Some
people	peopl	people
think	think	think
that	that	that
you	you	you
have	have	have
to	to	to
be	be	be
the	the	the
loudest	loudest	loudest
voice	voic	voice
in	in	in
the	the	the
room	room	room
to	to	to
make	make	make
a	a	a
difference	differ	difference
.	.	.
A	a	A
statement	statement	statement
that	that	that
could	could	could
easily	easili	easily
be	be	be
seen	seen	seen
as	as	a
a	a	a
chastisement	chastis	chastisement
of	of	of
Trump	trump	Trump
for	for	for
his	his	his
refusal	refus	refusal
to	to	to
keep	keep	keep
his	his	his
racism	racism	racism
on	on	on
the	the	the
down	down	down
low	low	low
,	,	,
rather	rather	rather
than	than	than
for	for	for
being	be	being
racist	racist	racist
to	to	to
begin	begin	begin
with	with	with
.	.	.
This	this	This
all	all	all
boils	boil	boil
down	down	down
to	to	to
the	the	the
Republican	republican	Republican
establishment	establish	establishment
being	be	being
angry	angri	angry
and	and	and
scared	scare	scared
over	over	over
the	the	the
fact	fact	fact
that	that	that
Trump	trump	Trump
has	has	ha
the	the	the
Party	parti	Party
s	s	s
racist	racist	racist
base	base	base
out	out	out
of	of	of
the	the	the
shadows	shadow	shadow
.	.	.
Now	now	Now
that	that	that
they	they	they
are	are	are
exposed	expos	exposed
,	,	,
they	they	they
can	can	can
be	be	be
criticized	critic	criticized
for	for	for
it	it	it
,	,	,
at	at	at
their	their	their
expense	expens	expense
.	.	.
President	presid	President
Obama	obama	Obama
did	did	did
that	that	that
in	in	in
a	a	a
super	super	super
classy	classi	classy
way	way	way
,	,	,
wrapped	wrap	wrapped
in	in	in
a	a	a
message	messag	message
that	that	that
draws	draw	draw
on	on	on
the	the	the
better	better	better
ideals	ideal	ideal
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
interview	interview	interview
,	,	,
in	in	in
full	full	full
,	,	,
below	below	below
.	.	.
Featured	featur	Featured
Image	imag	Image
Credit	credit	Credit
Screenshot	screenshot	Screenshot
via	via	via
YouTube	youtub	YouTube
